@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
-0.208,-0.081,-0.358,-0.04,-0.143,-0.129,-0.066,0.327,-0.29,-0.136,0.082,-0.54,-0.252,0.464,0.827,-0.54,0.227,0.163,-0.186,0.062,-0.421,-1.027,-0.923,-0.041,?,0.433,01/01/05/01/01@01/07/01@01/20/17/03@42/01
0.27,-0.28,-0.42,-0.41,-0.49,-0.828,-0.71,-0.37,-0.96,-0.92,-1.537,0.411,1.001,0.678,1.116,-0.153,-0.16,-0.056,0.021,-0.516,1.767,2.561,1.285,-0.076,-0.103,-0.037,01/06@32/01/05@34/11/09
0.078,-0.14,-0.115,0.076,-0.157,0.322,0.134,0.121,0.156,0.318,0.142,0.2,-0.065,-0.16,-0.278,-0.534,0.207,0.009,-0.363,0.102,0.223,0.315,-0.238,-0.072,-0.125,-0.205,01/04@01/06/02/02@30/01/09/03@32/01/05@34/11/09
0.049,-0.06,0.22,0.23,0.24,-0.193,0.08,0.39,0.1,0.09,0.258,0.2,-0.09,0.2,0.04,0.234,-0.35,-0.03,-0.113,?,-0.15,-0.05,0.426,-0.09,0.013,-0.7,01/06@18/02/01@34/01/01/01
-0.19,-0.884,-0.532,-0.58,-0.565,-0.35,-0.158,-0.156,-0.131,-0.183,-0.28,-0.581,-0.804,0.191,-0.292,-0.681,-0.524,-0.208,-0.178,0.343,-0.66,-1.055,-1.058,-0.093,0.27,-0.262,01/06@32/05/01/01@42/04
?,-0.235,-0.258,-0.158,-0.226,-0.967,-0.507,0.038,-0.248,-0.321,-0.524,-0.402,-0.143,0.126,-0.247,0.207,-0.631,-0.762,0.412,0.125,-0.146,-0.561,-0.418,-0.145,0.038,-0.106,01/02/02@01/06/02/02@01/06/02/03
0.999,-0.157,0.379,0,0.257,0.045,-0.224,0.052,-0.523,0.021,-0.241,-0.222,-0.1,-0.131,-0.43,-0.09,0.701,-0.069,-0.286,0.13,-0.877,0.369,0.396,0.097,?,0.021,10/03/01@10/03/05/01@16/01@42/04/05
0.312,0.418,0.724,0.681,0.78,-0.134,0.101,0.18,0.798,0.512,0.606,1.42,1.009,0.429,0.432,0.247,-0.055,-0.258,0.839,-0.321,0.801,0.985,0.66,0.066,-0.476,-0.677,14/13/01@14/13/04/02
-0.427,-0.178,0.183,0.281,0.044,-0.319,-0.432,-0.065,-0.239,-0.675,-0.025,-0.515,0.164,-0.396,0.339,0.244,-0.303,-0.461,0.369,-0.335,-0.671,-0.126,0.015,0.082,?,0.421,01/05/03@43/01/03/09
?,-0.291,-0.255,0.196,-0.266,?,-0.469,-0.432,-0.664,-0.556,?,-1.048,?,0.319,0.099,-0.342,-0.184,-0.013,0.611,0.228,-2.897,-0.103,-0.369,-0.055,0.34,0.013,01/05/03@43/01/03/09
0.078,0.188,0.056,-0.122,-0.237,-0.642,-0.395,-0.123,0.013,-0.33,-0.363,0.378,0.277,-0.091,-0.172,0.227,-0.308,-0.352,0.848,-0.383,-1.365,-0.818,-0.161,0.065,0.342,-0.288,01/04@01/05/02@01/05/25@01/06/05@02/25@10/03/01/01@10/03/01/02@10/03/01/03@10/03/02@11/02/03/04@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02/01@18/02/05@18/02/09@30/01/05/01/02@30/01/05/01/03@30/01/05/01/06@30/05/01@32/01/03@32/01/09@34/05@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03@42/01@43/01/03/05@43/01/03/09
0.09,0.35,0.3,0.19,0.15,-0.018,-0.11,0.01,-0.06,0.18,0.38,0.42,0.15,0.11,0.24,-0.03,-0.22,-0.33,-0.24,0.26,1.15,1.52,0.88,-0.18,0.34,-0.31,01/03@01/04@01/06/02/01@14/07/01@20/01/17@42/01@43/01/03/09
-0.34,-0.097,-0.052,-0.112,0.231,0.037,-0.126,0.169,0.15,-0.049,-0.167,-0.186,0.177,0.118,0.321,-0.024,-0.407,-0.452,-0.22,-0.134,0.823,?,-0.292,-0.017,0.282,0,10/03/02@43/01/03/09
-0.22,-0.786,-0.354,0.033,0.108,0.2,0.043,-0.264,0.024,-0.032,0.45,-1.321,-0.992,-0.131,-0.053,-0.412,0.485,-0.143,0.28,0.041,-1.367,-1.477,-0.647,0.09,1.084,0.326,99
0.066,-0.131,0.154,0.026,0.178,0.263,-0.302,-0.171,-0.193,-0.066,0.236,-0.256,-0.104,-0.012,-0.052,0.018,-0.147,-0.268,-0.653,?,-0.039,0.381,0.056,-0.123,?,-0.272,14/01@14/07/11@14/13/01@43/01/03/09
?,-0.243,0.082,0.075,-0.482,-0.359,-0.214,-0.445,-0.67,-0.447,-0.519,?,0.309,0.073,?,0.012,0.028,-0.273,-0.369,-0.303,-1.826,-0.111,0.234,-0.241,0.266,-0.426,34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
?,-0.224,?,?,-0.196,-0.521,-0.29,0.251,-0.484,-0.779,-0.472,-1.284,0.575,?,?,-0.005,?,-0.555,-0.035,-0.264,?,0.185,?,-0.086,0.33,0,20/09/07/27@43/01/03/09
-0.46,-0.199,0.415,0.421,0.018,-0.03,-0.57,0.354,-0.795,-0.719,-0.28,0.147,0.278,0.39,0.151,-0.267,-0.147,-0.032,-0.46,?,-0.294,1.173,0.415,0.061,0.16,-1.181,32/01@34/11/12
?,-0.241,-0.454,-0.349,-0.292,?,-0.28,-0.057,-0.459,-0.134,0,-0.464,-0.01,-0.137,-0.15,-0.262,0.083,-0.116,0.582,0.516,-0.289,-0.061,0.117,-0.121,?,0.101,43/01/03/05@43/01/03/09
-0.122,-0.105,0.2,0.263,-0.078,-0.196,-0.143,-0.099,0.056,-0.074,-0.225,?,0.055,-0.135,?,0.133,0.279,-0.004,0.239,0.046,?,0.392,0.067,0.694,-0.136,-0.343,43/01/03/09
-0.172,-0.208,-0.18,-0.361,-0.209,-0.054,-0.077,0.011,-0.142,-0.26,-0.29,-0.512,-0.609,-0.73,1.344,0.004,0.11,0.026,0.467,-0.38,-0.177,-0.551,-0.267,-0.098,0.092,-0.234,40/01@42/04@43/01/03/05@43/01/03/09
-0.221,0.043,-0.179,-0.181,-0.247,0.023,-0.105,0.184,0.109,-0.132,0.263,0.415,0.715,-0.04,-0.077,0.125,-0.328,-0.007,-0.88,?,0.367,-0.29,-0.546,-0.332,0.09,0.403,10/03/02@16/07@43/01/03/09
-0.1,0.427,0.368,0.556,0.592,-0.61,-0.437,-0.214,-0.073,-0.267,-0.28,0.814,1.047,0.183,0.412,0.374,-0.306,-0.506,-0.087,0.062,0.382,0.879,0.359,0.215,0.28,1.092,99
-0.01,-1.28,-1.77,-1.46,-0.91,?,-1.76,-1.17,-1.89,-1.75,-1.59,0.64,1.24,0.5,0.72,0.255,0.39,0.36,0.459,0.57,0.59,0.66,-0.43,-0.03,?,0.46,01/06/06/11@16/21/07@34/05/01
0.113,-0.086,-0.388,-0.303,0.153,?,0.028,-0.247,-0.188,-0.469,-0.192,-0.056,0.481,0.083,0.133,-0.247,0.596,0.43,-0.571,0.379,0.427,-0.251,0.104,-0.101,0.23,0.147,01/06/06/11
?,-1.056,-1.222,-1.351,-1.163,?,-0.656,0.138,-1.341,-1.289,-0.794,-0.04,0.735,0.52,0.018,0.104,0.407,0.572,-1.059,?,-0.165,-0.366,-0.632,-0.448,?,0.077,01/01/06/06/02@01/05@01/06/05@01/06/06/11@01/20/25@02/25
-0.112,-1.967,-2.168,-1.714,-1.827,-0.023,-0.889,0.269,-1.97,-1.855,-1.649,0.297,0.358,0.999,0.698,-0.455,0.251,0.253,-1.24,0.189,-1.514,-1.986,-0.954,0.002,0.94,0.053,01/06/06/11@16/17/09
-0.293,-1.473,-1.517,-1.426,-1.192,-0.2,-0.825,-1.322,-1.297,-1.391,-1,-0.46,0.175,0.122,-0.165,0.211,0.695,0.229,-0.304,0.505,-0.732,-0.826,-0.313,-0.065,0.297,-0.038,01/06/06/11@01/20
0.047,-0.881,-1.024,-1.072,-1.094,-0.119,-0.789,-0.88,-1.101,-1.301,-0.821,-0.552,-0.108,-0.476,-0.752,-0.537,0.45,-0.36,-0.342,0.135,-0.147,-0.779,-0.62,-0.016,0.199,-0.155,01/04@01/06/06/11@01/06/10
0.296,-0.81,-0.736,-0.595,-0.253,0.602,-0.08,-0.913,-0.424,-0.582,-0.641,0.424,0.783,0.27,0.131,0.136,1.179,0.238,0.302,0.639,-1.096,-1.443,-1.819,-0.02,0.433,0.471,01/06
-0.21,-1.698,-1.757,-1.565,-1.424,-0.21,-1.269,-1.843,-2.416,-2.517,-1.74,0.402,0.206,-0.193,-0.403,-0.719,0.332,-0.07,-1.332,-0.002,-0.638,-1.239,-0.646,-0.101,0.755,0.22,01/06/06/09@01/06/06/11@16/21/05@20/01/15
-0.198,0.461,0.801,0.798,0.567,-0.091,0.005,0.511,0.449,0.484,0.172,0.19,0.651,-0.063,0.352,0.144,0.056,-0.142,0.586,0.025,-0.447,0.399,0.354,-0.191,?,1.083,01/01/05/01/02@01/05@01/07/01
-0.111,0.34,1.11,1.32,1.03,0.05,0.15,0.26,0.38,0.13,0.984,0.73,0.66,0.72,0.64,0.026,-0.23,0.05,-0.221,-0.125,0.08,-0.48,-0.328,-0.12,-0.238,-0.45,14/07/02
-0.03,0.2,0.06,0.13,0.041,-0.08,-0.062,0.01,0.26,0.18,0.17,0.51,0.44,0.36,0.76,0.05,0.04,0.26,-0.51,0.61,0.936,0.599,-0.8,-0.23,0.034,0.17,01/04@14/07/03@30/01/05/01@32/01@34/01/01/01
-0.069,0.94,0.78,0.483,-0.259,-0.068,0.493,0.74,0.848,0.72,0.469,1.385,0.366,-0.603,-0.67,0.262,0.727,0.229,0.548,-0.417,0.088,0.086,-0.304,-0.134,-0.154,-0.005,01/01/06/05@01/01/09/03/01@01/02/03/01@01/02/03/03
-0.01,0.27,0.204,-0.52,-0.12,0.13,0.15,0.15,0.657,0.31,0.14,0.65,0.64,-0.02,-0.382,0.23,0.224,0.808,0.17,-0.29,-0.1,0.408,-0.34,0.12,0.33,0.6,01/01/06/05/01@01/02/03/01@01/03/01@01/04
?,0.32,-0.16,0.08,-0.3,-1.049,-0.633,-0.13,-0.78,-0.77,-1.029,-0.232,-0.142,-0.197,0.271,0.131,-0.221,0.176,0.366,0.708,-3.422,-0.905,-0.609,-0.153,?,0.391,01/01@01/02/03/01@01/02/07@01/20/19/01@16/21/07
-0.051,0.618,0.481,0.456,0.574,-0.341,-0.072,-0.178,0.209,0.191,0.469,-0.077,0.006,-0.141,-0.259,-0.237,0.206,0.19,0.431,0.11,-0.391,0.1,0.104,-0.096,?,0.178,01/02/07@11/02/03/04@20/01/01/07@32/07
1.194,3.398,4.076,3.624,2.63,1.218,2.222,1.196,2.728,2.521,3.639,0.88,0.3,0.003,0.324,0.065,1.126,0.43,0.216,-0.092,1.286,1.069,0.921,-0.32,0.252,-0.037,20/01/01/07@32/07
-0.22,-0.065,0.214,0.047,0.131,-0.63,-0.508,0.1,-0.202,-0.021,-0.55,0.144,0.18,-0.398,-0.144,-0.034,-0.036,-0.239,0.531,-0.164,-0.538,-0.906,0.103,0.02,0.216,-0.176,01/01/13@01/02/07/03@10/03/01@11/02/03/04/03@14/07/05@14/13/01/01@16/01
-0.069,0.241,0.553,0.515,0.801,0.499,0.274,0.162,0.507,0.445,0.211,0.296,0.162,0.359,0.511,0.463,0.687,-0.031,0.825,0.001,0.168,0.285,0.121,0.063,0.206,-0.081,01/01/09/01/02@01/01/09/02/01@01/01/11/02/02@01/01/11/03/02@01/01/11/04/02@01/05/02/04@01/05/02/07@01/06@01/07/01@02/01@02/08@02/10@10/03/01/01/03@16/21/05@20/01/15
0.375,0.676,0.744,0.934,1.627,0.095,0.261,0.509,0.658,0.587,0.725,0.748,0.105,0.082,0.749,0.312,-0.524,-0.587,-0.581,0.083,1.508,1.418,0.799,-0.133,?,0.228,01/01/03/02/01@01/01/06/06/01/03@01/01/11/02/01@01/01/11/03/01@01/01/11/04/01@01/05/02/04@01/05/02/07@02/01@02/10@16/19/03@16/21/07@20/01/15
0.234,0.561,0.512,0.778,0.924,0.136,0.448,0.403,0.41,0.385,0.134,0.793,0.389,-0.029,0.454,0.358,-0.49,-0.482,-0.156,-0.896,0.058,1.03,0.409,-0.173,-1.022,-0.563,01/05/02/04@01/05/02/07@01/06/05@01/07@02/01@02/10@16/21/07@20/01/15@42/16
-0.156,0.087,0.519,0.837,0.58,-0.331,-0.071,0.286,0.116,-0.045,?,1.15,0.946,0.243,0.313,0.203,1.346,0.942,0.888,-0.067,0.154,0.733,0.291,-0.04,0.416,0.174,01/05/02/04@01/05/02/07@01/06/05@01/07@02/01@02/10@16/21/07@20/01/15@42/16
-0.231,-0.175,-0.227,0.09,?,0.779,-0.211,-0.02,-0.2,-0.02,0.062,0.074,0.245,0.556,?,-0.077,-0.305,0.147,0.115,-0.06,0.248,0.378,-0.136,-0.177,0.059,0.079,01/04@01/05@02/01
0.221,?,0.244,0.358,0.42,0.164,0.069,-0.251,-0.438,-0.402,-0.044,0.869,0.44,0.572,0.697,0.212,0.001,-0.127,0.187,-0.27,0.496,0.537,0.387,-0.025,-1.032,-0.492,02/10
0.324,0.203,0.423,0.54,0.624,-0.588,-0.549,-0.639,-1.431,-1.371,-0.284,0.897,0.615,0.725,0.8,0.464,-0.595,-1.064,0.579,?,-0.489,0.17,0.025,-0.053,-0.638,-0.943,01/05/02/04@01/05/02/07@02/10@02/11/05@02/13/03@16/01@16/21/05@16/21/08@20/01/15@42/16
-0.009,-0.167,0.232,0.269,0.033,-0.096,-0.053,-0.033,-0.203,-0.021,-0.095,-0.789,-0.28,-0.344,0.037,-0.125,0.359,0.078,-1.445,0.397,-0.26,-0.202,0.11,-0.121,0.224,-0.153,16/03/01@32/01/09@42/10/03
0.038,0.158,-0.185,0.02,0.034,-0.06,-0.246,0.041,-0.202,-0.125,0.132,-1.025,0.21,-0.429,-0.348,0.164,0.069,-0.285,-0.387,-0.538,0.671,0.127,-0.115,0.014,-0.543,-0.236,10/01/03@32/01/09@42/10/03
0.013,0.683,0.518,0.689,0.061,-0.033,-0.2,-0.252,0.363,0.155,0.859,-0.182,0,0.031,0.291,0.216,0.248,0.376,0.306,0.301,-0.014,0.066,0.209,-0.212,?,-0.129,01/04@01/07/01
?,-0.334,-0.543,-0.444,-0.457,0.36,0.442,0.136,0.627,0.216,0,-0.413,-0.495,-1.175,-0.705,-0.462,-0.02,0.155,-1.354,-0.424,-0.131,-0.798,-0.629,0.008,-0.409,0.221,01/04@01/07/01@16/19/03
0.207,0.529,0.31,-0.289,-0.343,0.437,0.683,0.895,0.626,0.569,0.532,0.262,-0.301,-0.109,-0.302,-0.334,0.324,0.124,0.092,-0.104,-0.811,-0.759,-0.935,?,0.138,0.238,01/01/06/04@01/01/06/05@01/01/06/06/01/01@01/01/09/02
-0.308,0.021,0.04,0.363,0.25,0.029,-0.34,-0.11,-0.415,-0.27,0.081,0.039,0.35,-0.155,0.343,0.38,-0.147,-0.043,0.69,0.53,0.19,0.61,0.386,0.72,0.27,-0.269,01/05/25@11/02/03/04@42/19
-0.199,-0.23,0.2,0.046,-0.467,-0.193,-0.31,-0.29,-0.44,-0.62,-0.472,-0.485,-0.035,?,0.047,0.044,?,?,1.097,-0.09,-0.474,-0.353,-0.424,0.067,?,-0.017,99
-0.01,0.28,0.46,?,0.28,0.07,0.08,-0.09,0.18,0.17,-0.051,0.11,0.199,0.37,0.2,0.15,-0.14,-0.57,0.787,0.3,-0.47,0.04,-0.54,0.744,-0.18,-0.41,10/01/09/05@11/02/03/04
-0.67,0.207,0.038,-0.089,0.087,-0.34,-0.405,0.151,0.141,0.278,-0.07,0.666,0.359,-0.484,-0.392,0.157,0.214,-0.545,0.013,-0.471,-0.629,-2.75,-0.912,-0.149,-0.323,-0.285,10/01/05/01@10/01/09/05@11/02/03/04@16/01@32/01/09@40/10/02/03/02@42/10/03
-0.002,-0.44,-0.58,-1.13,-0.87,0.607,0.4,0.28,0.56,0.63,0.197,0.363,0.048,-0.771,-0.854,0.316,0.168,-0.047,-2.992,-0.82,0.43,0.42,0.21,-0.035,-0.98,-0.054,99
0.193,0.809,0.285,0.387,0.452,0.119,0.088,0.304,0.48,0.38,0.187,0.37,0.631,-0.039,-0.16,0.014,0.169,-0.387,0.556,?,0.481,0.473,0.02,0.873,-0.01,-0.473,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
-0.23,-0.067,0.158,0.218,0.355,0,0.151,0.478,0.324,0.33,0.01,-0.02,0.207,-0.214,-0.06,0.104,0.601,0.255,0.137,0.13,0.508,0.377,0.438,-0.001,-0.499,-0.033,11/02/03/04
0.11,0.451,0.221,?,0.24,0.12,-0.039,0.162,0.048,0.248,0.26,0.251,-0.029,-0.422,-0.365,0.217,0.324,-0.376,-1.238,0.016,-1.012,-0.664,0.022,0.045,0.575,-0.405,11/02/03/01@11/02/03/04
-0.041,-0.034,0.06,0.008,-0.07,0.199,-0.063,0.028,-0.048,-0.107,0.233,-0.312,0.817,-0.339,-0.399,-0.204,0.12,-0.084,-2.164,-0.247,0.817,0.82,0.644,-0.091,-0.612,-0.024,11/02/03/01@11/02/03/04
-0.038,-0.738,-1.052,-1.237,-1.179,0.025,-0.246,-0.419,-0.11,-0.153,-0.766,0.455,0.318,-0.334,-0.375,-0.016,-0.06,-0.733,0.173,-0.305,-1.14,-1.317,0,-0.074,0.043,0.11,11/02/03/01@11/02/03/04
0.061,-0.331,-0.118,-0.245,-0.296,0.091,-0.192,-0.169,-0.208,-0.017,-0.333,0.23,-0.271,0.379,-0.002,0.02,-0.125,-0.756,1.231,0.328,0.06,-0.381,-0.652,-0.058,0.664,-0.593,01/04@10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@11/02/03/01/04@11/02/03/04@11/04/01@11/04/03/01@16/03/01@16/19/03@42/10/03
