@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.013,0.683,0.518,0.689,0.061,-0.033,-0.2,-0.252,0.363,0.155,0.278,0.379,0.859,-0.182,0,0.159,0.001,0.371,0.031,0.291,0.216,0.826,0.26,-0.291,0.248,0.376,0.051,0.298,0.306,0.301,0.333,-0.014,0.066,0.209,-0.212,0.07,-0.287,?,-0.129,01/04@01/07/01
?,-0.334,-0.543,-0.444,-0.457,0.36,0.442,0.136,0.627,0.216,?,0.212,0,-0.413,-0.495,-0.439,-0.516,-0.489,-1.175,-0.705,-0.462,-0.449,-0.399,-0.227,-0.02,0.155,0.084,0.097,-1.354,-0.424,-0.299,-0.131,-0.798,-0.629,0.008,0.061,-0.502,-0.409,0.221,01/04@01/07/01@16/19/03
0.207,0.529,0.31,-0.289,-0.343,0.437,0.683,0.895,0.626,0.569,0.213,0.215,0.532,0.262,-0.301,-0.251,0.03,-0.215,-0.109,-0.302,-0.334,-0.001,-0.042,0.107,0.324,0.124,0.263,0.167,0.092,-0.104,-0.59,-0.811,-0.759,-0.935,?,-0.55,0.454,0.138,0.238,01/01/06/04@01/01/06/05@01/01/06/06/01/01@01/01/09/02
-0.308,0.021,0.04,0.363,0.25,0.029,-0.34,-0.11,-0.415,-0.27,-0.158,-0.21,0.081,0.039,0.35,0.513,0.044,0.423,-0.155,0.343,0.38,0.3,0.49,-0.152,-0.147,-0.043,0.159,-0.086,0.69,0.53,0.096,0.19,0.61,0.386,0.72,-0.467,-0.33,0.27,-0.269,01/05/25@11/02/03/04@42/19
-0.199,-0.23,0.2,0.046,-0.467,-0.193,-0.31,-0.29,-0.44,-0.62,-0.41,-0.531,-0.472,-0.485,-0.035,-0.14,-0.377,-0.027,?,0.047,0.044,0.328,0.219,-0.288,?,?,-0.277,0.162,1.097,-0.09,0.668,-0.474,-0.353,-0.424,0.067,0.101,0.124,?,-0.017,99
-0.01,0.28,0.46,?,0.28,0.07,0.08,-0.09,0.18,0.17,0.02,-0.03,-0.051,0.11,0.199,0.26,0.62,0.09,0.37,0.2,0.15,0.45,0.25,-0.06,-0.14,-0.57,-0.28,0.1,0.787,0.3,0.39,-0.47,0.04,-0.54,0.744,-0.66,0.007,-0.18,-0.41,10/01/09/05@11/02/03/04
-0.67,0.207,0.038,-0.089,0.087,-0.34,-0.405,0.151,0.141,0.278,0.109,0.08,-0.07,0.666,0.359,0.443,0.532,0.362,-0.484,-0.392,0.157,0.103,-0.45,-0.028,0.214,-0.545,-0.498,0.078,0.013,-0.471,0.059,-0.629,-2.75,-0.912,-0.149,0.062,-0.197,-0.323,-0.285,10/01/05/01@10/01/09/05@11/02/03/04@16/01@32/01/09@40/10/02/03/02@42/10/03
-0.002,-0.44,-0.58,-1.13,-0.87,0.607,0.4,0.28,0.56,0.63,0.45,0.5,0.197,0.363,0.048,0.098,0.165,0,-0.771,-0.854,0.316,-0.792,-1.027,0.266,0.168,-0.047,-0.347,-0.712,-2.992,-0.82,-1.112,0.43,0.42,0.21,-0.035,0.273,0.337,-0.98,-0.054,99
0.193,0.809,0.285,0.387,0.452,0.119,0.088,0.304,0.48,0.38,0.126,0.083,0.187,0.37,0.631,0.549,0.39,-0.103,-0.039,-0.16,0.014,0.062,0.106,0.201,0.169,-0.387,-0.354,-0.261,0.556,?,0.142,0.481,0.473,0.02,0.873,?,0.225,-0.01,-0.473,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
-0.23,-0.067,0.158,0.218,0.355,0,0.151,0.478,0.324,0.33,0.669,0.112,0.01,-0.02,0.207,0.435,0.373,0.493,-0.214,-0.06,0.104,-0.01,-0.373,0.391,0.601,0.255,0.02,-0.26,0.137,0.13,0.113,0.508,0.377,0.438,-0.001,0.054,0.281,-0.499,-0.033,11/02/03/04
0.11,0.451,0.221,?,0.24,0.12,-0.039,0.162,0.048,0.248,0.041,-0.05,0.26,0.251,-0.029,0.029,0.183,-0.003,-0.422,-0.365,0.217,0.257,-0.287,-0.086,0.324,-0.376,-0.529,-0.16,-1.238,0.016,0.004,-1.012,-0.664,0.022,0.045,0.213,-0.386,0.575,-0.405,11/02/03/01@11/02/03/04
-0.041,-0.034,0.06,0.008,-0.07,0.199,-0.063,0.028,-0.048,-0.107,-0.077,?,0.233,-0.312,0.817,-0.499,0.202,-0.455,-0.339,-0.399,-0.204,-0.201,-0.46,-0.08,0.12,-0.084,-0.009,-0.481,-2.164,-0.247,-0.279,0.817,0.82,0.644,-0.091,0.121,-0.082,-0.612,-0.024,11/02/03/01@11/02/03/04
-0.038,-0.738,-1.052,-1.237,-1.179,0.025,-0.246,-0.419,-0.11,-0.153,-0.499,-0.354,-0.766,0.455,0.318,0.429,0.495,0.273,-0.334,-0.375,-0.016,0.395,-0.299,-0.631,-0.06,-0.733,-0.243,-0.177,0.173,-0.305,-0.264,-1.14,-1.317,0,-0.074,0.129,0.107,0.043,0.11,11/02/03/01@11/02/03/04
0.061,-0.331,-0.118,-0.245,-0.296,0.091,-0.192,-0.169,-0.208,-0.017,-0.055,-0.333,-0.333,0.23,-0.271,0.021,0.147,-0.227,0.379,-0.002,0.02,0.964,0.42,-0.315,-0.125,-0.756,-0.278,-0.139,1.231,0.328,0.46,0.06,-0.381,-0.652,-0.058,0.172,0.17,0.664,-0.593,01/04@10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@11/02/03/01/04@11/02/03/04@11/04/01@11/04/03/01@16/03/01@16/19/03@42/10/03
-0.051,0.23,-0.12,-0.09,-0.35,-0.497,0.45,0.32,0.27,0.15,0.23,0.12,-0.142,0.31,0.11,0.08,0.23,0.41,-0.24,0.12,0.08,0.928,0.887,-0.22,-0.22,0.07,0.02,-0.11,0.585,0.301,0.517,-1.031,-0.266,0.263,0.01,0.098,0.021,0.87,-0.14,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
-0.266,-1.003,-0.879,-0.945,-0.835,0.266,0.049,-0.579,-0.078,0.005,-0.056,-0.425,-0.303,-0.121,0.186,-0.025,0.129,0.005,-0.001,0.09,-0.642,-0.1,-0.901,-0.802,0.272,-0.344,-0.091,-0.216,-2.149,0.311,0.178,1.21,-0.543,-0.288,-0.061,0.098,-0.661,0.343,0.493,11/02/01@11/02/03/01
-0.076,-0.41,-0.53,-0.58,-0.46,0,-0.27,-0.34,-0.03,0.04,-0.21,-0.04,-0.461,0.01,-0.3,-0.18,-0.29,-0.24,-0.11,-0.18,0.001,0.591,0.016,-0.56,0.1,-0.27,0.07,-0.07,0.524,0.502,0.27,-0.43,-0.64,-0.37,-0.01,0.159,-0.219,0.025,0.19,11/02/01@11/02/03/01
0.01,-0.19,0,-0.07,0.04,0.02,0.03,0.02,0.16,0.22,0.18,0.2,0.06,0.44,0.19,0.353,-0.03,0.505,0.09,0.29,0.28,0.63,0.41,0.25,0.21,-0.02,-0.02,0.07,0.33,0.47,0.27,0.34,0.21,-0.213,-0.19,0.02,0.037,0.39,-0.36,01/05/25@10/01/09/05@11/02/03/04@34/11/03/07
-0.11,0.214,-0.304,-0.341,-0.15,0.16,0.238,-0.28,-0.1,-0.38,-0.12,0.17,-0.29,0.57,1.204,0.812,-0.45,0.58,0.97,0.75,0.58,0.58,0.4,-0.14,0.92,-0.03,-0.07,0.55,0.13,0.55,0.53,-1.81,-0.33,-0.308,0.46,-0.07,0.02,1.017,0.3,01/05/25@10/01/09/05@11/02/03/04@34/11/03/07
?,0.04,-0.166,-0.263,0.16,0.415,-0.085,0.2,-0.083,0.231,-0.089,0.063,0.038,0.251,0.274,?,-0.118,0.029,-0.486,-0.119,0.172,0.412,0.432,0.11,-0.001,-0.521,-0.024,-0.176,0.332,-0.01,0.12,1.029,-0.235,?,-0.075,0.074,-0.315,0.349,0.221,10/03/01/01/01@11/02/03/01/01@11/02/03/04
-0.405,0.229,0.159,0.36,-0.033,?,-0.295,-0.327,0.171,0.186,0.037,-0.03,-0.918,0.305,-0.069,-0.032,0.104,-0.184,-0.148,-0.17,-0.186,-0.062,0.093,-0.121,-0.548,-0.635,-0.395,0.229,-0.051,-0.234,0.048,-1.301,-0.615,0.118,-0.086,0.24,?,-0.036,0.143,11/02/03/01/01@11/02/03/04@32/05/01/03/03@34/01/01/01
0.27,0.785,0.66,0.972,1.083,0,0.016,0.176,0.409,0.401,0.203,0.254,0.78,0.797,0.569,0.62,0.401,0.29,0.139,0.326,0.186,-0.308,-0.027,0.263,0.129,-0.143,0.002,0.239,-0.378,-0.285,-0.376,0.863,0.524,0.452,0.038,0.181,0.166,-0.936,-0.337,11/02/03/04@32/01/01@32/07/07
-0.171,-0.163,-0.002,0.113,-0.181,-0.069,-0.042,0.065,-0.177,-0.219,-0.118,0.117,0.122,-0.137,-0.226,-0.324,-0.092,-0.265,-0.188,-0.283,-0.245,-0.193,-0.283,0.011,0.045,0.377,0.199,0.113,0.12,-0.608,-0.102,-0.724,-0.203,0.249,-0.142,0.258,0.23,-0.286,-0.065,10/01/05@10/01/09/05@10/03/04/05@11/02/03/01/04@11/02/03/04@16/17/09
0.288,0.051,0.02,-0.034,-0.072,0.581,0.457,0.219,0.439,0.439,0.35,?,0.595,-0.064,-0.016,0.125,0.101,-0.123,-0.44,-0.18,-0.515,0.01,0.389,-0.433,?,?,-0.117,0.117,-0.216,?,-0.322,-0.339,-0.507,-0.122,0.052,0.005,-0.425,-0.291,-0.277,10/01/05/03/01@11/02/03/01/04@16/01@16/03/01
-0.04,-0.18,-0.09,-0.27,-0.54,-0.41,-0.25,-0.25,-0.37,-0.34,-0.32,-0.36,-0.37,0.06,0.04,0.23,0.15,-0.31,-0.25,-0.446,0.1,0.74,0.51,0,0.08,-0.14,0.16,-0.19,0.425,0.53,0.218,0.31,0.5,0.09,-0.17,-0.02,0.92,0.26,-0.34,01/03/16/01@10/03/01@11/02/03/04@11/04@34/11/03/07@43/01/03/05
0.011,0.125,0.098,0.118,-0.034,0.091,-0.087,0.11,0.296,?,0.021,-0.036,0.228,-0.432,-0.373,?,-0.208,-0.365,-0.383,-0.195,0.101,0.094,0.22,0.267,0.251,?,0.128,0.097,0.025,-0.362,-0.557,0.005,0.068,0.068,0.774,-0.572,-0.357,0.12,-0.052,01/03/16/01@10/03/01@11/02/03/04@11/04@34/11/03/07
-0.21,-0.352,-0.392,-0.288,-0.312,0.572,0.533,0.265,0.407,0.37,?,0.452,-0.199,0.4,0.21,0.331,0.54,0.675,-0.432,0.051,-0.028,-0.298,-0.734,0.628,0.989,0.301,-0.08,0.225,-0.08,0.205,0.287,-0.05,-0.026,-0.828,-0.053,0.113,0.49,-0.179,0.2,11/02/03/01@11/02/03/04@18/02/09
0.247,0.06,-0.08,-0.07,-0.1,-0.285,-0.31,-0.02,-0.23,-0.28,-0.21,-0.12,-0.156,-0.163,-0.328,-0.2,-0.259,-0.59,-0.111,-0.029,0.265,0.266,0.054,-0.769,-0.63,-1.069,-0.484,-0.129,0.643,0.052,0.214,-0.25,-0.58,-0.5,0.038,0.221,0.137,-0.019,-0.298,11/02/03/04/03
0.091,-0.145,-0.684,-0.657,-0.675,0.12,-0.054,-0.208,0.367,0.219,-0.03,0.257,-0.13,-0.022,-0.043,0.104,0.165,-0.05,-0.461,-0.291,0.089,0.361,0.046,-0.214,0.215,-0.047,-0.041,-0.165,0.15,-0.042,0.101,-0.016,-0.427,-0.429,-0.046,0.153,-0.074,-0.029,-0.121,99
-0.053,0.07,-0.107,0.181,0.09,-0.139,-0.31,-0.252,-0.117,-0.153,-0.192,0.002,-0.464,-1.136,0.385,0.535,0.079,-0.081,0.123,0.149,0.34,0.436,0.775,0.237,-0.204,-0.589,-0.006,-0.347,0.833,0.348,0.313,0.371,0.813,-0.147,0.035,0.103,0.14,0.297,-0.574,10/01/03@11/02/03/01@16/03/01@42/16
0.004,0.426,0.128,0.167,-0.139,0.395,0.368,0.213,0.282,0.186,0.172,0.303,0.291,-0.283,-0.286,-0.436,-0.127,0.062,-0.211,0.71,0.054,0.777,0.65,0.295,0.172,0.176,0.151,-0.059,0.331,0.551,0.243,-0.435,-0.094,?,0.645,-0.609,0.436,?,-0.167,01/05/25@11/02/03/04@12/04/03@14/04@16/01@32/01/07
0.038,-0.189,-0.752,-0.898,-1.04,0.456,0.247,0.144,0.516,0.127,-0.179,-0.168,-0.453,-0.358,-0.339,-0.069,-0.086,-0.514,-0.759,-0.558,-0.241,-0.126,-0.432,-0.533,0.219,0.107,0.022,-0.376,-0.775,-0.298,-0.408,-0.805,-0.817,-0.746,0.794,-0.524,0.069,-0.105,0.263,11/02/03/01@11/02/03/04@18/02/09
0.091,0.744,0.69,0.836,0.68,?,0.643,0.965,1.11,0.934,?,0.868,1,0.633,0.495,0.502,0.635,0.124,-0.381,-0.446,-0.114,-0.145,-0.18,0.319,0.392,0.217,-0.015,0.3,-0.836,-0.625,-0.603,0.618,0.48,0.277,0.126,0.071,-0.105,-0.316,-0.07,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@20/01/27@32/01@32/05/01
?,-0.65,-0.29,-0.48,-0.41,-0.098,-0.24,-0.25,-0.46,-0.15,-0.36,-0.22,-0.119,0.4,0.4,1.59,-0.36,0.54,0.84,0.5,0.08,0.66,0.35,-0.183,0.22,0.08,0.63,-0.07,0.27,-0.14,0.02,-0.433,-0.97,-0.27,-0.06,-0.05,-0.64,0.25,0.379,11/02/03/04@16/01@16/19/03
-0.013,-0.467,-0.117,-0.14,0.051,-0.683,-0.466,-0.095,-0.124,-0.198,-0.109,0.018,-0.049,0.78,-0.067,0.147,0.301,0.065,0.52,0.167,0.015,0.189,-0.454,-1.233,-1.321,-1.323,-1.041,-0.86,0.876,-0.179,0.145,-0.941,-0.725,-0.642,0.02,0.164,0.002,0.293,-0.75,11/02/03/01@11/02/03/04
-0.081,-0.258,-0.118,0.022,?,0.2,?,-0.048,-0.265,0.146,-0.08,?,-0.05,0.42,?,0,?,-0.293,0.443,-0.032,-0.123,0.41,0.236,-0.223,-0.147,0.083,0.14,-0.093,-0.358,0.576,0.453,0.274,0.19,-0.204,-0.238,0.115,0.006,0.631,0.204,10/03/01/01/03@10/03/04/01@11/02/03/01@11/02/03/04@18/02/09
?,0.111,-0.116,-0.066,-0.131,0.45,0.447,0.19,0.561,0.623,0.429,?,0.133,0.508,0.064,0.082,0.143,0.025,-0.4,-0.415,-0.01,-0.41,-0.754,0.25,0.526,0.015,-0.299,-0.101,-0.39,-0.037,0.008,0.079,-0.394,-0.511,-0.197,0.226,0.076,-0.461,-0.253,11/02/03/01/04
-0.43,-0.981,-0.722,-0.584,-0.571,0.07,0.22,-0.056,-0.022,-0.192,0.177,0.079,-0.23,-0.813,-0.831,-0.375,-0.281,0.015,-0.072,-0.223,-1.106,0.125,-0.607,-1.038,0.128,0.344,0.363,0.064,-0.951,0.007,0.204,-0.852,-1.634,-1.035,-0.079,0.015,-0.238,0.226,0.333,01/03@11/02/01@11/02/02@11/02/03/01@11/02/03/04@16/03/01@16/17/09
0.029,0.03,-0.138,-0.34,0.004,-0.403,-0.542,0.014,-0.344,-0.49,-0.341,0.02,-0.341,0.052,0.222,0.078,0.274,-0.216,0.051,0.208,0.709,0.379,0.698,-0.439,-0.061,-0.142,0.126,-0.662,0.53,0.367,0.643,-0.018,0.568,-0.16,0.774,-0.578,-0.148,0.421,-0.163,11/02/03/01@16/01@16/03/01
0.19,0.264,-0.25,-0.423,-0.321,0.34,0.627,0.632,0.821,0.6,0.826,0.615,0.14,-0.172,-0.252,-0.113,0.039,0.014,-0.678,-0.17,-0.09,-0.11,-0.395,-0.056,0.456,0.327,0.166,-0.159,-0.83,-0.224,-0.483,-0.674,-0.376,-0.469,-0.124,0.013,0.506,-0.027,0.008,11/02/03/01@16/01@16/03/01
?,0.11,-0.02,-0.07,-0.05,-0.143,-0.19,-0.12,0.01,-0.05,-0.09,0.02,-0.163,-0.494,0.196,0.031,-0.105,-0.181,0.135,0.277,0.202,0.4,0.598,0.433,0.927,0.368,0.494,-0.014,0.168,0.129,0.497,-0.08,0.17,-0.14,0.02,-0.024,-0.064,0.25,0.185,01/05/25@11/02/03/01@11/02/03/04
-0.376,0.085,-0.268,-0.041,-0.406,0.231,0.338,0.276,0.326,0.185,0.151,0.367,0.314,-0.543,-0.147,0.136,0.189,0.316,-0.44,0.037,-0.032,-0.366,-0.46,-0.043,0.111,0.366,0.098,0.146,-1.294,-0.404,-0.207,-0.075,-0.183,-0.292,0.54,-0.555,0.132,?,-0.122,11/02/03/01@11/02/03/04
0.543,0.21,0.094,0.655,0.527,-0.022,-0.34,-0.048,-0.111,0.048,-0.182,-0.075,0.042,0.123,0.256,0.148,-0.193,-0.118,-0.051,0.049,0.225,0.711,0.535,0.523,-0.091,-0.299,-0.212,-0.267,1.158,0.212,0.317,0.506,0.671,-0.409,0.759,-0.408,0.168,?,-0.142,01/05/25@11/02/03/01@11/02/03/04
