@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.078,-0.14,0.076,0.134,0.121,0.156,0.318,0.204,0.315,0.142,-0.065,-0.16,-0.278,-0.173,-0.286,0.207,0.219,-0.256,-0.363,0.223,0.041,0.238,-0.072,0.221,-0.468,0.103,01/04@01/06/02/02@30/01/09/03@32/01/05@34/11/09
0.049,-0.06,0.23,0.08,0.39,0.1,0.09,0.33,0.04,0.258,-0.09,0.2,0.04,-0.034,0.063,-0.35,0.15,-0.2,-0.113,-0.15,?,-0.6,-0.09,0.225,0.292,0.157,01/06@18/02/01@34/01/01/01
-0.19,-0.884,-0.58,-0.158,-0.156,-0.131,-0.183,-0.049,-0.103,-0.28,-0.804,0.191,-0.292,0.563,0.066,-0.524,0.115,-0.342,-0.178,-0.66,-0.049,0.107,-0.093,0.167,0.449,-0.389,01/06@32/05/01/01@42/04
?,-0.235,-0.158,-0.507,0.038,-0.248,-0.321,-0.196,-0.279,-0.524,-0.143,0.126,-0.247,0.44,0.243,-0.631,-0.417,-0.161,0.412,-0.146,-0.628,-0.742,-0.145,0.086,0.135,0.654,01/02/02@01/06/02/02@01/06/02/03
0.999,-0.157,0,-0.224,0.052,-0.523,0.021,-0.144,-0.131,-0.241,-0.1,-0.131,-0.43,-0.056,0.335,0.701,-0.073,0.569,-0.286,-0.877,-0.643,?,0.097,-0.123,0.688,0.562,10/03/01@10/03/05/01@16/01@42/04/05
0.312,0.418,0.681,0.101,0.18,0.798,0.512,0.497,0.646,0.606,1.009,0.429,0.432,-0.265,-0.023,-0.055,-0.35,0.451,0.839,0.801,-0.021,-0.457,0.066,0.257,-0.256,0.247,14/13/01@14/13/04/02
-0.427,-0.178,0.281,-0.432,-0.065,-0.239,-0.675,-0.11,-0.285,-0.025,0.164,-0.396,0.339,-0.852,-0.581,-0.303,-0.41,-0.037,0.369,-0.671,?,0.881,0.082,0.202,-0.199,-0.472,01/05/03@43/01/03/09
?,-0.291,0.196,-0.469,-0.432,-0.664,-0.556,-0.316,-0.507,?,?,0.319,0.099,-0.149,0.227,-0.184,0.266,0.016,0.611,-2.897,0.558,?,-0.055,0.107,0.223,-0.287,01/05/03@43/01/03/09
0.078,0.188,-0.122,-0.395,-0.123,0.013,-0.33,-0.041,-0.155,-0.363,0.277,-0.091,-0.172,-0.898,-0.237,-0.308,-0.409,-0.128,0.848,-1.365,?,-0.298,0.065,0.167,?,-0.16,01/04@01/05/02@01/05/25@01/06/05@02/25@10/03/01/01@10/03/01/02@10/03/01/03@10/03/02@11/02/03/04@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02/01@18/02/05@18/02/09@30/01/05/01/02@30/01/05/01/03@30/01/05/01/06@30/05/01@32/01/03@32/01/09@34/05@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03@42/01@43/01/03/05@43/01/03/09
0.09,0.35,0.19,-0.11,0.01,-0.06,0.18,-0.14,0.06,0.38,0.15,0.11,0.24,0.5,0.15,-0.22,0.1,-0.47,-0.24,1.15,-0.24,-0.01,-0.18,-0.05,-0.536,0.14,01/03@01/04@01/06/02/01@14/07/01@20/01/17@42/01@43/01/03/09
-0.34,-0.097,-0.112,-0.126,0.169,0.15,-0.049,0.139,0.319,-0.167,0.177,0.118,0.321,0.05,-0.064,-0.407,-0.067,-0.432,-0.22,0.823,0.273,1.197,-0.017,-0.1,0,-0.98,10/03/02@43/01/03/09
-0.22,-0.786,0.033,0.043,-0.264,0.024,-0.032,0.046,0.228,0.45,-0.992,-0.131,-0.053,0.026,-0.631,0.485,0.221,0.025,0.28,-1.367,-0.365,-2.251,0.09,0.246,0.221,-0.077,99
0.066,-0.131,0.026,-0.302,-0.171,-0.193,-0.066,-0.169,-0.091,0.236,-0.104,-0.012,-0.052,0.099,-0.219,-0.147,-0.177,-0.242,-0.653,-0.039,-0.017,0.103,-0.123,0.187,-0.83,-0.08,14/01@14/07/11@14/13/01@43/01/03/09
?,-0.243,0.075,-0.214,-0.445,-0.67,-0.447,-0.305,-0.496,-0.519,0.309,0.073,?,0.43,-0.316,0.028,0.272,0,-0.369,-1.826,1.25,0.135,-0.241,0.128,0.492,-0.242,34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
?,-0.224,?,-0.29,0.251,-0.484,-0.779,-0.281,-0.489,-0.472,0.575,?,?,-0.514,-0.876,?,-0.813,0.154,-0.035,?,0.183,?,-0.086,0.156,-0.14,-0.221,20/09/07/27@43/01/03/09
-0.46,-0.199,0.421,-0.57,0.354,-0.795,-0.719,-0.364,-0.42,-0.28,0.278,0.39,0.151,-0.919,-0.738,-0.147,-0.143,0,-0.46,-0.294,0.162,?,0.061,0.33,-0.147,1.256,32/01@34/11/12
?,-0.241,-0.349,-0.28,-0.057,-0.459,-0.134,-0.284,-0.349,0,-0.01,-0.137,-0.15,0.035,-0.392,0.083,-0.124,-0.464,0.582,-0.289,-1.291,?,-0.121,0.246,0.362,-0.353,43/01/03/05@43/01/03/09
-0.122,-0.105,0.263,-0.143,-0.099,0.056,-0.074,0.095,-0.088,-0.225,0.055,-0.135,?,-0.017,0.11,0.279,0.455,0.087,0.239,?,1.167,-0.145,0.694,-0.68,0.077,-0.256,43/01/03/09
-0.172,-0.208,-0.361,-0.077,0.011,-0.142,-0.26,0.173,-0.061,-0.29,-0.609,-0.73,1.344,0.525,-0.422,0.11,0.01,-0.054,0.467,-0.177,-0.96,-0.549,-0.098,0.062,0.23,0.133,40/01@42/04@43/01/03/05@43/01/03/09
-0.221,0.043,-0.181,-0.105,0.184,0.109,-0.132,0.021,0.13,0.263,0.715,-0.04,-0.077,-0.155,-0.264,-0.328,0.381,0.334,-0.88,0.367,0.404,1.366,-0.332,0.153,-0.295,0.055,10/03/02@16/07@43/01/03/09
-0.1,0.427,0.556,-0.437,-0.214,-0.073,-0.267,-0.141,0.017,-0.28,1.047,0.183,0.412,-0.342,?,-0.306,-0.266,0.267,-0.087,0.382,?,0.107,0.215,0.17,-0.038,?,99
-0.01,-1.28,-1.46,-1.76,-1.17,-1.89,-1.75,-2.14,-1.36,-1.59,1.24,0.5,0.72,0.5,0.14,0.39,0.44,-0.33,0.459,0.59,0.198,0.5,-0.03,0.03,-1.09,0.24,01/06/06/11@16/21/07@34/05/01
0.113,-0.086,-0.303,0.028,-0.247,-0.188,-0.469,-0.47,-0.237,-0.192,0.481,0.083,0.133,0.596,0.473,0.596,0.511,0.275,-0.571,0.427,0.013,0.275,-0.101,0.101,0.075,0.352,01/06/06/11
?,-1.056,-1.351,-0.656,0.138,-1.341,-1.289,-1.414,-1.268,-0.794,0.735,0.52,0.018,0.446,0.159,0.407,0.132,0.797,-1.059,-0.165,-0.111,0.531,-0.448,0.063,0.452,0.374,01/01/06/06/02@01/05@01/06/05@01/06/06/11@01/20/25@02/25
-0.112,-1.967,-1.714,-0.889,0.269,-1.97,-1.855,-1.733,-1.629,-1.649,0.358,0.999,0.698,0.758,0.165,0.251,0.289,0.242,-1.24,-1.514,-0.428,-0.413,0.002,0.269,0.439,-1.768,01/06/06/11@16/17/09
-0.293,-1.473,-1.426,-0.825,-1.322,-1.297,-1.391,-1.28,-1.302,-1,0.175,0.122,-0.165,0.709,0.74,0.695,0.186,0.527,-0.304,-0.732,-0.358,-0.686,-0.065,0.147,-0.551,-0.09,01/06/06/11@01/20
0.047,-0.881,-1.072,-0.789,-0.88,-1.101,-1.301,-1.305,-1.209,-0.821,-0.108,-0.476,-0.752,-0.104,-0.126,0.45,-0.382,-0.451,-0.342,-0.147,-0.567,0.179,-0.016,0.262,-0.528,0.177,01/04@01/06/06/11@01/06/10
0.296,-0.81,-0.595,-0.08,-0.913,-0.424,-0.582,-0.801,-0.561,-0.641,0.783,0.27,0.131,0.463,0.491,1.179,0.571,0.022,0.302,-1.096,-0.153,?,-0.02,0.038,-0.376,-0.255,01/06
-0.21,-1.698,-1.565,-1.269,-1.843,-2.416,-2.517,-2.334,?,-1.74,0.206,-0.193,-0.403,0.165,-0.173,0.332,0.003,-0.63,-1.332,-0.638,0.13,0.096,-0.101,0.105,-0.03,-2.061,01/06/06/09@01/06/06/11@16/21/05@20/01/15
-0.198,0.461,0.798,0.005,0.511,0.449,0.484,0.538,0.392,0.172,0.651,-0.063,0.352,-0.493,0.036,0.056,0.035,0.025,0.586,-0.447,0.166,-0.124,-0.191,0.146,-0.276,0.07,01/01/05/01/02@01/05@01/07/01
-0.111,0.34,1.32,0.15,0.26,0.38,0.13,0.5,0.46,0.984,0.66,0.72,0.64,?,0.149,-0.23,0.35,0.47,-0.221,0.08,-0.281,0.32,-0.12,0.115,0.359,0.709,14/07/02
-0.03,0.2,0.13,-0.062,0.01,0.26,0.18,0.19,0.38,0.17,0.44,0.36,0.76,0.37,0.28,0.04,0.33,-0.23,-0.51,0.936,0.329,0,-0.23,-0.11,-0.77,0.57,01/04@14/07/03@30/01/05/01@32/01@34/01/01/01
-0.069,0.94,0.483,0.493,0.74,0.848,0.72,0.473,0.293,0.469,0.366,-0.603,-0.67,-0.657,-0.576,0.727,0.613,0.185,0.548,0.088,-1.031,-1.326,-0.134,0.097,-1,-0.016,01/01/06/05@01/01/09/03/01@01/02/03/01@01/02/03/03
-0.01,0.27,-0.52,0.15,0.15,0.657,0.31,0.269,0.35,0.14,0.64,-0.02,-0.382,-0.38,0.02,0.224,1,0.224,0.17,-0.1,-1.168,-0.69,0.12,0.14,-0.22,0.338,01/01/06/05/01@01/02/03/01@01/03/01@01/04
?,0.32,0.08,-0.633,-0.13,-0.78,-0.77,-0.46,-0.73,-1.029,-0.142,-0.197,0.271,0.767,0.395,-0.221,0.605,?,0.366,-3.422,-1.635,?,-0.153,0.222,0.117,0.25,01/01@01/02/03/01@01/02/07@01/20/19/01@16/21/07
-0.051,0.618,0.456,-0.072,-0.178,0.209,0.191,0.247,0.181,0.469,0.006,-0.141,-0.259,-0.564,-0.126,0.206,0.107,0.03,0.431,-0.391,-0.549,-0.169,-0.096,0.188,0.514,?,01/02/07@11/02/03/04@20/01/01/07@32/07
1.194,3.398,3.624,2.222,1.196,2.728,2.521,2.446,2.6,3.639,0.3,0.003,0.324,0.555,0.51,1.126,0.447,0.387,0.216,1.286,1.557,?,-0.32,-0.056,0.452,0.08,20/01/01/07@32/07
-0.22,-0.065,0.047,-0.508,0.1,-0.202,-0.021,0.084,-0.118,-0.55,0.18,-0.398,-0.144,?,0.042,-0.036,-0.752,-0.189,0.531,-0.538,-1.248,?,0.02,0.048,2.794,-0.087,01/01/13@01/02/07/03@10/03/01@11/02/03/04/03@14/07/05@14/13/01/01@16/01
-0.069,0.241,0.515,0.274,0.162,0.507,0.445,0.38,0.251,0.211,0.162,0.359,0.511,1.031,0.558,0.687,0.109,0.179,0.825,0.168,-0.245,-0.406,0.063,0.059,0.18,0.017,01/01/09/01/02@01/01/09/02/01@01/01/11/02/02@01/01/11/03/02@01/01/11/04/02@01/05/02/04@01/05/02/07@01/06@01/07/01@02/01@02/08@02/10@10/03/01/01/03@16/21/05@20/01/15
0.375,0.676,0.934,0.261,0.509,0.658,0.587,0.574,1.167,0.725,0.105,0.082,0.749,0.453,0.573,-0.524,-0.83,-0.107,-0.581,1.508,0.157,0.996,-0.133,0.294,-0.039,-0.296,01/01/03/02/01@01/01/06/06/01/03@01/01/11/02/01@01/01/11/03/01@01/01/11/04/01@01/05/02/04@01/05/02/07@02/01@02/10@16/19/03@16/21/07@20/01/15
0.234,0.561,0.778,0.448,0.403,0.41,0.385,0.428,0.598,0.134,0.389,-0.029,0.454,0.131,-0.188,-0.49,-0.759,0.128,-0.156,0.058,-0.015,0.26,-0.173,0.016,-0.363,-0.363,01/05/02/04@01/05/02/07@01/06/05@01/07@02/01@02/10@16/21/07@20/01/15@42/16
-0.156,0.087,0.837,-0.071,0.286,0.116,-0.045,0.235,0.188,?,0.946,0.243,0.313,0.419,-0.088,1.346,0.395,0.219,0.888,0.154,-0.573,0.313,-0.04,-0.012,-0.246,0.131,01/05/02/04@01/05/02/07@01/06/05@01/07@02/01@02/10@16/21/07@20/01/15@42/16
-0.231,-0.175,0.09,-0.211,-0.02,-0.2,-0.02,-0.046,-0.154,0.062,0.245,0.556,?,-0.047,?,-0.305,0.367,-0.047,0.115,0.248,0.481,?,-0.177,0.115,0.11,0.49,01/04@01/05@02/01
0.221,?,0.358,0.069,-0.251,-0.438,-0.402,-0.178,-0.041,-0.044,0.44,0.572,0.697,0.403,0.337,0.001,0.108,0.147,0.187,0.496,0.285,1.043,-0.025,?,-0.274,0.175,02/10
0.324,0.203,0.54,-0.549,-0.639,-1.431,-1.371,-1.198,-1.283,-0.284,0.615,0.725,0.8,0.378,0.752,-0.595,-0.518,0.245,0.579,-0.489,0.256,?,-0.053,0.184,-0.185,0.34,01/05/02/04@01/05/02/07@02/10@02/11/05@02/13/03@16/01@16/21/05@16/21/08@20/01/15@42/16
-0.009,-0.167,0.269,-0.053,-0.033,-0.203,-0.021,-0.225,-0.392,-0.095,-0.28,-0.344,0.037,0.649,0.181,0.359,-0.07,0.207,-1.445,-0.26,-0.652,?,-0.121,0.281,?,-0.458,16/03/01@32/01/09@42/10/03
0.038,0.158,0.02,-0.246,0.041,-0.202,-0.125,-0.257,-0.245,0.132,0.21,-0.429,-0.348,-0.577,-0.4,0.069,0.024,0.092,-0.387,0.671,-0.315,0.241,0.014,0.17,-0.059,-0.389,10/01/03@32/01/09@42/10/03
0.013,0.683,0.689,-0.2,-0.252,0.363,0.155,0.278,0.379,0.859,0,0.031,0.291,0.168,0.26,0.248,0.051,0.298,0.306,-0.014,-0.66,?,-0.212,0.07,-0.287,0.362,01/04@01/07/01
?,-0.334,-0.444,0.442,0.136,0.627,0.216,?,0.212,0,-0.495,-1.175,-0.705,-0.774,-0.399,-0.02,0.084,0.097,-1.354,-0.131,0.34,0.241,0.008,0.061,-0.502,-0.097,01/04@01/07/01@16/19/03
0.207,0.529,-0.289,0.683,0.895,0.626,0.569,0.213,0.215,0.532,-0.301,-0.109,-0.302,0.048,-0.042,0.324,0.263,0.167,0.092,-0.811,-0.275,-0.022,?,-0.55,0.454,-0.478,01/01/06/04@01/01/06/05@01/01/06/06/01/01@01/01/09/02
-0.308,0.021,0.363,-0.34,-0.11,-0.415,-0.27,-0.158,-0.21,0.081,0.35,-0.155,0.343,0.47,0.49,-0.147,0.159,-0.086,0.69,0.19,-0.87,0.329,0.72,-0.467,-0.33,0.383,01/05/25@11/02/03/04@42/19
-0.199,-0.23,0.046,-0.31,-0.29,-0.44,-0.62,-0.41,-0.531,-0.472,-0.035,?,0.047,-0.555,0.219,?,-0.277,0.162,1.097,-0.474,?,0.03,0.067,0.101,0.124,?,99
-0.01,0.28,?,0.08,-0.09,0.18,0.17,0.02,-0.03,-0.051,0.199,0.37,0.2,0.27,0.25,-0.14,-0.28,0.1,0.787,-0.47,0.4,0.145,0.744,-0.66,0.007,0.14,10/01/09/05@11/02/03/04
-0.67,0.207,-0.089,-0.405,0.151,0.141,0.278,0.109,0.08,-0.07,0.359,-0.484,-0.392,-0.686,-0.45,0.214,-0.498,0.078,0.013,-0.629,-0.777,-1.051,-0.149,0.062,-0.197,0.488,10/01/05/01@10/01/09/05@11/02/03/04@16/01@32/01/09@40/10/02/03/02@42/10/03
-0.002,-0.44,-1.13,0.4,0.28,0.56,0.63,0.45,0.5,0.197,0.048,-0.771,-0.854,-1.573,-1.027,0.168,-0.347,-0.712,-2.992,0.43,0.1,?,-0.035,0.273,0.337,-0.313,99
0.193,0.809,0.387,0.088,0.304,0.48,0.38,0.126,0.083,0.187,0.631,-0.039,-0.16,-0.256,0.106,0.169,-0.354,-0.261,0.556,0.481,0.219,0.649,0.873,?,0.225,-0.195,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
-0.23,-0.067,0.218,0.151,0.478,0.324,0.33,0.669,0.112,0.01,0.207,-0.214,-0.06,0.414,-0.373,0.601,0.02,-0.26,0.137,0.508,0.355,?,-0.001,0.054,0.281,0.002,11/02/03/04
0.11,0.451,?,-0.039,0.162,0.048,0.248,0.041,-0.05,0.26,-0.029,-0.422,-0.365,-0.635,-0.287,0.324,-0.529,-0.16,-1.238,-1.012,-0.153,-0.661,0.045,0.213,-0.386,-0.356,11/02/03/01@11/02/03/04
-0.041,-0.034,0.008,-0.063,0.028,-0.048,-0.107,-0.077,?,0.233,0.817,-0.339,-0.399,-0.195,-0.46,0.12,-0.009,-0.481,-2.164,0.817,-1.071,?,-0.091,0.121,-0.082,-0.237,11/02/03/01@11/02/03/04
-0.038,-0.738,-1.237,-0.246,-0.419,-0.11,-0.153,-0.499,-0.354,-0.766,0.318,-0.334,-0.375,-0.813,-0.299,-0.06,-0.243,-0.177,0.173,-1.14,?,-1.213,-0.074,0.129,0.107,-0.104,11/02/03/01@11/02/03/04
0.061,-0.331,-0.245,-0.192,-0.169,-0.208,-0.017,-0.055,-0.333,-0.333,-0.271,0.379,-0.002,0.332,0.42,-0.125,-0.278,-0.139,1.231,0.06,0.184,?,-0.058,0.172,0.17,-0.065,01/04@10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@11/02/03/01/04@11/02/03/04@11/04/01@11/04/03/01@16/03/01@16/19/03@42/10/03
-0.051,0.23,-0.09,0.45,0.32,0.27,0.15,0.23,0.12,-0.142,0.11,-0.24,0.12,0.998,0.887,-0.22,0.02,-0.11,0.585,-1.031,?,-0.882,0.01,0.098,0.021,0.174,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
-0.266,-1.003,-0.945,0.049,-0.579,-0.078,0.005,-0.056,-0.425,-0.303,0.186,-0.001,0.09,-0.597,-0.901,0.272,-0.091,-0.216,-2.149,1.21,?,?,-0.061,0.098,-0.661,-0.329,11/02/01@11/02/03/01
