@RELATION 'derisi0.names'

@ATTRIBUTE r1                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
3607,3470,2807,2685,2173,0.85,1,1.21,1.18,1.01,0.83,1806,2606,1457,1279,1492,18/02/03@20/09/07@20/09/16/09/03
4452,5260,3449,3303,2036,1.17,1.03,1.67,0.85,0.63,0.6,2099,3269,2172,1692,1254,10/01/02@10/01/05@10/03/01/03
2190,2755,5880,1855,3742,0.78,0.64,0.31,1.28,6.67,3.23,936,1163,1185,4323,3003,01/05
2405,3433,1829,1951,1131,1.08,1.06,1.99,0.93,0.44,0.5,1086,1334,1088,579,547,10/03/01@18/02/01
3334,3861,2060,2388,1385,0.8,1.17,1.95,1.25,0.46,0.51,1538,2259,3863,829,790,20/01/01/01@20/03/01/01@34/01/01@34/11/03/07
3232,3645,2790,2726,1438,0.91,1.72,2.53,1.1,0.93,0.4,1497,2086,697,1051,592,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
19922,16511,5455,17063,3723,0.84,1.23,5.59,1.19,0.27,0.18,15597,18618,6872,3731,2791,12/01/01@12/04@16/01
1624,2713,2278,1256,1060,0.79,1.24,1,1.27,1.43,1,447,696,687,680,445,16/01@18/01/07@30/01/05/05/01@42/16@43/01/03/05
7893,7321,9031,5988,4933,0.69,0.75,1.19,1.45,1.49,0.84,5106,6760,11344,7709,4289,01/04@01/05/03@10/03/02@11/02/03/04@14/07/03@14/13@16/01@16/19/03@18/01/01@18/02/01@30/01/05/01/06@30/05/02/20@32/01@40/01/03@40/10/02/01@43/01/03/09
2630,3608,4484,2124,1939,0.85,0.82,0.97,1.18,2.13,1.03,1257,1586,2740,3060,1291,14/10@16/01@32/01/07@42/16
3024,4114,2651,2406,1582,1.09,1.6,1.7,0.92,0.65,0.59,1583,2094,1532,1321,931,01/01/09/04/01
2115,3286,3150,2164,1843,0.82,0.95,0.9,1.22,1.56,1.11,857,924,646,1554,957,01/04@20/09/16@34/11/03/07@40/01@41/01/01
12336,12137,4239,9887,2926,1.06,1.54,4.28,0.94,0.25,0.23,8517,11133,3390,2401,1992,01/05/03@10/03/01@10/03/03@40/01
2638,3828,3954,3836,6915,0.88,1.25,0.47,1.14,1.56,2.13,2896,1593,1339,2559,6197,01/01/09/04@01/01/09/05@01/05@01/20@02/16
1359,3269,3291,1535,2060,0.67,1.27,0.53,1.49,1.59,1.89,808,509,826,2024,1533,01/03/04@01/07/01@16/01
2024,3153,2937,1637,1767,0.86,1.19,0.74,1.16,1.45,1.35,846,1131,1174,1678,1139,01/07/01@32/01
4352,5682,7119,4025,7421,0.96,1.05,0.44,1.04,1.72,2.27,2778,3062,1690,5147,6370,01/02@01/03/16/03@01/05/25@10/01@10/03/02@20/01/01/01@20/01/03@20/03/02/03/01
2574,3624,3012,2469,1701,1.34,1.4,1.43,0.75,1.08,0.7,1203,1311,698,1143,840,10/03/01/01/11@11/02/03/01@11/02/03/04
2904,4347,2813,1741,1256,1.04,1.35,1.49,0.96,0.53,0.67,967,2007,1495,1213,648,10/01/02@10/01/05/01@10/01/05/03@11/02/03@11/04/01@11/04/03/01/10@12/04@12/07@16/03/03@16/19/03@42/10
2922,4319,2999,3435,1962,1.24,1.73,2,0.81,0.68,0.5,2134,1667,631,1143,1065,01/03/04/03@01/04@16/19/03
2407,5352,3650,2052,1476,1.18,1.68,1.57,0.85,0.69,0.64,1252,1575,6075,2318,796,14/04@20/01/10@20/03@20/09/04
7943,8632,8732,3950,1964,0.73,0.91,2.41,1.37,1.12,0.41,2852,6713,14997,7174,1184,01/05@14/07/02/02@42/01
2719,4251,3079,1978,1630,1.03,1.13,1.33,0.97,0.7,0.75,1311,1634,1133,1213,989,01/04@14/07/03@18/02/01/01/05@30/01/05/01/03@30/05@32/01@34/11/03/13@42/01@42/04/03
3380,3875,3202,2444,1818,1.12,1.28,1.37,0.89,1.03,0.73,1437,2269,1432,1422,1048,01/07/01
6874,5981,6072,4760,4540,1.07,1.03,1,0.93,1.22,1,3724,5767,2751,4226,3733,14/10@16/01@16/07@20/09/14@34/05@40/01@42/04/03
13891,12460,15848,7067,4818,1.08,0.84,1.46,0.93,1.41,0.68,5915,12659,14330,14324,4056,12/01/01@12/04@16/01@42/16
4378,5011,2488,3439,1379,1.65,2.26,3.59,0.61,0.35,0.28,2479,3334,1693,956,691,11/04/01@12/01/01@14/10@16/19/03
10019,12779,11209,5584,4333,0.77,1.09,1.29,1.3,0.93,0.78,4738,8863,7183,9910,3682,16/01@34/11/03/07@41/01/01
2138,3612,3593,2003,1655,1.11,1.16,1.11,0.9,1.56,0.9,1091,1145,1359,2125,983,20/09/16/09/03@43/01/03/09
10007,10666,5153,5708,1909,1.56,1.86,3.98,0.64,0.44,0.25,4554,8759,6301,3684,1145,01/01/06/06/01@01/01/06/06/02
5738,9093,6194,4702,2704,1.07,1.34,1.88,0.93,0.7,0.53,3506,4486,2689,4806,1863,99
1799,2981,2273,1554,1268,1.07,1.21,1.1,0.93,0.85,0.91,555,758,684,647,504,01/07/01
2176,3002,2290,1790,1222,1.48,1.36,1.48,0.68,1,0.68,678,1010,737,824,457,01/07/01@16/21/17
2536,2967,2465,2015,1683,0.85,1.03,1.08,1.18,1.12,0.93,931,1481,927,767,866,01/05@14/07/02/01
2311,3350,2855,1767,1295,0.97,1.39,1.18,1.03,1.16,0.85,642,1153,861,1259,545,20/01/01/01/01/01@20/09/18@34/01/01/01
1855,2989,2086,1585,1230,1.21,1.38,1.16,0.83,0.91,0.86,677,878,672,718,583,99
3844,6637,4394,3348,2407,1.14,1.29,1.4,0.88,0.67,0.71,2480,2811,1808,3051,1769,14/13
1469,2742,3865,1323,1299,1.17,1.06,0.67,0.85,3.85,1.49,458,533,641,2580,679,01/05/02@16/01
2445,3237,3161,1770,1620,1.15,1.22,0.87,0.87,1.67,1.15,849,1324,1160,1946,980,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
1688,2922,4964,1447,1869,1.15,1.27,0.5,0.87,4.55,2,627,693,625,3674,1264,01/05
4883,5144,3750,3458,2276,1.14,1.31,1.5,0.88,0.77,0.67,2170,3727,1902,2034,1450,01/04/04@11/02/03/04@18/02/01
3348,3875,4105,2513,2343,0.87,1.06,0.93,1.15,1.64,1.08,1564,2277,2410,2845,1682,14/07/05@14/10@14/13/01/01@16/01@16/19/03
2274,3153,2636,1913,1714,0.98,1.08,1,1.02,1.28,1,1066,1359,1484,1354,1067,14/04@20/09/07/27@20/09/13@20/09/18@42/25
19968,16525,5695,15059,3410,0.76,1.12,5.34,1.32,0.29,0.19,13679,18695,5515,3966,2562,12/01/01@12/04@16/01
4626,4693,4415,3519,4401,0.76,0.65,0.63,1.32,1.32,1.59,2227,3372,3259,2815,3517,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
3586,5168,7393,4669,10033,1.03,1.36,0.38,0.97,2.13,2.63,3447,2322,1849,5694,9001,01/05/02/04@01/05/02/07@01/06/05@01/07@02/01@02/10@16/21/07@20/01/15@42/16
3143,4145,3378,3073,1735,0.73,1.1,1.96,1.37,1.04,0.51,2137,2079,2187,2087,1091,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03
8734,8905,4823,7467,2933,0.96,1.24,2.84,1.04,0.51,0.35,6631,7767,6244,3498,2331,10/03/01@12/04/01@12/07@16/01@16/03/03@43/01/03/09
1814,2989,2368,1734,1400,0.85,1.8,1.15,1.18,1.03,0.87,860,867,510,631,751,14/07
3279,3965,3343,3118,1948,0.87,1.42,1.7,1.15,1.1,0.59,1884,2074,825,1613,1108,01/03/16/01@10/01/05@11/04/01@12/01
5905,5052,9063,3904,4897,0.91,0.94,0.72,1.1,2.63,1.39,3064,4926,4580,7405,4252,01/07/01
2866,3364,2796,2426,2879,0.66,1.16,0.73,1.52,1.1,1.37,1603,1893,1132,1220,2206,42/19
1927,3356,2801,1894,1801,1.26,1.64,0.85,0.79,1.22,1.18,965,920,892,1481,1137,20/01/01/01/01@34/01/01/01
1511,3052,2542,1376,1313,0.99,1.3,0.84,1.01,1.33,1.19,617,609,762,1135,734,20/03
3632,4278,4380,4257,3917,0.49,0.75,0.98,2.04,1.43,1.02,2945,2340,1285,2612,3003,01/05@14/07/02/02
2071,3073,3611,1558,1717,0.91,1.05,0.68,1.1,2.08,1.47,751,1173,983,2013,1110,99
3230,4105,3387,2392,1705,0.91,1.19,1.39,1.1,1.02,0.72,1450,2189,1865,1869,1044,32/01@42/01
3371,5211,4451,2962,2684,0.97,1.14,1.04,1.03,1,0.96,2142,2447,2194,3187,2052,01/04@16/19/03@20/01/01/01@20/01/13@20/01/27@20/03/22@20/03/25@32/01/01@32/05/01/03@32/07/05@34/01/01/01
2277,3775,3761,2311,2038,0.86,1.13,0.93,1.16,1.64,1.08,1181,1018,435,1794,1276,10/03/01/03
2090,3656,4188,2093,1668,1.23,1.15,1.09,0.81,2.63,0.92,905,926,656,2072,829,10/03/01@11/02/03/01@11/02/03/04@32/01/03@32/05/01/03@34/11/03/13
2976,3942,3382,2488,2495,1.18,1.18,0.83,0.85,1.32,1.2,1383,1767,910,1260,1676,42/01@43/01/03/05
2804,3796,8634,1668,3010,1.12,1.13,0.39,0.89,4.17,2.56,919,1701,1929,7027,2369,99
2397,3326,2886,1759,1444,0.89,1.13,1.06,1.12,1.23,0.94,840,1371,1696,1505,794,14/07/01@20/09/18/09/01@30/05@34/11/03/07
5507,10580,8292,3700,2678,1.14,1.49,1.44,0.88,0.8,0.69,2939,4683,7849,6789,2047,01/04@10/03/01/01/03@10/03/01/01/09@11/02/01@11/02/02@11/02/03/04@14/07/03@16/01@30/01/05@30/05/02/20@32/01/09@34/01@34/07/01@34/11/11@40/01@42/04@43/01/03/05
1968,3313,3329,1857,1891,0.76,0.99,0.76,1.32,1.79,1.32,921,901,1505,1910,1214,01/01@01/05@01/20/37/01@16/17/09
7102,8417,4007,3679,1626,1.34,1.72,2.88,0.75,0.39,0.35,2607,5836,6383,2380,906,01/03/16/01@10/03/01@11/04/01
2599,4186,3888,1850,1466,1.09,1.43,1.08,0.92,1.25,0.93,872,1390,1648,2424,804,99
3244,3440,2561,2326,1469,1.05,0.98,1.86,0.95,0.75,0.54,1275,2093,1030,781,686,11/02/03/01@11/02/03/04
2852,3958,3064,2784,1999,0.93,1.32,1.38,1.08,0.93,0.72,1815,1827,4612,1699,1312,10/01/05/01@10/03/03
3809,4043,4217,2749,2174,0.76,1.08,1.21,1.32,1.49,0.83,1886,2750,3740,2842,1565,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
2735,3471,3008,2534,2582,1.06,1.1,0.84,0.94,1.3,1.19,1548,1512,1455,1759,1841,10/01/05/01@32/01
7288,6394,5136,3597,2139,0.91,0.94,1.78,1.1,0.88,0.56,2489,6103,5032,3610,1402,01/01@01/07/01@01/20/37/01@16/19/03@32/01/01
16907,17444,11220,10701,6096,1.05,1.29,1.8,0.95,0.64,0.56,9477,15642,8398,9594,5266,01/05/25@11/02/03/01@11/02/03/04@34/11/03/07@43/01/03/09
3294,4125,3086,2340,1408,1.08,1.05,1.83,0.93,0.93,0.55,1410,2115,2227,1845,770,01/04@01/05/02/04@01/05/02/07@02/01
9421,10008,4159,8389,3130,0.93,1.5,2.99,1.08,0.36,0.33,7440,8366,5894,2857,2485,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07
5871,6371,3623,4272,1886,1.35,1.42,2.77,0.74,0.56,0.36,3236,4707,4037,2444,1167,01/01/06/05/01@01/02/03/01@01/03/01@32/01/03
2467,2972,2577,1726,2046,0.75,0.9,0.62,1.33,1.33,1.61,826,1450,987,961,1328,01/04@16/19/03@20/03/25
4899,5045,5173,3842,2958,0.96,1.19,1.24,1.04,1.35,0.81,2671,3702,1600,3473,2152,10/03/01@14/07/04@42/04
3102,3858,3431,2640,2242,0.81,1.01,1.14,1.23,1.27,0.88,1668,1940,2345,2120,1468,14/01
1468,2756,1866,1342,903,1.39,1.66,1.82,0.72,0.81,0.55,510,534,661,594,280,10/03/02@16/07@43/01/03/09
2159,2738,2188,1700,1346,0.94,1.39,1.26,1.06,1.14,0.79,812,1216,676,674,647,10/01/03@16/19/03
2030,3822,4105,2009,1975,0.76,0.98,0.72,1.32,1.75,1.39,861,976,650,2504,1197,01/07/01@01/20/15/03
2561,3603,2781,2141,1436,0.67,1.16,1.58,1.49,1.03,0.63,1161,1464,1393,1382,735,10/03/02/01@16/03/01
5356,6841,5849,4779,4192,1.25,1.36,1.1,0.8,0.96,0.91,3934,4418,3835,4542,3589,14/13
2001,3182,2798,1650,1403,0.8,1.37,1.04,1.25,1.35,0.96,853,1123,1055,1495,817,01/04@10/03/01@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02@30/01/05/01/06@40/01/03
2657,3674,2463,2154,1332,0.81,1.7,1.8,1.23,0.76,0.56,1409,1765,1495,1215,784,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
2689,3456,3228,2325,1542,0.98,1.08,1.53,1.02,1.47,0.65,1063,1471,606,1387,695,01/03/04/03@01/03/07@01/05/13/03@10/01/03@10/01/05/01@16/19@30/01/09/11
3938,4936,3247,2973,1935,0.74,1.31,1.64,1.35,0.61,0.61,2190,3042,2155,1715,1336,20/01/01/01/01@32/07@34/01/01/01
4399,5694,13298,2729,3834,0.96,1.27,0.61,1.04,3.33,1.64,1976,3545,5576,11934,3262,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/10/03@42/22@43/01/03/05
2414,3979,3810,2219,2138,0.82,0.98,0.89,1.22,1.32,1.12,1331,1419,1653,2458,1498,01/04@10/03/01@14/07/03
2918,3565,2864,2217,2451,0.69,0.8,0.75,1.45,1.06,1.33,1220,1868,2915,1464,1628,99
6574,15334,9911,4401,3288,0.49,0.79,1.34,2.04,0.63,0.75,3582,5408,11284,8217,2677,01/05@14/07/02/01@14/07/02/02@42/01
2659,3618,2947,2419,1538,0.85,0.94,1.64,1.18,1.03,0.61,1559,1651,2687,1615,951,20/09/07/03
4153,4162,5047,3145,2640,0.77,1.11,1.14,1.3,1.75,0.88,2346,3200,4137,3703,2062,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
8659,8963,7192,4343,3021,0.88,0.95,1.43,1.14,0.83,0.7,3215,7432,7717,5471,2251,10/03/03@16/01@32/01/03@40/01@42/04/03@43/01/03/05@43/03
5020,4008,3320,3149,2320,1.03,1.47,1.37,0.97,1.02,0.73,2070,3885,1487,1528,1510,11/02/03/01/04@14/13/01/01
3797,5374,4624,2821,1829,0.51,0.67,1.59,1.96,1.01,0.63,1637,2616,4895,3128,1031,01/03/01/03
2928,4102,4312,2516,2773,1.05,1.21,0.8,0.95,1.61,1.25,1238,1761,2045,3110,1557,14/04@20/09/07
1905,3232,2743,2438,2639,1.02,1.17,0.83,0.98,1.41,1.2,1316,771,856,1555,1585,14/10@18/02/01/01/01@30/01/05/05/01
6957,5878,11531,4155,8253,0.68,0.7,0.43,1.47,2.7,2.33,3222,5694,12158,10233,7490,01/01/03/02/01@01/01/06/06/01/03@01/01/11/02/01@01/01/11/03/01@01/01/11/04/01@01/05/02/04@01/05/02/07@02/01@02/10@16/19/03@16/21/07@20/01/15
2296,2872,2344,2024,1571,0.72,1.2,1.27,1.39,1.12,0.79,1006,1234,605,763,791,01/04@01/07/01@16/19/03
4180,4579,3893,2572,1906,0.93,1.07,1.24,1.08,1.08,0.81,1408,2949,1946,2284,1136,11/04/03/01
3945,3924,3728,2852,2079,0.91,1.12,1.35,1.1,1.37,0.74,1993,2987,3369,2409,1481,14/07/11@14/13/01/01@16/01@32/01
2575,3717,2904,2281,1697,0.69,1.26,1.29,1.45,1.02,0.78,1307,1487,1434,1658,1013,11/02/03/01@11/02/03/04/01@20/01/27@32/07/05
8001,6912,5189,5866,2612,0.73,1.05,2.57,1.37,0.8,0.39,4644,6843,3317,3619,1808,12/04@12/10@16/01@16/03/03@16/19/03@40/10/02/01
2856,2890,2707,2212,2466,0.77,1.09,0.73,1.3,1.61,1.37,1258,1735,1119,1131,1731,01/04@01/06/02/02@30/01/09/03@32/01/05@34/11/09
3176,4770,5385,3346,3014,0.54,0.99,0.98,1.85,1.56,1.02,2180,2047,1228,3735,2232,01/07/01@01/20/19/01@16/17@16/21/08@34/01/01/01
2320,2911,5162,1592,3580,0.72,0.83,0.24,1.39,5,4.17,706,1189,1702,3924,2955,99
2022,2931,2803,1604,1480,0.69,0.88,0.89,1.45,1.72,1.12,741,1046,1321,1457,835,11/02/03/01/07@11/04/03
2035,3246,2704,1758,1671,0.77,1.01,0.81,1.3,1.39,1.23,870,984,1280,1474,1078,01/06/05@02/25
1350,2914,2774,3875,6538,0.68,1.29,0.52,1.47,1.69,1.92,3079,440,721,1539,5900,10/03/03@14/10@16/01@20/09/18/09/01@32/01/03@40/01@42/04/03@43/01/03/05
8627,9170,4229,6346,2096,1.17,1.12,3.66,0.85,0.42,0.27,5432,7460,6801,2912,1486,12/01/01
4530,4726,5929,3114,4174,0.53,0.71,0.64,1.89,1.72,1.56,2280,3595,8327,4593,3555,12/04/02@16/19/05
3126,3262,2540,2553,1922,0.79,1.25,1.3,1.27,0.88,0.77,1672,2123,1045,947,1291,10/03/01@10/03/02@10/03/04/05@10/03/05/01
3827,5025,3296,3111,1893,0.84,1.17,1.7,1.19,0.7,0.59,2205,2717,4083,1994,1299,01/01/09/07/01
3489,4062,3119,2745,1803,0.74,1.44,1.6,1.35,0.93,0.63,1863,2349,1608,1820,1165,01/04@10/03/02@14/07/03@18/01/01@18/02/01/02/05@30/01/05/01/03@30/05@32/01@34/11/03/07@34/11/03/13@34/11/12@43/01/03/09
10044,8134,4320,7133,2213,1.01,1.37,4.4,0.99,0.46,0.23,5798,8822,2832,2536,1317,11/02/01@11/02/02@11/02/03/01@16/01@16/03/01
2480,4010,3911,1881,1933,0.8,1.25,0.82,1.25,1.33,1.22,1133,1632,1933,2726,1388,01/04@10/03/01@14/07/03@30/01/05/01/03@32/01@40/01/03@42/01@43/01/03/05
12033,11901,4426,9987,2508,1.09,1.29,4.93,0.92,0.31,0.2,8965,10927,6987,2956,1820,12/01/01@12/04@16/01
2100,3104,2738,1760,1520,1.14,1.3,0.96,0.88,1.41,1.04,829,1094,1085,1401,864,11/04/03/01@11/04/03/05@16/03/03
7035,7160,3526,5326,1994,1.16,1.14,3.26,0.86,0.43,0.31,4319,5970,5811,2169,1326,14/04@20/01/10@20/03@20/09/05
6855,5102,2963,4471,1938,1.07,1.7,2.75,0.93,0.56,0.36,3567,5846,3245,1651,1296,12/04/01
3299,3956,3975,2151,1656,1,0.98,1.2,1,1.41,0.83,1041,2049,3058,2484,864,32/07@42/16
