@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.384,0.663,0.134,0.149,2.049,1.729,-0.021,-0.392,-1.74,-0.309,-0.057,?,-0.146,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0,0.984,0.15,-0.3,0.884,1.224,0.55,0.417,-1.277,-0.45,-1.121,0.057,-0.256,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.742,?,-0.26,0.109,0.638,0.418,0.106,-0.144,-0.563,0.113,0.447,0.231,-0.068,01/05@20/01/03/01@20/03@20/09/16@20/09/18
0.209,0.286,-0.17,-0.143,0.393,0.016,-0.068,-0.149,-0.682,0.306,-0.093,0.075,-0.291,99
0.364,0.575,-0.3,0.247,0.709,0.485,0.684,?,-0.608,?,?,0.436,-0.071,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.712,0.346,0.202,0.131,0.437,0.439,-0.292,-0.706,-0.584,0.349,0.508,0.375,0.753,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.29,-0.138,-0.285,-0.217,0.39,0.066,0.019,-0.102,-0.727,0.444,0.145,0.033,-0.058,20/01/03@20/03@20/09/18
0.07,0.23,-0.08,-0.32,0.05,0.53,-0.31,0.06,1.1,0.73,0.72,-0.328,-0.38,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
-0.884,-0.671,0.437,-0.464,0.104,-0.378,-1.065,-0.101,-0.801,-0.367,-0.325,0.27,0.542,20/01/01/01/01@20/09/18/07@34/01/01/01
-0.346,-0.003,-0.026,-0.041,-0.138,-0.167,-0.219,-0.016,0.164,-0.447,-0.453,0.511,-0.139,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
-0.025,-0.218,-0.291,-0.38,-1.1,0.876,0.116,0.566,-0.562,-2.215,-0.019,0.33,-0.697,20/01/01/01/01/01@20/03@34/01/01/01
0,0.68,-0.02,-0.41,-0.23,0.02,-0.53,0.09,0.14,-0.52,-0.58,0.34,0.42,20/01/01/01/01@20/09/18@34/01/01/01
0.08,0.39,0.047,-0.26,0.16,0.47,0.081,-0.048,0.77,0.397,-0.58,0.427,0.38,01/06@02/25
-0.028,-0.098,0.288,0.228,0.021,-0.212,0.102,-0.281,-0.385,-0.774,-0.615,0.518,-0.03,20/01/01/01/01@20/01/07@20/01/13@20/03@20/09/04@20/09/16@20/09/18/07@34/01/01/01@34/11/03/13
0.03,-0.01,-0.836,-0.52,0.042,-0.012,0.66,?,-1.09,-0.17,-0.15,?,-0.642,01/05@20/01/03/01@20/03/02/02/01@20/09/18/07
-0.089,-0.617,-0.187,0.199,-0.203,-0.595,-0.422,-0.142,1.36,1.412,0.57,0.413,-0.495,01/01@20/01/07@20/09/18/07
0.826,0.522,-0.56,0.219,-0.626,-0.164,-0.393,-0.464,1.007,1.669,0.528,-0.069,-0.585,01/01@20/01/07@20/09/18
-0.33,-0.311,-0.33,-0.438,-0.265,-0.433,0.427,-0.335,-0.459,-0.743,-0.787,0.492,0.04,11/04/03/01@20/01/01/01/01@20/03@20/09/04
1.252,0.959,-0.047,1.075,0.239,0.759,0.288,-0.201,-0.664,-0.915,-0.16,-0.239,-0.505,11/04/03/01@20/01/01/01/01@20/03@20/09/04
-0.39,-0.81,0.318,0.13,-0.12,-0.83,-0.681,-0.16,-1.056,-1.3,-0.94,0.26,0.53,20/01/13@20/03@20/09/04
0.426,-0.904,0.388,0.937,0.368,0.338,-0.546,-0.239,-1.061,-0.393,-0.378,0.174,0.518,01/20/19/01@20/01/01/01/01@20/01/03@20/01/17@20/03@20/09/04@34/01/01/01@42/16
0.08,0.322,-0.458,-0.079,-0.443,-0.338,-0.33,-0.22,-1.7,-0.758,-0.573,?,-1.403,02/11/07@02/13/05@02/45/07@16/13@20/01/01/07/07@20/01/03/03@20/01/15@20/03/01/01@20/09/04@34/11/09
0,-0.11,-0.92,-0.478,-0.871,-0.051,0.074,-0.316,-0.787,-0.203,0.138,0.662,0.115,01/05/25@20/01/01/07@20/01/03/03@20/03/02/03@20/09/04@42/16
0.626,0.567,-0.01,0.632,0.138,0.434,0.021,0.347,0.658,0.302,0.379,0.13,-0.522,20/01/01/01@20/03/02/03/01@20/09/07@20/09/13@32/01@34/01/01/01@34/01/01/03
0.009,-0.111,-0.28,0,0.27,-0.961,0.494,0.452,-0.358,-0.342,-0.106,?,-0.621,01/02@20/01/09@34/11/03/07@43/01/03/09
0.196,0.13,-0.18,0.013,?,0.389,0.212,-0.092,-0.059,-0.264,-0.054,-0.029,-0.266,20/01/01/01@20/03/01/01@20/09/16@34/01/01/01
0.056,-0.298,0.395,0.452,-0.68,-0.97,-0.584,-0.303,-0.889,-1.886,-1.617,-1.96,-1.628,20/01/01/07/05@20/01/03/03@20/03@20/09/04
0.376,0.274,-0.342,-0.485,-0.241,-0.055,-0.045,-0.04,-0.138,-0.751,-0.15,0.56,-0.228,11/02/03/04@16/11@18/02/09@34/11/03@34/11/12
0,-0.126,-0.19,0.184,0.864,0.541,0.503,-0.127,-0.047,0.364,0.524,-0.195,0.055,01/04@16/19/03@20/01/13@20/03/25@20/09/03
-0.05,-0.02,0.03,-0.28,1.37,0.69,1.08,0.85,-0.03,-0.02,-0.885,0.604,0.02,20/01/01/01@20/03/22@20/09@32/01/04@34/01/01/01
-0.16,-0.3,-0.696,-0.61,0.58,0.61,0.6,1.386,?,-0.685,-0.143,0.27,0.38,20/01/01/01@20/03/22@20/09@32/01/04@34/01/01/01
0.1,-0.289,-0.392,-0.816,1.28,2.114,0.437,0.346,-0.613,-0.479,-0.285,0.274,-0.141,20/01/07@20/01/13@20/09/04@20/09/18/07@34/11/03/13
-0.714,-0.834,0.269,-0.051,0.465,-0.497,-0.624,0.309,-0.191,-1.024,-0.563,0.246,0.038,01/03/13@20/01/17@20/09/18
-0.52,-0.23,0.05,-0.13,0.41,-0.1,-0.16,0.21,-0.39,-0.96,-0.132,0.145,0.36,01/03/13@20/01/17@20/09/18
1.154,0.381,-0.197,-0.088,0.179,0.447,0.402,0.646,1.196,-0.992,-1,?,-0.945,01/01@01/02@20/01/01/07/05@20/09/18/07@34/01/03/01
0.214,0.227,-0.3,0.266,0.381,0.138,0.378,0.356,0.039,0.355,0.428,0.033,-0.33,11/02/03/01@11/02/03/04/01@20/01/27@32/07/05
0.13,-0.131,-0.65,0.037,0.044,0.035,0.143,-0.281,-0.706,-0.898,0.122,0.17,-0.315,20/01/01/01@34/01/01
-0.206,-0.3,-0.11,-0.429,0.64,?,-0.003,0.232,?,-0.272,-0.404,0.189,0.341,11/02/03/01@11/02/03/04@16/03/01@34/01/01/01
-0.364,-0.626,-0.319,-0.366,0.882,0.014,0.223,-0.621,-0.104,-0.315,-0.22,0.928,0.031,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
-0.119,-0.354,0.542,0.209,-0.772,-0.087,-0.076,-0.211,-0.446,-0.473,-0.66,-0.119,-0.13,10/01/05/03@38/07
0.071,0.317,0.382,0.549,0.268,0.196,0.086,-0.322,0.342,0.444,0.052,-0.163,-0.078,10/01/05/03@38/07
-0.461,-0.246,-0.02,-0.317,0.022,-0.145,-0.231,0.747,-0.202,-0.498,-0.248,?,-0.293,10/01/02@10/01/05@16/19/03
1.584,1.613,-0.094,0.579,0.865,0.263,1.141,0.398,2.409,3.654,1.792,0.111,-1.631,01/05/03
2.387,1.817,-0.519,0.616,1.847,0.776,?,-0.148,3.244,4.059,3.635,?,?,01/05/02/04@01/05/02/07@02/19@18/02/01@32/01
0.072,0.166,0.285,0.447,-0.178,-0.414,-0.42,-0.759,-0.651,-0.742,-0.918,-0.327,-0.097,11/06/02@12/10@14/10@16/03/03@20/01/21
-0.067,-0.132,0.22,0.411,0.025,0.032,0.123,-0.077,0.317,0.107,0,-0.524,-0.39,10/01/05/03
-0.186,-0.063,0.094,0.334,-0.019,-0.157,-0.254,-0.178,0.099,-0.246,-0.233,-0.086,-0.018,99
0.16,-0.531,-1.217,-0.56,0.18,0.13,0.068,0.274,-0.83,-1.11,0.01,0.334,-0.24,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
0.126,-0.219,-0.297,-0.988,-1.067,-0.143,0.373,-0.155,-2.262,-1.36,0.284,0.158,-0.051,01/03/04@01/03/10@11/06/02
-0.1,-0.22,0.55,0.47,-0.01,-0.14,-0.31,0.46,-0.46,-0.99,-0.93,0.34,0.23,01/03/04@01/03/10@11/06/02
-0.437,-0.139,0.324,0.33,0.557,-0.229,-0.014,-0.256,-0.954,-1.259,-0.603,-0.224,0.27,11/04/01@11/04/02
0.052,0.382,0.28,-0.346,?,0.351,0.175,0.18,-0.208,0.1,0,?,-0.616,11/04/02
-0.408,-0.268,0.239,0.307,0.111,-0.366,-0.721,-0.208,0.024,-0.241,-0.25,-0.237,0.29,11/06/02
0.161,0.283,0.388,0.365,-0.179,-0.445,-0.281,0.056,0.007,-0.7,-0.525,0.093,0.015,11/06/02
-0.827,-0.32,0.06,-0.441,0.263,0.431,-0.01,0.738,-1.344,-0.77,-1.419,0.64,0,11/06/02
-0.03,0.023,0.302,0.201,-0.161,-0.029,-0.241,-0.225,0.341,-0.465,-0.126,-0.241,0.097,11/06/02
-0.2,0.03,-0.342,-0.44,0,0.21,0.509,0.48,-0.994,-1.04,-0.94,0.068,-0.05,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
-0.528,-0.587,?,-0.033,-0.516,-0.204,-0.562,0.314,0.15,-0.52,-0.522,0.043,0.033,11/04/02@16/01@16/03/03@20/01/21
0.09,-0.16,0.338,0.37,-0.348,-0.449,-0.135,-0.207,0.634,0.437,0.194,-0.046,0.135,01/04@01/05/25@11/04/02@14/07/03@32/01/03@34/11/03/13@40/01@42/16@43/01/03/05
-0.02,0.08,-0.276,-0.33,0.33,0.42,0.27,0.282,-0.252,-0.31,-0.11,?,0.315,11/04/01@11/04/02@16/19/03
0.28,0.48,-0.05,0.04,-0.189,-0.067,0.373,-0.227,-0.1,-0.58,-0.1,-0.429,-0.485,01/01/06/05/01/01@01/01/09/03/01@01/02@01/07@11/02/02@11/04/02@16/21/17@34/01/01/01
-0.228,-0.29,0.09,-0.01,0.4,-0.13,0.04,-0.15,0.38,-1.334,0.281,-0.05,0.12,11/02/03/01@11/02/03/04@11/04/02
-0.27,-0.1,-0.395,-0.2,-0.02,-0.31,0.16,-0.4,0.5,-0.3,-0.12,-0.22,-0.28,11/04/02@20/01/07
1.74,2.165,0.151,1.083,0.582,1.304,-0.109,0.525,1.255,0.601,0.492,1.088,0.417,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
0.581,0.123,0.004,0.434,0.838,0.121,0.291,0.166,-0.798,-0.746,-0.204,0.594,0.253,01/01/09/06/01
0.626,0.415,0.612,0.648,-0.227,-0.44,-0.262,0.235,-0.802,-0.381,-0.647,1.028,0.341,01/01/09/06/01@01/07/01@01/20/33
0.439,0.065,0.274,0.754,0.092,-0.539,-0.275,-0.465,-0.691,-0.927,-0.479,0.169,-0.136,01/01/09/06/01
0.911,0.427,?,0.541,0.824,0.206,0.059,-0.003,0.711,0.276,-0.16,?,-0.21,01/07/01@01/20/15/03
0.61,1.022,-0.134,0.028,1.017,0.663,0.537,0.194,0.587,1.276,0.95,0.063,-0.412,01/07/01@01/20/15/03@16/21/05@20/01/15
1.3,?,-0.342,0.427,0.863,0.473,-0.08,-0.236,-0.317,0.231,0.431,0.383,-0.767,01/07/01@01/20
0.391,0.441,-0.507,-0.182,-0.191,-0.494,0.023,0.203,-0.292,-0.732,0.082,0.174,-0.271,01/06/10@11/02/03/01@11/02/03/04@30/01@32/01/07
-0.146,?,0.057,-0.538,-0.533,0.88,-0.276,?,?,-0.499,-0.727,0.475,0.17,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
-0.19,-0.24,-0.335,-0.026,?,-0.406,-0.03,0.403,-0.35,-0.4,-0.01,-0.078,?,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
0.172,-0.042,0.415,0.12,-0.561,-0.238,-0.253,0.376,-0.085,-0.354,-0.623,-0.066,-0.207,01/05@02/16/03@02/45@16/01@42/04@42/16
-0.073,-0.159,-0.399,-0.426,-0.007,0.025,-0.362,0.15,-0.649,-0.097,-0.346,0.186,-0.063,01/04@16/19/03@20/03/25@32/07
-0.203,0.178,-0.16,-0.204,0.241,?,0.369,?,-0.819,0.079,-0.659,0.599,0.061,01/04@16/19/03@20/01/01/01@20/01/13@20/01/27@20/03/22@20/03/25@32/01/01@32/05/01/03@32/07/05@34/01/01/01
0.429,0.353,-0.393,0.156,0.58,0.139,0.119,0.249,1.13,1.065,0.694,0.075,-0.384,11/02/03/04
-0.557,0.035,0.29,0.107,-0.465,-0.743,-0.652,-0.168,-1.078,-2.027,-1.664,0.2,0.204,14/01@16/01@32/01/07
-0.63,-0.686,0.081,-0.469,0.008,-0.594,-0.276,-0.638,-0.45,-0.6,-0.868,-0.613,-0.417,34/01/01/03@42/01
0.533,0.51,0.12,0.467,?,0.3,0.453,0.45,-0.474,-0.291,-0.756,0.121,-0.352,99
-0.073,1.006,0.054,-0.752,0.02,0.183,0.513,-0.57,5.843,3.345,1.537,0.049,-1.415,32/01
-0.274,-0.404,-0.073,-0.322,-0.237,0,-0.095,0.08,0.294,0.119,-0.183,0.179,-0.256,10/01/02@10/01/05/03/01@10/03/02
0.478,0.57,0.5,1.127,0.903,0.778,0.1,-0.203,0.306,0.512,0.335,-0.145,0.101,01/06@02/11/05@02/13@02/25@14/10@20/01/15
1.144,-0.601,0.28,0.172,-0.643,-0.738,-1.019,0.553,-0.89,-1.683,-1.237,0.273,0.302,10/01/05/01@11/06/02
0.854,1.266,0.26,0.915,1.377,0.576,0.335,-0.524,1.666,1.574,1.338,-0.713,0.236,99
0.252,0.394,0.188,0.732,-0.005,0.028,0.459,-0.694,0.047,0.369,-0.251,0.002,-0.069,01/03/01@01/03/04@01/04
0.365,0.831,0.256,-0.585,1.821,1.813,0.833,-0.425,2.719,2.828,1.669,-1.719,-0.545,32/01
0.93,1.05,0.126,1.11,0.127,-0.075,-0.168,0.188,-0.76,-0.22,-0.3,-0.316,-0.45,01/01/09/04@01/01/09/05@01/05@01/20@02/16
0.992,1.292,0.03,1.414,0.699,0.337,0.067,-0.278,-0.317,0.71,0.34,-0.015,0.121,01/01/09/04@01/01/09/05@01/05@01/20@02/16
1.042,1.617,0.21,1.502,0.298,0.073,-0.029,-0.436,-0.539,0.511,-0.025,?,-0.239,01/01/09/04@01/01/09/05@01/05@01/20@02/16
-0.27,0.02,-0.406,-0.29,0.16,0.43,0.25,-0.28,0.93,3.238,1.51,0.21,-0.23,16/09@32/01/03
0.219,0.367,0.223,0.805,0.223,-0.041,0.102,0.293,-0.957,0.135,-0.207,?,0.542,14/10
0.37,-0.21,-0.177,0.53,-0.239,0.13,0.309,0.323,0.037,-0.157,-1.303,?,-0.371,10/03/01/01/11@10/03/04/05@10/03/04/07@16/01
-0.449,-0.223,0.207,0.179,0.183,-0.07,0.208,-0.222,0.135,0.293,0.48,-0.378,0.578,12/10@14/04
-1.12,-1.03,0.238,0.19,-0.006,-0.066,-0.121,0.492,0.49,-0.33,-0.08,-0.096,-0.017,20/09/14@42/04
0.11,-0.28,-0.097,0.08,0.44,0.42,0.133,?,0.45,0.26,0.27,-0.075,-0.309,01/01/03/02/01@20/01/07@20/03@20/09/13
0.26,-0.01,-0.055,0.14,0.04,-0.61,0.142,?,-0.87,-0.83,-0.176,0.291,0.45,20/01/27@32/07
-0.1,-0.17,-0.841,-0.34,-0.465,-0.229,-0.012,0.256,-0.82,-0.85,-0.14,-0.044,0.049,20/01/11@20/01/27@32/07@43/01/03/09
-0.388,0.513,-0.54,-0.79,-1.349,-1.524,-1.35,?,1.179,0.261,0.174,-0.15,-0.218,20/01/11@20/01/27@32/07
?,0.006,-0.59,-0.007,0.032,-0.095,0.21,-0.089,-0.975,-0.674,0.222,0.052,-0.014,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
0.255,0.437,-0.61,-0.282,0.371,0.168,-0.02,-0.293,-0.36,-0.515,-0.242,0.181,0.044,20/01/03@20/01/27@20/03/25@20/09/16@32/07/05
0.677,0.795,-0.2,0.249,0.707,0.591,0.093,0.107,0.186,-0.221,-0.145,-0.114,-0.628,20/01/07@20/09/13
-0.739,?,-0.145,-0.431,-0.779,0.126,-0.233,-0.042,-0.124,0.195,0.126,0.005,-0.189,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
0.097,0.201,-0.067,-0.33,0.027,-0.21,0.162,0.221,-0.083,0.09,-0.034,0.675,-0.427,01/05/13/01@01/06/02/01@01/20/01/07@14/07/01
1.304,2.188,0.492,-0.017,1.252,0.37,0.328,-0.087,0.435,0.668,-0.1,3.171,2.84,20/01/27@20/03/25@20/09/16@32/07
-0.592,0.243,-0.218,0.008,0.219,-0.796,-0.953,0.513,0.985,-0.587,0.009,-0.036,0.118,20/01/03@20/01/27@20/03/25@20/09/16@32/07/05
0.181,-1.158,-0.528,-0.865,-0.116,0.421,-0.381,?,-1.386,-0.577,-0.098,2.95,1.932,01/05@20/01/03@20/01/13@20/03/02/02/01
0.259,-0.021,-0.251,0.033,-0.689,-0.441,-0.052,-0.364,0.079,0.068,0.033,-0.416,0.198,01/06/02/01@10/03/02@43/01/03/09
-0.038,-0.088,-0.356,-0.217,-0.053,-0.358,0.145,0.096,0.659,0.639,-0.271,?,-0.387,10/01/03@16/19/03
-0.611,-0.385,-0.09,-0.176,-0.623,-0.326,-0.343,0.838,-0.128,-0.447,-0.381,?,-0.092,01/03/16@14/04@20/01/10@20/09/01
0.04,0.38,-0.01,0.13,0.48,0.219,0.31,-0.1,-1.09,-1.05,-0.68,0.058,-1.037,02/45@16/21/05@20/01/15
-0.09,-0.487,0.12,0.383,0.424,0.141,0.502,0.304,0.058,-0.357,-0.265,0.642,-0.469,99
-0.058,-0.014,0.036,-0.168,0.318,0.289,?,1.099,0.552,0.272,-0.233,?,0.17,10/03/01@11/02/03/04@40/01/05
0.122,0.104,-0.225,-0.189,0.172,0.387,?,0.997,0.093,0.12,-0.112,?,0.229,01/04@14/07/03@32/01
0.135,-0.167,0.102,0.431,-0.527,-0.902,-0.318,-0.256,-0.286,-0.12,0.222,-0.009,0.102,02/19
