@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
2568,2022,3172,2809,999,8066,3482,0.851,0.926,0.803,1.621,2.144,2.562,3.372,1.719,0.763,2.11,1.77,3,1.75,10/03/01@30/05/01@30/05/02/24@34/11/03/07@40/01@41/01/01@42/01
3389,2593,3168,2328,1002,4276,4130,0.88,0.943,1.038,1.137,0.8,1.333,1.35,0.729,0.716,0.84,0.81,1.54,0.73,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
2384,1614,2691,2002,854,6691,3463,0.835,0.93,0.957,1.64,1.744,0.69,0.733,2.341,1.203,1.89,1.48,1.79,2.47,34/11/03/13
4795,4467,7512,4836,968,12483,8184,0.949,0.948,0.868,2.905,4.706,2.006,1.205,10.882,14.314,4.64,4.28,2.12,11.24,12/01/01@12/04/02@16/01@16/07
1310,746,1307,1420,942,1298,716,0.267,0.809,0.274,1.007,0.676,0.033,0.021,0.653,0.268,1.02,0.11,0.07,0.98,20/01/01/01@43/01/03/09
4159,3304,5146,3514,972,8370,5494,0.905,0.936,0.998,1.68,1.517,1.201,1.025,2.561,2.983,1.55,1.41,1.28,2.48,01/05/03@02/19@42/01@43/01/03/09
2770,1864,4138,6087,938,3448,1675,0.867,0.959,1.041,4.701,2.806,2.531,1.448,3.843,5.044,2.96,3.88,2.54,4.5,12/01/01@12/04@16/01@16/03/03
9499,6614,4201,4642,1185,3157,3403,0.924,0.951,1.252,0.923,0.829,0.514,0.466,0.797,1.126,0.9,0.93,0.57,0.87,01/05/25@02/01
2952,1777,3516,8158,1000,2562,2610,0.865,0.955,1.236,0.261,0.662,2.461,1.983,1.36,1.934,0.72,1.89,2.55,1.4,02/11/07@02/13/05@02/45/07@16/13@20/01/01/07/07@20/01/03/03@20/01/15@20/03/01/01@20/09/04@34/11/09
2825,2145,2573,2018,946,2858,4324,0.931,0.934,1.057,1.55,0.91,1.411,1.101,1.279,1.341,0.97,1,1.48,1.33,10/01/09/05@10/03/01/01/09@42/10/03
6267,5866,6073,4465,898,7351,8014,0.919,0.938,0.903,3.861,3.798,3.354,3.405,7.645,10.387,4,6.6,4.75,7.51,01/03/01/03
6760,5501,3446,3936,1226,2347,4125,0.942,0.977,1.108,1.386,1.976,1.661,1.703,1.791,1.322,2.01,2.19,1.69,1.92,01/04@10/03/01@10/03/02@14/01@14/04@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
1922,1142,1850,2737,1142,1738,4130,0.8,0.965,0.863,2.076,1.091,0.242,0.248,0.546,2.445,1.21,0.59,0.27,0.65,01/05@01/06/05@20/09/07/06@20/09/13@34/11/03/07@40/01@43/01/03/05@43/01/03/09
6648,4709,3163,4105,1062,1650,3453,0.917,0.965,1.241,1.114,1.192,1.04,1.016,0.97,1.327,1.23,1.9,1.2,1.01,11/04/02@20/01/07
2481,1899,2288,1581,936,4083,3468,0.877,0.928,0.93,0.86,1.226,0.622,1.255,0.987,0.741,1.34,1.41,1.32,1.01,11/02/03@11/04/03/01@12/10@16/03/03@16/19/03
2477,1662,2297,1859,942,2332,1720,0.901,0.925,1.122,1.38,0.421,0.786,0.848,0.307,0.312,0.49,0.47,0.92,0.31,10/01/05/01@10/03/03
2874,2121,2327,2045,1030,2558,1874,0.874,0.929,0.999,0.497,0.446,0.57,0.657,0.465,0.232,0.46,0.38,0.62,0.48,10/03/01/01@14/13@42/29
2765,2195,2652,2770,922,2872,3344,0.91,0.892,0.969,1.844,1.478,0.446,2.616,1.82,3.261,1.49,2.58,0.84,1.89,14/07/11@14/13@16/17/09@30/01@34/11/03/07
5034,3440,4314,5283,1088,4016,3223,0.903,0.941,1.188,0.946,1.545,1.017,0.862,1.248,1.17,1.61,1.06,1.08,1.37,01/03/16/01@11/02/03/01@11/04/01@11/04/03/01@12/07@16/03@16/19/03@32/07
5253,4110,2425,3825,1063,1837,3336,0.912,0.973,1.016,1.24,1.191,1.227,1.015,1.14,1.095,1.27,1.33,1.35,1.21,10/03/01@11/02/03/04@40/01/05
1659,980,1412,1606,989,1590,1227,0.744,0.804,1.056,1.927,1.05,0.576,0.839,1.568,0.877,1.59,1.31,0.91,1.79,12/01/01@12/04@16/01
5323,3756,2781,3833,1080,1536,3588,0.939,0.974,1.239,1.045,1.137,1.782,1.386,0.829,0.616,1.23,1.93,1.8,0.93,01/05/25@11/02/03/04/03@14/04@18/02/05@20/09/07/05@20/09/13
5058,4359,4365,3862,1046,5015,3350,0.938,0.949,0.98,1.153,1.462,2.731,4.76,1.716,1.97,1.51,2.95,3.6,1.7,16/01@16/06@40/01@42/04/03@42/04/05@43/01/03/05
2215,1380,2308,2067,1136,2610,1620,0.856,0.916,1.188,1.313,0.875,0.499,0.517,1.129,0.656,0.95,0.68,0.59,1.11,11/04/01@11/04/02@16/19/03
1989,1380,1886,1792,979,1752,1094,0.862,0.825,0.987,2.297,0.858,0.926,0.954,1.331,1.455,1.01,1.51,1.28,1.35,01/04@10/03/01/01/03@11/02/03/04@14/04@14/07/03@16/01@16/17/01@16/17/09@18/01/01@18/02/01@20/01/01/01@20/09/01@30/01/05/01@32/01@34/01/01@34/11/03/07@40/01@42/01
2322,1557,2298,2150,1110,2986,2279,0.807,0.873,0.942,0.545,0.937,0.347,1.429,0.502,0.788,0.98,1.2,1.61,0.51,42/01
8151,7614,6166,7160,1417,4356,2229,0.873,0.971,0.798,4.244,2.573,2.567,1.298,5.981,2.717,2.59,4.28,2.89,6.39,12/01/01@16/03/03
8856,7740,5205,8083,1269,5786,8584,0.924,0.964,1.032,6.853,2.073,1.184,1.089,4.044,3.103,2.13,1.45,1.24,4.36,14/01
1874,1199,1837,1623,964,1696,823,0.726,0.891,0.878,0.83,0.771,0.605,1.005,0.85,0.934,0.96,1.23,1.24,0.92,16/03/01@32/01/09@42/10/03
15080,12646,7565,12854,1314,7472,7452,0.841,0.969,0.882,0.661,0.598,1.225,1.181,0.473,0.738,0.61,0.8,1.32,0.52,10/01/02@10/01/05/03/03@32/01/09@42/10/03
13072,12715,7877,18900,1373,3091,11000,0.961,0.959,0.912,0.628,0.593,5.12,5.374,0.778,0.663,0.61,1.67,5.21,0.79,01/06
3747,3361,2934,2153,1076,4919,2845,0.86,0.944,0.816,1.189,0.749,1.154,1.711,0.668,1.081,0.79,1.18,1.9,0.68,16/01@20/01/10@20/09/07
2117,1421,2110,2161,1086,2444,1602,0.829,0.894,1.064,1.114,1.197,0.819,0.951,1.253,1.247,1.2,1.21,1.02,1.25,01/04@14/07/03@30/01/05/01@32/01@34/01/01/01
1844,1233,1629,1479,864,1982,1796,0.817,0.892,0.874,0.821,0.498,0.393,1.147,0.566,0.813,0.62,0.99,1.01,0.57,14/07/02@14/10
2888,1982,2693,3052,1198,3639,2659,0.93,0.852,1.146,1.61,1.145,1.039,1.041,2.413,2.382,1.25,1.21,1.22,2.44,01/03/01@01/03/04@01/05/02@16/19
18173,15091,8833,11322,1310,6826,4851,0.902,0.982,0.995,0.926,1.138,1.949,1.438,0.475,0.997,1.16,1.87,2.13,1.38,01/20/37/01@16/14@20/01/10@20/09/01@30/01/05@32/01/01@32/07/07/05@40/10/02/01
5539,3835,2895,3556,1164,2427,3306,0.884,0.951,1.171,0.589,0.761,0.99,1.091,0.446,0.257,0.82,0.48,1.01,0.5,10/01/05/01@10/01/05/03/01@10/01/05/03/03@32/01/09@34/11/03/07@42/10/03
4938,3667,3456,6007,1759,1609,6534,0.942,0.966,1.169,1.5,1.62,0.588,0.905,2.24,3.385,1.68,1.36,0.63,2.28,01/03/01@01/04@02/45
3665,2822,3676,4256,1160,8611,4158,0.903,0.965,1.021,0.1,0.177,0.39,0.343,0.22,0.293,0.18,0.2,0.43,0.22,01/06@01/20/17/01@20/01/03@20/09/03
1967,1335,1820,1610,950,2012,2232,0.827,0.914,0.988,0.68,0.843,0.558,1.421,1.424,0.608,0.93,0.63,1.07,1.55,11/02/01@11/02/03/01
2616,1815,2899,2481,973,2698,3229,0.896,0.955,1.087,0.799,0.984,1.105,1.127,0.864,0.88,1.08,0.94,1.18,1.09,11/04/03/01@14/10@16/03/03@20/09/07
3928,2749,6036,16580,1012,7710,4070,0.86,0.942,1.084,0.627,1.061,4.1,5.071,2.466,2.711,1.14,2.28,4.25,2.49,01/05@02/11@02/13@02/16/03@20/01/15@42/16
5044,3365,2721,3306,1181,2114,1482,0.895,0.887,1.166,2.523,0.649,0.65,0.849,0.945,0.986,0.71,0.77,0.78,1.05,14/07/11@16/01
2148,1223,2200,3349,1031,2145,1720,0.813,0.892,1.183,0.873,0.638,0.574,0.945,0.441,0.291,0.7,0.62,0.68,0.46,99
2549,1539,2840,4306,1226,2693,1625,0.847,0.921,1.087,1.68,0.763,0.13,0.15,0.412,0.26,0.85,0.35,0.14,0.43,99
3411,2836,2835,2324,920,3597,3416,0.882,0.967,0.893,0.686,0.673,1.065,0.985,0.425,0.456,0.71,0.8,1.15,0.46,10/01/03@10/01/05@10/01/09/05@11/02/03@16/01
3876,3030,3923,2754,898,8092,6403,0.875,0.948,0.915,0.838,1.105,2.193,2.521,0.944,1.126,1.14,1.49,2.36,1.01,01/04@01/05/07@01/06@16/19/03@32/01
3004,2128,3166,2379,846,5122,4751,0.869,0.95,1.037,0.968,0.683,0.948,0.972,0.913,1.102,0.75,0.9,1.02,0.96,01/06/06/11@16/21/07@34/05/01
2080,1465,1944,1692,902,2921,2157,0.802,0.9,0.864,0.936,1.101,0.701,4.105,0.914,1.059,1.16,1.24,1.33,1.04,11/02/03/04@32/01/04
4398,3997,3616,3105,982,4684,4624,0.893,0.947,0.872,2.15,1.388,1.793,1.797,2.857,2.99,1.41,1.71,1.75,2.98,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@16/03/03@16/19@30/05@32/01/11@36/20/18@40/01/03@40/10/02
4210,2894,1891,2916,1200,1682,1850,0.877,0.86,1.146,1.317,1.219,1.154,1.181,1.177,0.924,1.27,1.22,1.37,1.25,10/01/05/01@10/01/05/03/03@32/01/09
2218,1588,1954,1810,1001,2191,2249,0.775,0.889,0.771,1.037,0.777,0.28,0.402,1.139,0.713,0.9,0.52,0.36,1.18,14/04@18/02/03@20/09/07@20/09/13
2172,1551,2171,1732,875,2813,2701,0.863,0.947,0.858,0.599,0.535,0.502,0.378,0.409,0.493,0.58,0.56,0.65,0.43,10/03/01/01/01@11/02/03/01/01@11/02/03/04
2420,1661,2263,2025,992,2517,3414,0.84,0.95,0.999,0.883,0.957,0.66,0.821,0.595,0.803,1.04,0.7,0.77,0.64,01/01/03/05@01/01/13@01/02/07@11/02/03/01@11/02/03/04@18/02/09@20/09/16/09/03
5565,4678,5997,3184,928,10814,7011,0.911,0.95,0.929,0.725,2.04,2.02,3.211,1.386,3.365,2.1,3.25,2.15,1.49,01/05/02/04@01/05/02/07@02/19@18/02/01@32/01
5632,3826,2983,3929,1271,2058,3884,0.901,0.894,1.152,1.028,1.006,0.838,1.177,0.734,0.44,1.03,0.67,0.93,0.8,14/07/05@14/13/01@16/01
2174,1369,1954,2682,1097,1770,923,0.666,0.908,0.799,0.733,0.685,0.924,0.918,0.729,1.133,0.78,1.27,1.13,0.9,01/04@11/02/03/04@14/07/03
9497,8137,6196,8120,1195,4201,1129,0.915,0.902,1.026,1.442,1.131,1.113,1.187,1.199,1.667,1.16,1.24,1.18,1.47,99
6365,4343,3195,4091,1254,1675,3570,0.92,0.846,1.209,1.86,1.899,1.522,0.996,2.455,5.794,2.05,3.87,1.67,2.71,01/05@10/03/01@14/07/02/02@20/09/16/02@42/01@43/01/03/09
2171,1465,2012,2633,1028,1762,1253,0.862,0.894,0.928,1.456,1.372,1.198,0.865,1.613,0.779,1.49,1.5,1.29,1.7,20/01/27@20/03/25@20/09/16@32/07
3196,2676,3147,1872,995,5290,6143,0.893,0.967,0.84,0.927,1.132,1.067,1.132,1.22,1.103,1.17,1.19,1.46,1.27,02/11@02/13/03@02/16/01@20/01/15@42/16
2372,1836,2038,1898,1031,2048,1897,0.871,0.938,0.791,1.094,0.697,1.004,0.875,1.168,1.299,0.77,0.91,1.2,1.21,01/04/04@16/01@16/19/05@20/01/01/07/07@30/01/05/05/01@40/10/02
1856,1335,1692,1456,944,2251,1992,0.764,0.9,0.659,0.596,0.624,0.503,0.623,0.537,0.821,0.73,0.51,0.99,0.55,01/06/05@01/06/06/11@02/11@02/13@16/21/01@16/21/05@16/21/07@20/01/15
3146,2637,2464,2345,960,2787,3719,0.917,0.965,0.897,1.134,1.523,0.644,0.773,2.509,1.214,1.58,0.85,0.7,2.5,14/01@14/07@20/01/15
3319,2297,2558,3432,1076,2434,3346,0.924,0.905,1.08,2.079,1.968,2.229,2.018,1.881,1.122,2.01,1.35,2.43,2.29,12/04/01@42/16
2791,2696,3002,2047,1173,4247,3502,0.823,0.979,0.632,1.679,1.038,1.175,1.047,1.291,1.015,1.1,0.88,1.5,1.3,11/02/03/04@30/01@43/01/03/05
1661,967,1606,1926,1140,1589,938,0.717,0.813,0.854,0.923,0.839,0.05,0.027,0.719,0.139,1.19,0.17,0.06,0.84,20/09/07/27@43/01/03/09
2814,2003,2509,1804,1118,3805,1688,0.872,0.966,1.057,0.133,0.616,0.512,0.672,0.142,0.038,0.67,0.57,0.86,0.15,14/04
4313,3381,3706,2443,1186,4796,5861,0.89,0.964,1.009,1.573,1.687,1.023,1.895,1.407,0.968,1.76,1.54,1.48,1.42,01/01/05/01/02@01/05@01/07/01
3991,3156,2679,3588,1122,2212,1947,0.871,0.938,0.889,0.68,0.902,0.825,0.675,0.942,0.808,1,1.46,0.92,1.14,99
4419,3191,2717,3862,1143,2458,2442,0.852,0.929,0.988,1.194,0.92,0.945,1.149,0.779,0.584,1,1.07,1.04,0.86,99
2593,1572,1759,2709,1049,1600,1408,0.79,0.847,1.019,0.422,0.764,1.901,1.312,0.766,0.618,0.85,1.18,1.5,0.84,99
6604,5952,5835,2673,1047,10163,7293,0.836,0.915,0.855,2.987,2.591,2.062,2.476,2.895,3.04,2.71,3.82,3.23,3.04,11/02/03/01/07@11/02/03/04@18/02/09
2231,1637,1808,1777,908,1678,1578,0.89,0.88,0.915,1.084,0.805,0.74,1.162,1.147,2.343,0.96,1.35,0.87,1.21,01/01/03/05@01/01/13@01/02/07@11/02/03/01@11/02/03/04@16/03/01
5274,3759,3323,4622,1192,1672,5266,0.941,0.916,1.228,1.1,1.516,0.583,0.721,1.405,2.08,1.51,1.22,0.64,1.44,01/04@02/11@02/13/03@14/04@14/10@16/01@20/01/01/01@20/01/15@20/03/22@20/09/13@34/01/01/03
13649,11785,8732,16196,1405,2892,18911,0.91,0.905,1.018,1.509,1.572,4.028,3.315,4.345,24.32,1.57,5.52,4.13,5.09,01/20/19/01@01/20/35/01/01@20/01/01/01/01/01@20/03@20/09/18@32/05/01/03/03@34/01/01/01
2350,1369,1597,2173,1095,1350,1259,0.766,0.828,1.093,0.98,1.128,0.504,0.865,0.649,1.047,1.32,1.57,1.51,0.91,43/01/03/05@43/01/03/09
8108,8373,6978,7195,1026,8212,3089,0.926,0.966,0.797,1.241,1.372,1.421,1.39,1.93,2.703,1.49,1.88,1.51,2.1,99
1737,1184,1896,1750,1054,1899,3926,0.879,0.957,0.911,1.194,0.876,0.931,0.794,0.715,0.743,1.04,0.74,0.88,0.78,02/13
2041,1334,2119,2113,1107,2118,2144,0.749,0.86,0.93,0.958,0.251,0.8,1.259,0.427,0.339,0.37,0.55,1.06,0.3,10/03/01/01/09@10/03/04/03
6489,4512,3756,7819,1549,1701,6302,0.93,0.886,1.236,2.731,0.454,1.75,1.6,0.407,3.702,0.47,0.39,1.82,0.43,01/03/16@02/13/03
5879,3703,3507,7496,1813,1855,7729,0.929,0.894,1.44,1.276,1.001,1.298,0.468,1.02,1.337,1.1,1.17,1.42,1.17,14/04@20/09/01
2006,1354,2214,1839,1016,3399,2232,0.893,0.932,0.875,0.42,0.381,0.472,0.591,0.317,0.253,0.44,0.37,0.59,0.31,43/01/03/05
6882,5850,6410,5093,1031,12962,7395,0.894,0.417,0.972,0.744,2.145,5.649,8.771,1.919,1.794,2.25,3.91,6.41,1.98,01/04@01/06@10/03/01@14/07/03@20/09/18/09/01@30/01
9113,6847,6618,6291,1002,11980,5998,0.914,0.945,1.184,0.638,0.909,2.967,3.945,0.445,0.66,0.91,0.91,3,0.46,01/04@01/05/02/04@01/05/02/07@01/05/09/04@01/05/09/07@02/01@02/07@02/19@14/13@16/07@34/07@40/01
2240,1331,2301,5082,1046,2683,1286,0.805,0.962,0.857,0.746,0.833,1.148,1.404,0.709,0.975,1.01,1.32,1.35,0.73,11/02/03/01@11/02/03/04
3670,2197,2220,2762,1417,1652,1466,0.884,0.94,1.358,1.392,1.206,0.7,0.506,1.499,1.53,1.43,1.71,0.87,1.61,01/05/13/03@01/07/01@01/07/04
4195,4642,2200,4164,888,2463,2840,0.954,0.946,0.646,3.877,1.618,0.728,0.844,2.316,1.28,1.73,1.3,0.68,2.54,11/04/01@12/01@42/01
4426,3206,4743,8743,1236,5121,2165,0.841,0.967,0.901,0.832,0.904,0.863,0.896,0.984,0.497,1,0.81,0.95,1.04,01/04@01/05/03@10/01/05/01@10/03/01/01/11@10/03/02@11/02/03/04@14/07/03@14/13@16/01@16/19/03@18/01/01@18/02/01@30/01/05/01/06@30/05/02/20@32/01@34/11/03/07@40/01/03@40/10/02/01@43/01/03/09
7936,6405,8624,15646,1275,9764,5160,0.915,0.971,0.961,0.816,1.082,1.327,1.558,1.445,1.11,1.16,1.32,1.37,1.54,02/11@02/13/03@02/16/01@20/01/15@42/16
4400,3945,3280,2985,1000,3857,2285,0.923,0.953,0.956,0.805,0.671,0.65,0.61,1.009,0.929,0.69,0.87,0.7,1,14/07
2050,1283,1941,1757,1008,1860,1695,0.85,0.92,1.073,1.033,1.052,0.605,0.674,1.076,0.927,1.18,1,0.78,1.15,14/01@14/07/11@14/13/01@43/01/03/09
2040,1216,1867,2871,996,1863,1293,0.844,0.962,1.263,0.974,1.1,1.002,0.899,0.792,0.624,1.25,1,1.13,0.88,14/07/11/01@14/13/04
8195,7618,5223,6215,1206,2581,7053,0.936,0.968,0.892,0.681,0.766,0.88,0.666,0.7,0.803,0.8,0.89,0.94,0.71,01/01/03/02/02@01/01/03/03/01@01/01/05/01/02@01/01/09/04/01@01/01/09/05@01/01/11@01/02@01/05/06/07@01/05/11/07/01@01/06/06@01/07/01@01/20/05@01/20/17/01@01/20/31@02/11@02/13@02/16/01@02/45@16/13@16/21/07@20/01/15@32/01/01@32/01/03@32/05/01@32/05/03@32/07/03@32/07/09@42/16
4388,3471,3806,3205,990,3809,2037,0.926,0.96,1.077,0.854,2.333,1.741,1.762,1.522,1.259,2.34,3.01,1.66,1.49,01/04@11/04/03/03
