@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.05,0.43,0.89,0.683,0.669,0.7,0.14,0.02,-0.09,-0.06,-0.194,-0.13,0.26,0.12,0.05,1.3,1.12,0.23,0.27,-0.05,0.27,0.36,0.5,0.56,0.66,0.14,-0.08,0.15,-0.09,-0.42,0.5,0.52,1.82,2.15,1.33,-0.3,0.02,-0.139,-0.49,01/04@16/19/03@20/01/27@20/03/22@20/03/25@32/05/01/03
-0.02,0.239,-0.11,-0.35,-0.193,-0.17,0,-0.439,-0.11,-0.52,-0.36,-0.29,0.19,-0.02,0.14,0.06,0.58,0.597,0.35,0.008,0.14,0.43,0.613,0.202,0.682,0.357,-0.06,0.47,0.32,0.68,-2.222,0.16,0.195,0.482,0.29,-0.22,-0.14,0.23,0.466,01/04@01/05@16/19/03@20/01/01/01@20/01/03@20/01/13@20/01/27@20/03/22@20/03/25@32/01/01@32/05/01/03@32/07/05@34/01/01/01
0.124,-0.149,0.241,0.107,0.088,0.303,0.16,-0.03,0.119,0.041,0.305,0.064,-0.034,0.104,-0.039,-0.049,-0.178,0.025,0.194,0.304,0.476,0.518,0.435,0.211,0.398,0.4,0.276,0.399,0.207,0.003,0.369,0.643,-0.276,0.047,-0.324,-0.118,0.16,0.453,-0.166,01/04@02/13/03@16/01@16/19/03@20/03/25@20/09/04@32/01
0.155,0.263,0.186,-0.311,-0.785,-0.481,-0.032,-0.195,-0.278,-0.503,-0.144,-0.165,0.313,-0.331,-0.567,0.232,-0.129,-0.028,-0.413,-0.389,-0.076,0.283,0.086,0.234,?,-0.812,?,-1.43,-0.447,-0.71,0.016,-0.18,?,-0.664,?,0.354,0.023,0.097,-0.345,20/01/07@20/03@20/09/18/07
-0.04,0.03,-0.11,-0.14,-0.14,-0.24,-0.06,-0.39,-0.43,-0.26,-0.16,-0.28,-0.05,-0.2,-0.14,0.284,1.51,0.359,0.292,0.185,0.1,0.42,0.28,-0.224,-0.129,-0.56,-0.059,0.14,0.112,-0.496,0.39,0.42,0.1,0.1,-0.56,-0.48,0.05,0.55,0.22,01/04@16/19/03@20/01/03@20/01/13@20/03/25
0.287,0.492,0.2,0.107,-0.287,-0.337,0.026,0.238,0.193,0.028,0.004,0.041,0.469,0,0.133,0.394,-0.478,-0.46,-0.12,-0.115,-0.102,?,0.414,-0.036,?,?,?,-0.008,?,0.403,-0.773,0.233,0.334,-0.381,-0.054,0.358,-0.851,?,-0.207,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
0.13,0.15,0.24,0.18,-0.019,0.3,-0.03,-0.36,0.05,-0.07,0.09,0.02,0.45,0.35,0.31,0.52,0.27,-0.46,0.19,0.23,-0.01,0.245,0.38,-0.2,-0.37,-0.46,-0.14,0.09,-0.09,-0.35,0.21,0.906,0.37,0.08,-0.29,-0.31,0.02,?,-0.3,16/01@16/17/01@16/17/03@16/17/05@16/17/07@16/19/03@20/01/01/01/01@20/01/15@20/01/26@20/03/22@20/09/07@20/09/16@30/01/05/01/04@32/01@34/01/01/01@34/05@34/07/01@34/11/13/07@42/04/03
-0.1,-0.278,-0.422,-0.298,-0.272,-0.278,-0.397,-0.166,-0.238,-0.354,-0.36,-0.245,-0.179,0.067,0.112,-0.156,-0.4,-0.001,0.021,-0.274,-0.532,0.279,-0.045,-0.721,-0.592,0.543,-0.092,0.11,0.159,0.022,-0.074,0.009,-0.079,-0.545,-0.257,?,0.131,-0.443,-0.234,20/01/01/01@20/03/01/01@34/01/01@34/11/03/07
0.217,-0.23,0.36,-0.292,-0.1,0.1,0.158,0.18,-0.03,-0.15,0.068,0.05,0.052,-0.103,0.165,0.35,0.33,0.46,0.29,0.76,0.286,0.656,0.562,0.45,0.48,0.3,0.33,0.39,0.09,0.2,0.756,0.758,-1.05,-0.605,-0.112,-0.23,-0.07,0.898,0.24,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
0.427,0.903,1.09,0.633,0.428,0.147,-0.133,-0.278,0.332,0.024,-0.423,-0.456,0.683,-0.024,-0.412,-2.422,1.005,1.823,1.689,0.921,-0.889,2.398,0.613,-3.981,-3.525,-2.104,-0.941,-0.219,-0.408,0.066,-0.371,0.336,-0.356,-2.322,-1.239,0.006,0.23,-0.168,-1.428,01/20/19/01@01/20/35/01/01@20/01/01/01/01/01@20/03@20/09/18@32/05/01/03/03@34/01/01/01
-0.01,-0.169,-0.662,-0.686,-0.964,-0.843,0.02,-0.355,-0.546,-0.708,-0.634,-0.648,-0.391,-0.795,-0.889,0.423,-0.047,-0.485,-0.46,-0.749,-0.22,0.366,-0.123,-0.279,-0.046,0.052,-0.119,0.009,-0.253,-0.761,0.231,-0.037,0.408,-0.267,-0.063,-0.05,0.257,0.185,-0.138,01/07/01@20/01/07@20/01/11@20/01/13@20/01/25@20/01/26@20/03@20/09/18
0.08,0.069,-0.005,0.062,0.131,0.028,0.23,-0.184,0.047,0.074,0.085,-0.043,0.2,0.28,0.12,0.29,0.014,0.124,0.009,-0.002,-0.057,0.307,-0.537,-0.111,-0.436,-0.253,-0.375,-0.384,-0.152,-0.206,-0.036,-0.15,-0.058,0.027,0.014,-0.026,0.2,0.37,-0.341,20/01/01/07/09@20/03/01/01@20/09/18/09/01@34/01/01@34/01/03/05
0.05,0.211,0.439,0.71,0.672,0.565,-0.3,-0.114,0.195,0.088,0.039,0.215,0.54,0.476,0.39,0.107,0.333,0.814,0.199,0.194,-0.187,0.63,0.014,-0.767,-0.83,-0.589,-0.496,-0.349,-0.061,-0.058,0.543,-0.106,0.01,-0.501,-0.272,0.055,0.109,-0.431,-0.787,20/01/01/01/01@20/09/18/07@34/01/01/01
0.587,0.064,-0.201,-0.823,-1.072,-1.38,0.417,0.107,-0.057,0.018,-0.21,-0.252,-0.275,-0.499,-0.61,2.085,1.088,-1.902,-1.413,-0.864,1.714,-1.144,0.358,2.39,2.086,1.495,-0.737,-1.039,-0.543,-1.011,0.674,0.183,0.955,1.375,0.961,-0.03,0.206,0.19,-0.967,20/01/07@20/09/18/07
0.608,1.312,2.734,?,2.465,2.251,0.449,0.557,0.853,0.624,0.702,1.185,1.948,1.75,1.388,0.011,1.687,0.383,1.279,1.112,-0.115,1.082,0.367,-2.481,?,-1.003,?,-0.02,-0.286,-0.599,0.316,0.386,?,-1.161,?,-0.015,0.015,0.637,?,01/07@20/01/01/01/01/01@20/01/27@20/03@20/09/18@32/07@34/01/01/01
?,?,?,?,?,-0.322,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-1.796,-0.07,0.3,?,01/02@20/01/07@20/01/11@20/03/02/02/01@20/09/18
0.172,-0.064,-0.115,-1.173,-1.505,-1.809,0.098,0.17,0.286,-0.475,-0.785,-1.369,0.503,-0.792,-0.855,1.548,0.36,-1.457,-1.734,-1.307,0.424,-0.623,-0.426,1.1,0.927,-0.063,-1.629,-1.272,-0.742,0.013,0.495,-1.318,-0.134,-0.985,-0.339,-0.079,0.258,-0.106,-0.346,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
0.01,-0.03,-0.24,-0.18,-0.41,-0.16,-0.03,-0.5,-0.31,-0.61,-0.48,-0.49,-0.27,-0.38,-0.34,-0.02,-0.16,-0.04,-0.12,-0.28,0.37,0.97,0.25,0.19,-0.13,0.349,-0.15,-0.11,-0.09,0.01,0.41,0.27,0.23,-0.75,-0.222,0.68,-0.55,0.36,1.09,01/05/25@16/13/01@20/01/03/01@20/09/18/07@34/11/12@42/01
-0.282,0.444,0.312,?,0.273,-0.055,-0.322,0.096,-0.498,-0.047,0.189,0.083,-0.058,?,0.097,0.353,0.401,0.275,0.712,1.636,0.132,0.282,0.142,0.588,0.475,-0.068,?,0.225,-0.089,?,0.368,0.413,-3.108,0.801,-0.115,0.746,-0.77,?,-0.113,01/05/25@16/13/01@20/01/03/01@20/09/18@34/11/12@42/01
-0.047,0.086,-0.164,-0.028,-0.056,-0.011,-0.383,0.031,0.161,0.261,0.189,0.289,-0.121,-0.344,-0.176,0.276,-0.042,0.012,-0.227,-0.341,0.409,0.518,0.269,0.143,0.501,0.025,-0.064,-0.145,-0.121,0.061,0.338,0.09,-0.011,-0.376,-0.249,-0.168,0.107,?,-0.333,01/06@20/01/03@20/01/13@20/03@20/09/16@20/09/18@32/01@41/01/01
0.62,1.01,0.5,0.91,1.31,1.5,0.11,0.01,0.17,0.23,0.42,0.42,-0.28,0.42,0.55,2.87,1.89,0.46,0.48,0.67,1.31,0.09,0.4,1.445,1,-0.04,-1.62,-1.31,-1.22,-1.08,1.56,-0.15,-0.73,0.98,-1.07,-0.09,-0.45,0.05,-1.03,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.553,0.539,0.001,0.269,0.644,0.959,0.247,-0.003,0.083,0.101,0.209,0.437,-0.177,0.322,0.376,1.155,0.353,-0.588,0.54,0.343,-0.268,-0.311,-0.207,0.011,-0.503,-1.386,-1.969,-1.608,-1.351,-1.646,0.401,-0.449,-1.295,-0.98,-2.09,-0.468,-0.387,0.555,-0.438,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
-0.213,0.679,0.2,0.384,0.593,0.663,0.134,-0.148,0.048,0.149,-0.183,0.181,-0.459,-0.242,-0.191,2.049,1.729,-0.019,0.478,0.33,-0.021,-0.083,-0.652,0.459,-0.161,-0.084,-0.839,-0.602,-0.394,-0.337,1.126,-0.392,-1.74,-0.309,-0.057,0.213,0.206,?,-0.146,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.08,0.48,-0.23,0,0.608,0.984,0.15,-0.21,-0.11,-0.3,0.08,0.073,-0.22,-0.32,-0.14,0.884,1.224,-0.15,-0.02,0.11,0.55,0.18,0.542,0.46,0.267,-0.01,-0.66,0.04,-0.6,-0.52,0.54,0.417,-1.277,-0.45,-1.121,0.88,-0.39,0.057,-0.256,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
-0.15,0.492,0.338,0.742,0.834,?,-0.26,-0.041,0.338,0.109,0.321,0.395,0.19,0,0.23,0.638,0.418,0.168,0.111,0.112,0.106,0.147,0.022,-0.168,0.12,0.049,-0.116,0.721,-0.053,0,0.619,-0.144,-0.563,0.113,0.447,-0.112,0.156,0.231,-0.068,01/05@20/01/03/01@20/03@20/09/16@20/09/18
-0.19,0.369,0.326,0.209,0.447,0.286,-0.17,-0.177,0.213,-0.143,-0.209,-0.04,-0.12,-0.29,-0.22,0.393,0.016,0.017,-0.046,?,-0.068,0.157,0.236,?,-0.737,-0.451,-0.239,-0.435,-0.055,0.066,0.636,-0.149,-0.682,0.306,-0.093,0.064,0.283,0.075,-0.291,99
0.165,0.553,0.334,0.364,0.545,0.575,-0.3,-0.054,0.312,0.247,0.099,0.336,-0.09,-0.022,-0.21,0.709,0.485,0.202,0.101,?,0.684,0.088,-0.382,-0.038,-0.316,-0.311,-0.313,-0.733,-0.313,-0.018,0.878,?,-0.608,?,?,0.025,0.235,0.436,-0.071,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
0.197,0.366,0.141,0.712,0.537,0.346,0.202,0.022,0.145,0.131,0.029,0.076,0.419,0.34,0.415,0.437,0.439,0.739,0.709,0.579,-0.292,-0.088,-0.524,0.557,0.465,0.176,0.085,0.025,0.059,0.161,0.78,-0.706,-0.584,0.349,0.508,0.289,-0.011,0.375,0.753,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
-0.567,0.142,-0.072,0.29,0.136,-0.138,-0.285,-0.253,-0.372,-0.217,-0.105,-0.211,-0.197,-0.402,0,0.39,0.066,0.07,0.208,0.141,0.019,0.11,-0.365,-0.456,-1.005,-0.35,-0.22,-0.506,-0.057,-0.085,?,-0.102,-0.727,0.444,0.145,0.827,-0.498,0.033,-0.058,20/01/03@20/03@20/09/18
0.04,-0.01,0.14,0.07,0.21,0.23,-0.08,-0.25,-0.09,-0.32,-0.46,-0.2,0.13,0.16,0.25,0.05,0.53,0.17,0.62,0.64,-0.31,0.23,0.29,-0.48,-0.64,-0.73,-0.06,0.2,0.1,-0.15,-0.27,0.06,1.1,0.73,0.72,-0.17,0.07,-0.328,-0.38,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
-0.202,-0.649,-0.906,-0.884,-0.932,-0.671,0.437,0.167,-0.365,-0.464,-0.293,-0.114,0.72,0.338,0.271,0.104,-0.378,-0.379,0.01,-0.191,-1.065,-0.985,-1.234,-1.504,-1.012,-0.036,0.089,0.14,-0.407,-0.488,?,-0.101,-0.801,-0.367,-0.325,-0.068,0.234,0.27,0.542,20/01/01/01/01@20/09/18/07@34/01/01/01
-0.09,-0.064,-0.39,-0.346,-0.273,-0.003,-0.026,-0.074,0.169,-0.041,0.015,0.303,0.32,0.34,0.35,-0.138,-0.167,0.237,0.339,-0.157,-0.219,0.733,0.032,-0.462,-0.35,-0.211,0.202,0.091,0.06,0.393,-0.416,-0.016,0.164,-0.447,-0.453,0.263,-0.098,0.511,-0.139,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
-0.068,0.159,0.023,-0.025,0.031,-0.218,-0.291,-0.104,-0.208,-0.38,-0.683,-0.579,0.114,-0.301,-0.33,-1.1,0.876,1.188,0.768,0.256,0.116,1.219,0.883,-2.749,-2.148,-0.609,-0.061,0.046,0.218,0.558,0.376,0.566,-0.562,-2.215,-0.019,-0.141,0.157,0.33,-0.697,20/01/01/01/01/01@20/03@34/01/01/01
0.12,-0.22,-0.12,0,0.5,0.68,-0.02,-0.54,-0.31,-0.41,-0.422,-0.29,-0.04,0.1,0.18,-0.23,0.02,-0.35,0.05,-0.17,-0.53,-0.24,-0.1,-0.01,-0.15,-0.39,-0.27,-0.1,-0.02,-0.33,0.276,0.09,0.14,-0.52,-0.58,-0.12,0.05,0.34,0.42,20/01/01/01/01@20/09/18@34/01/01/01
0.077,0.27,0.149,0.08,0.28,0.39,0.047,-0.232,-0.11,-0.26,0.09,-0.13,0.121,0.069,-0.3,0.16,0.47,-0.21,0.19,0.43,0.081,0.348,0.769,1.16,0.43,0.294,-0.23,0.342,-0.02,-0.04,-0.495,-0.048,0.77,0.397,-0.58,0.45,?,0.427,0.38,01/06@02/25
0,0.492,0.375,-0.028,0.006,-0.098,0.288,0.115,-0.091,0.228,0.037,0.084,0.311,-0.329,-0.194,0.021,-0.212,-0.706,-0.251,-0.079,0.102,0.669,0.247,-0.584,-0.748,-0.741,-1.009,-0.812,-0.289,-0.259,0.386,-0.281,-0.385,-0.774,-0.615,?,0.275,0.518,-0.03,20/01/01/01/01@20/01/07@20/01/13@20/03@20/09/04@20/09/16@20/09/18/07@34/01/01/01@34/11/03/13
-0.107,0.28,0.1,0.03,0.28,-0.01,-0.836,-0.63,-0.21,-0.52,-0.45,-0.33,-0.652,-0.334,-0.243,0.042,-0.012,-0.122,0.15,0.41,0.66,0.331,0.407,0.253,-0.58,-0.961,?,-0.549,-0.534,-0.731,0.818,?,-1.09,-0.17,-0.15,0.086,0.156,?,-0.642,01/05@20/01/03/01@20/03/02/02/01@20/09/18/07
0.128,0.095,0.042,-0.089,-0.304,-0.617,-0.187,-0.015,0.073,0.199,0.122,0.067,-0.253,-0.509,-0.496,-0.203,-0.595,0.36,-1.139,-0.398,-0.422,1.566,0.553,1.21,0.353,-0.255,0.505,0.661,0.186,-0.039,0.899,-0.142,1.36,1.412,0.57,-0.069,0.203,0.413,-0.495,01/01@20/01/07@20/09/18/07
0.12,0.627,0.834,0.826,0.756,0.522,-0.56,-0.282,0.463,0.219,0.051,0.316,0.45,0.3,0.26,-0.626,-0.164,0.645,-0.571,-0.082,-0.393,0.14,-0.468,0.084,-0.927,-1.221,-0.755,-0.378,-0.326,-0.407,0.085,-0.464,1.007,1.669,0.528,-0.024,0.106,-0.069,-0.585,01/01@20/01/07@20/09/18
0.05,-0.227,-0.366,-0.33,-0.359,-0.311,-0.33,-0.444,-0.032,-0.438,-0.297,-0.275,-0.42,-0.2,-0.45,-0.265,-0.433,-0.194,-0.135,-0.224,0.427,0.325,-0.12,-0.453,-0.46,-0.649,-0.642,-0.484,-0.729,-0.336,0.37,-0.335,-0.459,-0.743,-0.787,-0.033,0.099,0.492,0.04,11/04/03/01@20/01/01/01/01@20/03@20/09/04
0.227,0.931,1.318,1.252,1.31,0.959,-0.047,0.455,0.82,1.075,0.795,0.568,1.06,1.332,1.049,0.239,0.759,0.308,-0.472,-0.571,0.288,0.419,0.066,0.33,0.268,-0.033,-0.568,-0.454,-0.389,0.484,0.598,-0.201,-0.664,-0.915,-0.16,-0.072,0.11,-0.239,-0.505,11/04/03/01@20/01/01/01/01@20/03@20/09/04
