@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.847,0.911,0.427,?,0.541,0.493,0.824,0.373,0.059,0.711,0.276,-0.16,?,01/07/01@01/20/15/03
0.65,0.61,1.022,-0.134,0.028,0.336,1.017,0.222,0.537,0.587,1.276,0.95,0.063,01/07/01@01/20/15/03@16/21/05@20/01/15
?,1.3,?,-0.342,0.427,0.448,0.863,-0.209,-0.08,-0.317,0.231,0.431,0.383,01/07/01@01/20
0.304,0.391,0.441,-0.507,-0.182,-0.343,-0.191,-0.197,0.023,-0.292,-0.732,0.082,0.174,01/06/10@11/02/03/01@11/02/03/04@30/01@32/01/07
-0.293,-0.146,?,0.057,-0.538,-0.307,-0.533,?,-0.276,?,-0.499,-0.727,0.475,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
-0.26,-0.19,-0.24,-0.335,-0.026,-0.36,?,-0.219,-0.03,-0.35,-0.4,-0.01,-0.078,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
-0.235,0.172,-0.042,0.415,0.12,0.056,-0.561,-0.025,-0.253,-0.085,-0.354,-0.623,-0.066,01/05@02/16/03@02/45@16/01@42/04@42/16
-0.081,-0.073,-0.159,-0.399,-0.426,-0.525,-0.007,0.492,-0.362,-0.649,-0.097,-0.346,0.186,01/04@16/19/03@20/03/25@32/07
0.021,-0.203,0.178,-0.16,-0.204,-0.086,0.241,0.281,0.369,-0.819,0.079,-0.659,0.599,01/04@16/19/03@20/01/01/01@20/01/13@20/01/27@20/03/22@20/03/25@32/01/01@32/05/01/03@32/07/05@34/01/01/01
0.556,0.429,0.353,-0.393,0.156,0.121,0.58,-0.229,0.119,1.13,1.065,0.694,0.075,11/02/03/04
-0.343,-0.557,0.035,0.29,0.107,0.399,-0.465,0.439,-0.652,-1.078,-2.027,-1.664,0.2,14/01@16/01@32/01/07
-0.371,-0.63,-0.686,0.081,-0.469,-0.554,0.008,-0.211,-0.276,-0.45,-0.6,-0.868,-0.613,34/01/01/03@42/01
0.645,0.533,0.51,0.12,0.467,?,?,0.256,0.453,-0.474,-0.291,-0.756,0.121,99
?,-0.073,1.006,0.054,-0.752,0.006,0.02,-0.368,0.513,5.843,3.345,1.537,0.049,32/01
-0.208,-0.274,-0.404,-0.073,-0.322,-0.102,-0.237,-0.15,-0.095,0.294,0.119,-0.183,0.179,10/01/02@10/01/05/03/01@10/03/02
0.782,0.478,0.57,0.5,1.127,0.847,0.903,0.439,0.1,0.306,0.512,0.335,-0.145,01/06@02/11/05@02/13@02/25@14/10@20/01/15
-0.769,1.144,-0.601,0.28,0.172,0.225,-0.643,-0.367,-1.019,-0.89,-1.683,-1.237,0.273,10/01/05/01@11/06/02
0.914,0.854,1.266,0.26,0.915,0.738,1.377,0.402,0.335,1.666,1.574,1.338,-0.713,99
0.392,0.252,0.394,0.188,0.732,0.465,-0.005,-0.588,0.459,0.047,0.369,-0.251,0.002,01/03/01@01/03/04@01/04
?,0.365,0.831,0.256,-0.585,-0.385,1.821,0.342,0.833,2.719,2.828,1.669,-1.719,32/01
0.63,0.93,1.05,0.126,1.11,1.15,0.127,-0.203,-0.168,-0.76,-0.22,-0.3,-0.316,01/01/09/04@01/01/09/05@01/05@01/20@02/16
0.866,0.992,1.292,0.03,1.414,1.532,0.699,0.094,0.067,-0.317,0.71,0.34,-0.015,01/01/09/04@01/01/09/05@01/05@01/20@02/16
0.701,1.042,1.617,0.21,1.502,1.45,0.298,0.283,-0.029,-0.539,0.511,-0.025,?,01/01/09/04@01/01/09/05@01/05@01/20@02/16
-0.02,-0.27,0.02,-0.406,-0.29,-0.27,0.16,-0.24,0.25,0.93,3.238,1.51,0.21,16/09@32/01/03
0.113,0.219,0.367,0.223,0.805,0.779,0.223,-0.228,0.102,-0.957,0.135,-0.207,?,14/10
0.77,0.37,-0.21,-0.177,0.53,0.37,-0.239,-0.402,0.309,0.037,-0.157,-1.303,?,10/03/01/01/11@10/03/04/05@10/03/04/07@16/01
-0.052,-0.449,-0.223,0.207,0.179,-0.226,0.183,-0.223,0.208,0.135,0.293,0.48,-0.378,12/10@14/04
-0.52,-1.12,-1.03,0.238,0.19,0.21,-0.006,-0.569,-0.121,0.49,-0.33,-0.08,-0.096,20/09/14@42/04
0,0.11,-0.28,-0.097,0.08,-0.12,0.44,0.18,0.133,0.45,0.26,0.27,-0.075,01/01/03/02/01@20/01/07@20/03@20/09/13
0.66,0.26,-0.01,-0.055,0.14,0.28,0.04,0.52,0.142,-0.87,-0.83,-0.176,0.291,20/01/27@32/07
-0.3,-0.1,-0.17,-0.841,-0.34,-0.47,-0.465,-0.278,-0.012,-0.82,-0.85,-0.14,-0.044,20/01/11@20/01/27@32/07@43/01/03/09
-0.374,-0.388,0.513,-0.54,-0.79,-0.722,-1.349,0.384,-1.35,1.179,0.261,0.174,-0.15,20/01/11@20/01/27@32/07
0.302,?,0.006,-0.59,-0.007,-0.333,0.032,-0.308,0.21,-0.975,-0.674,0.222,0.052,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
0.002,0.255,0.437,-0.61,-0.282,-0.473,0.371,0.086,-0.02,-0.36,-0.515,-0.242,0.181,20/01/03@20/01/27@20/03/25@20/09/16@32/07/05
0.235,0.677,0.795,-0.2,0.249,0.142,0.707,0.45,0.093,0.186,-0.221,-0.145,-0.114,20/01/07@20/09/13
-0.594,-0.739,?,-0.145,-0.431,-0.34,-0.779,-0.166,-0.233,-0.124,0.195,0.126,0.005,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
-0.151,0.097,0.201,-0.067,-0.33,-0.063,0.027,0.245,0.162,-0.083,0.09,-0.034,0.675,01/05/13/01@01/06/02/01@01/20/01/07@14/07/01
0.598,1.304,2.188,0.492,-0.017,-0.223,1.252,0.244,0.328,0.435,0.668,-0.1,3.171,20/01/27@20/03/25@20/09/16@32/07
-0.897,-0.592,0.243,-0.218,0.008,0.098,0.219,0.455,-0.953,0.985,-0.587,0.009,-0.036,20/01/03@20/01/27@20/03/25@20/09/16@32/07/05
0.091,0.181,-1.158,-0.528,-0.865,-0.885,-0.116,0.809,-0.381,-1.386,-0.577,-0.098,2.95,01/05@20/01/03@20/01/13@20/03/02/02/01
0.011,0.259,-0.021,-0.251,0.033,0.012,-0.689,-0.081,-0.052,0.079,0.068,0.033,-0.416,01/06/02/01@10/03/02@43/01/03/09
-0.27,-0.038,-0.088,-0.356,-0.217,0.101,-0.053,-0.172,0.145,0.659,0.639,-0.271,?,10/01/03@16/19/03
-0.778,-0.611,-0.385,-0.09,-0.176,0.012,-0.623,0.081,-0.343,-0.128,-0.447,-0.381,?,01/03/16@14/04@20/01/10@20/09/01
0.22,0.04,0.38,-0.01,0.13,0.26,0.48,0.73,0.31,-1.09,-1.05,-0.68,0.058,02/45@16/21/05@20/01/15
0.018,-0.09,-0.487,0.12,0.383,0.491,0.424,-0.611,0.502,0.058,-0.357,-0.265,0.642,99
0.403,-0.058,-0.014,0.036,-0.168,-0.06,0.318,0.11,?,0.552,0.272,-0.233,?,10/03/01@11/02/03/04@40/01/05
0.304,0.122,0.104,-0.225,-0.189,-0.211,0.172,-0.138,?,0.093,0.12,-0.112,?,01/04@14/07/03@32/01
0.136,0.135,-0.167,0.102,0.431,0.213,-0.527,-0.79,-0.318,-0.286,-0.12,0.222,-0.009,02/19
0.697,0.517,0.065,0.274,0.157,-0.221,0.761,-0.06,0.565,3.385,2.832,2.679,-0.589,14/13/01@18/01/07@18/02/01/02/03@42/25
0.64,0.28,0.64,-0.313,0.02,0.2,0.72,0.41,0.257,0.9,0.58,-0.1,0.359,01/04@14/07/03@20/09/18/09/01@42/04/03
-0.303,0.147,0,-0.928,-0.818,-1.044,?,-0.122,0.428,-0.89,-0.084,0.101,?,01/04@02/13@10/03/01@10/03/02@14/07/03
0.24,0.11,0.02,0.31,0.05,0.15,0.09,-0.31,0.04,0.61,0.4,-0.14,0.5,99
0.092,0.352,0.67,-0.651,-0.196,-0.28,0.472,0.312,0.209,0.968,0.747,0.467,0.478,01/04@01/06@10/03/01@14/07/03@20/09/18/09/01@30/01
0.08,0.02,0.19,-0.18,-0.25,-0.22,-0.22,-0.4,-0.24,0.39,0.11,-0.18,0.33,01/04@10/03/01@10/03/03@14/07/03@14/10@20/09/18/09/01@42/04/03@43/01/03/05
-0.017,-0.088,0.302,0.201,-0.091,-0.273,0.246,0.214,0.068,0.393,0.442,-0.17,0.617,01/04@10/03/01@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02@30/01/05/01/06@40/01/03
0.03,-0.29,-0.2,0.081,0.05,-0.03,0.001,-0.161,-0.053,-0.01,-0.52,-0.31,0.05,99
0.31,0.59,0.574,0.13,0.304,0.317,0.409,-0.145,-0.053,0.596,0.53,0.18,-0.378,01/04@10/03/01@14/07/03
1.226,1.657,2.291,-0.11,0.795,0.533,1.073,-0.074,0.33,2.575,2.507,2.029,-1.119,01/05
0.23,0.03,-0.04,-0.05,-0.02,-0.03,0.267,0.83,0.04,0.38,0,-0.01,-0.119,01/02
-0.202,0.205,0.351,-0.124,-0.321,-0.094,-0.124,0.189,-0.363,0.423,0.553,0.08,-0.126,01/04@16/19/03@20/03/25
0.034,0.371,1.358,-0.273,0.197,-0.002,0.912,1.376,0.647,1.458,1.366,1.401,-0.193,32/01@42/01
0.191,0.338,0.378,?,0.184,0.182,0.135,0.09,0.234,0.306,0.778,0.8,-0.268,01/06/05@02/25
1.219,1.784,2.298,-0.158,0.461,0.642,1.725,0.472,0.187,-0.63,-0.159,-0.11,?,01/05@02/10@02/11@02/13@16/21/05@16/21/07@20/01/15@32/01
0.377,0.537,0.576,0.688,0.961,0.843,0.132,-0.081,-0.086,0.89,0.743,0.742,-0.395,14/01
0.234,0.4,0.282,-0.12,-0.146,0.262,0.569,-0.047,0.286,0.309,1.002,0.349,0.374,11/04/03@14/07/05@14/10@14/13/01/01@16/01@16/19/03
0.001,0.213,0.106,-0.095,-0.117,-0.178,-0.233,0.017,-0.17,0.258,0.095,0.202,0.579,01/05/25@11/02/03/04@16/03/01
0.88,0.794,1.416,0.627,0.562,0.458,0.905,?,0.747,2.857,2.373,0.768,?,01/03/16@11/04/03@40/01
-0.017,-0.281,0.022,0.298,0.226,0.125,-0.042,-0.273,-0.026,-0.286,-0.645,-0.272,0.192,16/03/01@16/03/03@20/01/21@32/01/09@42/10/03
-1.277,-0.868,-0.866,0.338,-0.334,-0.35,-1.934,-0.457,-1.015,-1.501,-2.714,-2.071,0.517,10/01/09/05@11/02/01@11/02/03@11/04/01@11/04/03/11@16/03/03@16/19/03
0.315,0.303,0.13,0.122,0.723,0.383,0.635,0.105,0.027,0.856,1.002,0.898,-0.206,01/04@11/04/03/03
0.571,0.324,0.161,-0.065,0.188,0.144,0.143,-0.535,0.103,0.453,0.65,-0.081,-0.666,20/01/09@20/03@34/11/03/07
-0.357,-0.572,0.021,0.331,-0.128,-0.29,-0.293,-0.39,-0.679,-0.183,0.087,-0.967,-0.098,32/01@34/01/01/03
-0.01,0.08,-0.26,-0.089,0.07,-0.09,0.3,-0.16,0.49,0.12,-0.1,-0.1,0.472,01/06/02/01@20/03
-0.432,-0.188,-0.053,0.129,-0.526,-0.4,-0.588,-0.232,-0.384,-1.207,-1.78,-0.844,0.3,10/01/03@20/01/03@20/09/04@42/16
0.011,-0.079,-0.119,-0.26,0.044,-0.095,-0.006,-0.315,0.442,0.427,0.646,0.072,0.441,10/03/01/03@10/03/04/03@14/07/07@14/13/01
0.306,-0.053,0.091,?,0.648,0.844,0.333,-0.068,-0.199,0.37,0.372,-0.265,?,11/04/03/01@16/01@20/09/04
0.55,0.24,0.34,0.072,0.33,0.13,0.71,0.04,0.24,0.21,0.13,0.24,-0.078,20/09/07
0.286,0.651,0.368,-0.383,0.318,0.377,0.235,-0.115,0.282,0.952,1.185,0.983,-0.082,20/01/07
0.463,0.45,0.269,0.037,-0.033,-0.008,0.359,0.461,-0.031,0.029,-0.187,-0.706,-0.054,10/01/02@10/01/05@10/03/01/03
-0.07,-0.04,0.139,-0.316,-0.42,-0.31,-0.05,-0.23,-0.07,0.8,-0.08,-0.407,0.04,14/07/05@14/13/01
0.11,0.11,0.19,-0.219,-0.15,-0.07,-0.1,0.14,-0.137,-0.39,-0.49,0.24,0.144,20/01/17
-0.035,-0.315,-0.475,?,-0.167,-0.046,0.451,-0.076,0.241,-0.301,-0.857,-0.64,0.165,10/03/01@10/03/04/05
-0.09,0.287,0.22,-0.613,-0.46,-0.41,0.02,-0.38,0.561,-0.475,-0.671,-0.12,-0.023,16/01@20/09/07/03
-1.25,-1.17,-1.34,0.693,-0.08,0.12,-1.23,-0.46,-1.211,-1.11,-2.48,-1.65,-0.117,34/11/03/07
-0.02,0.25,0.19,0.34,0.27,0.14,-0.2,0.21,0.045,0.131,0.497,-0.248,?,01/06/02/01
0.21,0.45,0.41,0.055,0.28,0.28,-0.561,-0.082,0.663,-2.45,-0.56,0.03,0.085,10/03/01/01/09@10/03/04/03
0.51,0.776,0.51,-0.282,0.34,0.24,0.303,0.166,0.235,-0.371,?,0.075,?,20/09/18/09/01@42/04/03
0.26,0.79,0.82,-0.16,0.16,0.22,1.048,0.993,0.297,1.53,0.874,-0.456,-0.378,14/04@14/07/11/01@20/09/13@20/09/18/09/01
-0.07,-0.07,0,0.105,0.29,0.2,-0.339,-0.425,0.031,-0.64,-0.62,-0.27,-0.051,10/01/03@10/03/01@10/03/02@10/03/04/05@40/01@42/04@43/01/03/05@43/01/03/09
0.403,0.105,0.348,0.046,0.454,0.259,?,?,0.06,1.254,0.62,0.226,?,20/03@20/09/04
1.503,1.673,1.581,0.139,1.33,0.96,1.055,-0.173,0.62,2.581,3.285,2.875,-1.183,01/05/02/07@01/06/06/11@01/20/17/09@02/16@16/21/07@32/01/03@32/01/05@34/11/03/13
-0.06,-0.12,-0.11,-0.03,-0.21,-0.09,0.02,-0.08,0.2,-0.631,-0.29,-0.93,0.07,01/05/25
0.318,0.193,-0.075,0.417,0.501,0.54,-0.037,-0.72,0.143,0.585,0.421,0.05,-0.016,14/04@16/03/03@20/09
-0.158,0.102,-0.141,0.215,-0.229,-0.327,0.61,0.402,-0.273,-0.514,0.618,-0.336,-0.019,34/11/03/07@41/01/01@42/01
0.701,0.646,0.862,0.332,0.276,0.556,-0.525,-0.532,0.127,0.349,0.413,0.005,0.312,11/02/03/04@11/06/02@40/01
0.28,-0.052,0.239,0.347,0.674,0.52,0.126,-0.216,-0.249,0.005,-0.112,-0.611,-0.863,02/13/03@12/01/01@42/16
0.269,0.129,0.169,0.389,0.832,0.554,-0.166,-0.356,-0.072,-0.057,-0.014,-0.245,-0.205,14/04@20/09/13
0.372,?,-0.032,0.293,?,0.384,0.124,-0.223,?,0.896,0.418,-0.635,0.547,01/01/09@11/02/03/01@11/02/03/04
-0.442,-0.398,-0.64,0.282,0.038,0.28,-0.38,-0.269,-0.589,-0.478,-0.51,-0.446,-0.016,01/06
-1.624,-1.723,-1.195,-0.069,-2.166,-2.304,0.532,0.069,-0.122,-0.225,-0.104,-0.17,-0.006,01/06/06/11
0.225,-0.117,-0.066,0.454,0.699,0.497,0.286,-0.691,-0.131,0.622,0.463,0.139,-0.738,12/01/01@42/16
0.058,0.14,0.16,-0.251,0.214,0.189,0.181,0.09,0.003,-0.571,-0.93,0,0.17,99
-0.01,-0.31,-0.107,0.107,-0.16,-0.07,1.048,0.38,0.22,0.12,-1.876,-0.107,0.092,01/05/13/03@01/07/01@16/19/03
0.268,0.057,-0.064,0.161,0.185,0.208,0.113,-0.56,0.065,0.019,-0.22,-0.288,0.483,10/01/09/05@16/01
-0.159,0.323,0.398,-0.762,-0.479,-0.373,0.451,0.612,-0.25,-0.192,0.051,0.241,-0.124,32/07
1.104,1.133,1.285,?,0.956,0.556,0.69,-0.295,0.047,0.076,-0.079,-0.099,-0.144,20/09/18/09/01@40/01@42/04/03@43/01/03/05
-0.165,-0.075,-0.215,-0.071,-0.063,-0.049,-0.445,-0.306,-0.081,-0.051,0.458,-0.214,-0.108,01/06
-0.177,0.391,0.044,-0.649,-0.559,-0.596,-0.617,0.137,0.114,0.108,0.427,0.339,-0.143,99
-0.366,0.017,0.203,-0.434,-0.499,-0.784,0.509,-0.037,0.101,-1.851,-1.338,-0.474,?,20/01/25@20/03@20/09/04
0.568,0.644,1.092,0.228,0.552,0.295,0.61,0.224,0.324,0.516,0.534,-0.247,0.89,11/02/03/04@18/02/01/01/01@32/01
0.371,0.396,0.611,-0.31,-0.071,-0.069,0.714,-0.161,0.312,0.008,-0.533,?,?,14/04@20/01/10@20/09/16
1.534,0.626,-0.171,0.72,1.194,1.138,-1.793,-2.265,2.05,2.201,2.624,2.097,0.156,20/01/10@34/01/01/03
-0.146,-0.2,-0.087,-0.22,-0.025,0.145,0.157,-0.187,-0.236,-0.046,-0.237,-0.045,-0.411,01/03/04@01/03/10@11/06/02
0.487,0.455,0.598,0.08,0.514,0.275,0.003,-0.145,0.102,0.377,0.171,0.209,-0.455,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@32/01
-0.261,-0.205,0.13,0.24,0.13,0.137,-0.908,0.008,-0.698,-0.81,-1.447,-0.885,0.179,14/07@14/13@16/01
0.976,0.385,1.81,-0.481,0.441,0.172,1.406,0.927,-0.143,-1.438,-0.474,-0.35,0.4,42/16
0.329,0.143,-0.069,-0.1,-0.368,-0.201,-0.215,-0.288,0.27,?,0.146,0.107,?,34/11/03/07@41/01/01
0.772,0.251,0.351,-0.08,-0.135,0.081,0.767,0.621,0.432,1.156,1.314,0.327,?,02/11/05@34/01/01/03
0.273,-0.124,-0.271,0.22,0.368,0.414,-0.682,-0.388,?,0.272,-0.008,-0.107,?,10/01/03
0.368,0.176,0.096,0.2,0.691,0.669,0.583,-0.228,0.307,-0.344,-0.446,-0.179,-0.096,14/04@16/01@20/01/10@20/09/07/05@20/09/13
-0.197,-0.313,-0.313,0.47,-0.244,-0.391,-0.102,-0.047,-0.323,-0.777,-1.904,-1.194,0.083,16/01@40/10/02/01
-0.049,-0.185,-0.367,-0.337,0.392,0.297,0.498,0.15,-0.047,-0.309,-0.83,-0.07,0.756,11/04/03/01
0.04,-0.02,-0.1,-0.31,-0.28,0.04,0.37,0.03,0.29,-1.3,-1.608,-0.1,0.23,99
0.498,0.034,0.516,-0.574,-0.021,-0.054,0.665,0.503,0.777,0.349,0.371,-0.056,?,12/04/01@12/07
-0.27,0,0.11,0.08,-0.5,-0.33,-0.47,-0.13,-0.56,-1.01,-1.11,-0.85,-0.38,01/05@02/01
