@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
B,20,0.09,0.1,0.1,0.1,0.0,0.0,-0.09,0.08,0.06,0.0,0,0.05,0.0,0,0.1,0.9,0,?,1,1,?,5,5,?,0,GO0005886@GO0010008@GO0015174@GO0015181@GO0015802@GO0015809@GO0016021@GO0045121@GO0055085
B,20,0.1,0.1,0.19,0.28,0.0,0.27,0.38,0.15,0.27,1.0,1,0.02,0.0,0,0.23,1.65,1,1,1,?,?,?,5,2,0,GO0004402@GO0005634@GO0005737@GO0006473@GO0008080@GO0046416@GO0047812@GO0070458
B,21,0.27,0.22,0.18,0.41,0.0,0.11,0.27,0.27,0.18,0.6,0,0.21,0.0,0,0.26,1.04,1,?,?,?,?,?,5,?,0,GO0004298@GO0005634@GO0005789@GO0010499@GO0019774@GO0034515@GO0043161@GO0061133
B,21,0.09,0.09,0.18,0.23,0.0,0.1,0.17,0.15,0.12,0.8,0,0.03,0.0,0,0.27,0.63,0,?,?,?,?,2,5,?,0,GO0006511@GO0008541@GO0030234@GO0042176
B,21,0.21,0.2,0.12,0.15,0.0,0.0,0.0,0.17,0.08,0.0,0,0.08,0.0,0,0.18,0.0,0,?,?,?,?,5,5,?,0,GO0001731@GO0003743@GO0003924@GO0005525@GO0005850@GO0006413@GO0016282@GO0031369@GO0033290@GO0043614@GO0045903
B,20,0.16,0.17,0.21,0.3,0.0,0.0,0.22,0.21,0.14,0.0,0,0.09,0.0,0,0.13,1.69,1,?,?,?,?,5,5,2,0,GO0000056@GO0005524@GO0005634@GO0005737@GO0042254@GO0042624
B,20,0.1,0.1,0.1,0.29,0.0,0.0,0.41,0.13,0.02,0.0,0,0.02,0.0,0,0.21,1.95,1,1,1,1,?,5,5,?,0,GO0005737@GO0008113@GO0034599
B,20,0.07,0.1,0.08,0.1,0.0,0.0,0.0,0.08,0.07,0.0,0,0.02,0.0,0,0.18,0.0,0,?,1,?,?,5,5,4,0,GO0005634@GO0006457
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0003735@GO0005763@GO0022627@GO0032543
B,20,2.49,1.66,1.83,1.35,0.0,-0.14,-0.17,1.83,0.14,1.0,0,0.16,0.0,0,0.13,1.31,0,?,?,?,?,?,5,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625@GO0030687@GO0042254
B,20,0.09,0.1,0.1,0.16,0.0,0.0,0.01,0.1,0.06,0.0,0,0.03,0.0,0,0.19,0.05,0,?,1,1,?,5,5,?,0,GO0000329@GO0005886@GO0015205@GO0015856@GO0016021@GO0072530
B,20,0.1,0.1,0.1,0.1,0.0,0.0,-0.03,0.08,0.04,0.0,0,0.04,0.0,0,0.14,0.21,0,1,1,1,?,5,5,?,0,GO0000209@GO0000288@GO0003723@GO0004842@GO0005634@GO0005737@GO0006351@GO0010498@GO0016567@GO0030015@GO0031087@GO0032968@GO0046872
B,21,0.11,0.08,0.08,0.06,0.0,0.0,-0.14,0.08,0.14,0.0,0,0.03,0.0,0,0.1,1.4,0,?,?,?,?,5,?,?,0,GO0003674@GO0005575@GO0008150
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.03,0.08,0.02,0.0,0,0.02,0.0,0,0.21,0.14,0,1,1,1,?,5,5,2,0,GO0002161@GO0004827@GO0005524@GO0005739@GO0006433
B,21,0.08,0.1,0.13,0.13,0.0,0.05,0.0,0.1,0.12,0.4,0,0.03,0.0,0,0.18,0.0,0,?,1,?,?,?,5,?,0,GO0000162@GO0004049@GO0005950@GO0046872
B,20,0.14,0.1,0.09,0.09,0.0,0.0,-0.03,0.1,0.02,0.0,0,0.06,0.0,0,0.15,0.2,0,?,1,?,?,5,5,?,0,GO0000209@GO0004842@GO0005524@GO0005789@GO0006513@GO0016021@GO0030433@GO0031625@GO0061630
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.08,0.1,0.0,0,0.09,0.0,0,0.15,0.0,0,1,1,1,?,5,5,4,0,GO0000245@GO0000387@GO0000398@GO0000932@GO0000956@GO0005681@GO0005688@GO0005730@GO0005732@GO0006364@GO0008033@GO0017070@GO0033962@GO0046540@GO1990726
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.08,0.09,0.0,0,0.07,0.0,0,0.18,0.0,0,?,1,1,?,5,5,5,0,GO0000920@GO0005543@GO0005737@GO0005856@GO0005933@GO0005935@GO0007118@GO0007266@GO0030010@GO0030427
B,20,0.16,0.19,0.21,0.13,0.0,0.0,-0.04,0.17,0.1,0.0,0,0.15,0.0,0,0.14,0.29,0,?,?,?,?,5,5,?,0,GO0030437
B,20,0.14,0.11,0.13,0.17,0.0,0.0,-0.12,0.14,0.07,0.0,0,0.15,0.0,0,0.09,1.33,0,?,?,?,?,5,5,?,0,GO0000151@GO0000209@GO0004842@GO0005634@GO0005737@GO0005794@GO0005934@GO0006333@GO0006511@GO0006513@GO0006808@GO0007005@GO0010008@GO0010793@GO0010794@GO0010795@GO0010796@GO0016567@GO0016973@GO0019220@GO0030479@GO0031234@GO0031384@GO0032436@GO0032443@GO0032511@GO0032880@GO0032956@GO0034517@GO0034644@GO0035091@GO0042493@GO0043130@GO0043161@GO0043162@GO0045723@GO0045807@GO0045944@GO0048260@GO0051865@GO0061630@GO0070086@GO0072671@GO2000203@GO2000232@GO2000235@GO2000238
B,21,0.6,0.76,0.46,0.41,0.0,0.0,0.0,0.56,0.11,0.0,0,0.09,0.0,0,0.18,0.0,0,?,?,?,?,5,5,5,0,GO0002181@GO0003729@GO0003735@GO0006407@GO0022627@GO0042255
B,20,0.1,0.1,0.1,0.15,0.0,0.0,0.1,0.1,0.11,0.0,0,0.06,0.0,0,0.27,0.37,0,1,1,?,?,5,5,?,0,GO0005381@GO0005886@GO0033215@GO0033573@GO0034755@GO1901684
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.03,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0003729@GO0004843@GO0005737@GO0006511@GO0016579@GO0034517@GO0047484@GO0060628@GO1990861
B,21,0.09,0.1,0.07,0.06,0.0,0.0,-0.14,0.07,0.09,0.0,0,0.06,0.0,0,0.12,1.17,0,?,1,?,?,5,5,?,0,GO0000122@GO0001047@GO0001129@GO0003682@GO0003713@GO0003714@GO0017054@GO0045944@GO0046982@GO0051123@GO0061408
B,21,0.1,0.09,0.1,0.1,0.0,0.04,0.06,0.09,0.11,0.4,0,0.07,0.0,0,0.24,0.25,0,1,?,?,?,?,5,?,0,GO0005524@GO0005737@GO0005739@GO0009396@GO0030272@GO0035999
B,20,0.1,0.1,0.07,0.1,0.0,0.0,0.0,0.09,0.03,0.0,0,0.04,0.0,0,0.18,0.0,0,?,1,?,?,5,5,5,0,GO0000027@GO0000470@GO0003723@GO0004004@GO0005524@GO0005654@GO0005730@GO0005737@GO0010501@GO0030686@GO1902626
B,21,0.14,0.14,0.19,0.15,0.0,0.0,0.0,0.16,0.1,0.0,0,0.09,0.0,0,0.12,0.0,0,?,?,?,?,5,?,4,0,GO0000131@GO0003924@GO0005525@GO0005768@GO0005886@GO0006887@GO0006893@GO0006904@GO0006906@GO0006914@GO0007107@GO0009306@GO0017157@GO0030133@GO0030658@GO0031321@GO0031982@GO0043332@GO0072659
B,20,0.11,0.1,0.1,0.17,0.0,0.0,0.01,0.12,0.12,0.0,0,0.05,0.0,0,0.12,0.08,0,?,1,?,?,5,5,?,0,GO0000002@GO0001671@GO0005524@GO0005759@GO0006458@GO0006515@GO0009408@GO0031072@GO0031314@GO0042026@GO0046872@GO0051082
B,20,0.13,0.11,0.25,0.16,0.0,0.09,-0.06,0.16,0.11,0.8,0,0.1,0.0,0,0.12,0.5,0,?,?,?,?,2,5,?,0,GO0005524@GO0005634@GO0005737@GO0006357@GO0016887@GO0030014
B,21,0.12,0.09,0.07,0.19,0.0,0.0,0.18,0.12,0.05,0.0,0,0.07,0.0,0,0.22,0.82,0,?,?,?,?,5,5,2,0,GO0006888@GO0030134@GO0030173@GO0030176@GO0030246@GO0097367
B,21,0.08,0.1,0.07,0.08,0.0,-0.1,0.0,0.08,0.06,1.3,0,0.02,0.0,0,0.16,0.0,0,?,1,?,?,1,5,4,0,GO0005215@GO0006833@GO0015168@GO0015250@GO0016021@GO0055085
B,20,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.04,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0009228@GO0009229
B,20,0.26,0.27,0.42,0.73,0.0,0.12,0.25,0.42,0.12,1.0,0,0.09,0.0,0,0.14,1.79,1,?,?,?,?,?,5,?,0,GO0000266@GO0004843@GO0005634@GO0005739@GO0005829@GO0008237@GO0008541@GO0016559@GO0016579@GO0034515@GO0043161@GO0046872@GO1902906
B,20,0.15,0.12,0.17,0.22,0.0,0.0,0.01,0.17,0.07,0.0,0,0.1,0.0,0,0.19,0.05,0,?,?,?,?,5,5,?,0,GO0000502@GO0004843@GO0005838@GO0016579@GO0032434@GO0072671@GO1901799
B,20,0.27,0.18,0.17,0.16,0.0,0.0,-0.14,0.2,0.07,0.0,0,0.08,0.0,0,0.07,2.0,0,?,?,?,?,5,5,?,0,GO0016603
B,20,0.1,0.1,0.1,0.36,0.0,0.0,0.27,0.15,0.09,0.0,0,0.03,0.0,0,0.3,0.9,0,1,1,1,?,5,5,2,0,GO0000754@GO0002092@GO0031625@GO0070086
B,20,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.02,0.0,0,0.03,0.0,0,0.18,0.0,0,1,1,1,?,5,5,4,0,GO0000105@GO0004401
B,21,0.08,0.1,0.1,0.12,0.0,0.0,-0.07,0.09,0.07,0.0,0,0.06,0.0,0,0.1,0.7,0,?,1,1,?,5,5,?,0,GO0003700@GO0005634@GO0005737@GO0006338@GO0006351@GO0016036@GO0043565@GO0045937@GO0045944@GO0046983
B,20,0.13,0.1,0.15,0.24,0.0,0.0,0.0,0.16,0.02,0.0,0,0.07,0.0,0,0.18,0.0,0,?,?,?,?,5,5,4,0,GO0003677@GO0006303@GO0006337@GO0006355@GO0006368@GO0008270@GO0016586@GO0043044
B,21,0.1,0.1,0.08,0.07,0.0,0.0,0.0,0.07,0.1,0.0,0,0.04,0.0,0,0.18,0.0,0,1,1,?,?,5,5,5,0,GO0005783@GO0005789@GO0006457@GO0016021
B,21,0.1,0.1,0.07,0.11,0.0,0.0,0.07,0.08,0.05,0.0,0,0.02,0.0,0,0.14,0.5,0,1,1,?,?,5,5,?,0,GO0005215@GO0005743@GO0006810@GO0006839@GO0006843@GO0015137@GO0016021
B,20,0.07,0.13,0.09,0.29,0.0,0.0,0.18,0.15,0.09,0.0,0,0.07,0.0,0,0.27,0.67,0,?,?,?,?,5,5,2,0,GO0005634@GO0006511@GO0008541@GO0034515@GO0043161@GO0043248
B,20,0.1,0.1,0.1,0.09,0.0,0.0,-0.11,0.08,0.05,0.0,0,0.02,0.0,0,0.07,1.57,0,1,1,1,?,5,5,?,0,GO0005730@GO0006364@GO0042254
B,20,0.1,0.1,0.1,0.07,0.0,0.0,-0.12,0.07,0.02,0.0,0,0.02,0.0,0,0.07,1.71,0,1,1,1,?,5,5,?,0,GO0000122@GO0000433@GO0000978@GO0001078@GO0005634@GO0005641@GO0005737@GO0005975@GO0006351@GO0045944@GO0046872@GO0061987@GO1900436
B,20,0.1,0.14,0.11,0.14,0.0,-0.01,0.0,0.12,0.07,0.1,0,0.07,0.0,0,0.16,0.0,0,?,?,?,?,?,5,4,0,GO0000009@GO0000136@GO0000137@GO0005789@GO0006487@GO0006491@GO0016757@GO0033164
B,20,0.77,0.54,0.44,0.82,0.0,-0.05,0.09,0.64,0.06,0.8,0,0.05,0.0,0,0.06,1.5,0,?,?,?,?,?,?,?,0,GO0004655@GO0005829@GO0006782@GO0006783@GO0008270
B,20,1.04,0.97,0.77,1.03,0.0,-0.04,-0.06,0.95,0.06,0.7,0,0.12,0.0,0,0.07,0.86,0,?,?,?,?,?,5,?,0,GO0005886@GO0005887@GO0015179@GO0015220@GO0015297@GO0015871@GO0031460@GO0034228@GO0034229@GO1900749@GO1901235
B,20,0.15,0.16,0.12,0.16,0.0,-0.02,0.0,0.15,0.13,0.2,0,0.06,0.0,0,0.18,0.0,0,?,?,?,?,?,5,5,0,GO0000464@GO0003723@GO0004004@GO0005524@GO0005730@GO0005737@GO0008186@GO0010501@GO0030687
B,21,0.09,0.1,0.1,0.07,0.0,0.0,-0.15,0.08,0.08,0.0,0,0.05,0.0,0,0.13,1.15,0,?,1,1,?,5,5,?,0,GO0000790@GO0003677@GO0003682@GO0006355
B,20,0.1,0.1,0.1,0.07,0.0,0.0,-0.1,0.07,0.02,0.0,0,0.02,0.0,0,0.07,1.43,0,1,1,1,?,5,5,?,0,GO0000054@GO0000790@GO0005087@GO0005634@GO0006407@GO0007049@GO0016973@GO0019236@GO0051301
B,20,0.12,0.08,0.12,0.11,0.0,0.0,0.0,0.11,0.06,0.0,0,0.07,0.0,0,0.18,0.0,0,?,?,?,?,5,5,4,0,GO0000124@GO0001102@GO0003682@GO0005634@GO0005669@GO0005829@GO0006325@GO0006366@GO0016573@GO0032947@GO0042802@GO0046695@GO0046982@GO0051090@GO0051123
B,21,0.27,0.13,0.3,0.31,0.0,-0.01,-0.05,0.25,0.09,0.1,0,0.11,0.0,0,0.12,0.42,0,?,?,?,?,?,5,?,0,GO0001302@GO0005524@GO0005634@GO0005641@GO0005737@GO0005886@GO0005975@GO0006351@GO0006357@GO0006468@GO0007031@GO0031588@GO0042802@GO0043539@GO0045722
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.16,0.08,0.02,0.0,0,0.02,0.0,0,0.14,1.14,0,1,1,1,?,5,5,2,0,GO0004672@GO0005524@GO0005739@GO0005759@GO0006744@GO0008289@GO0016301@GO0016310@GO0016887@GO0031314@GO0046777@GO1901006
B,20,0.1,0.08,0.12,0.14,0.0,0.0,0.0,0.1,0.08,0.0,0,0.03,0.0,0,0.17,0.0,0,1,?,?,?,4,5,4,0,GO0000049@GO0005634@GO0005737@GO0006378@GO0008097@GO0008143@GO0008312@GO0016973@GO0033204@GO0043488@GO0045945@GO0046872@GO1900152@GO1900364
B,21,0.31,0.25,0.81,0.43,0.0,0.39,0.1,0.45,0.17,2.3,1,0.14,0.0,0,0.14,0.71,0,?,?,?,?,?,5,?,0,GO0006644@GO0008654@GO0019915@GO0030176@GO0034389
B,20,0.17,0.17,0.2,0.26,0.0,0.15,-0.03,0.2,0.16,0.9,0,0.07,0.0,0,0.14,0.21,0,?,?,?,?,?,5,?,0,GO0003712@GO0003713@GO0006281@GO0006310@GO0006311@GO0006357@GO0006366@GO0016592@GO0045144@GO0070847
B,21,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0000390@GO0005684@GO0005737
B,21,0.1,0.1,0.11,0.07,0.0,0.19,0.0,0.08,0.21,0.9,0,0.02,0.0,0,0.18,0.0,0,1,1,?,?,?,5,4,0,GO0000079@GO0000307@GO0005737@GO0005977@GO0016538@GO0019901@GO0045719
B,21,0.9,0.74,0.83,0.84,0.0,0.12,0.03,0.83,0.16,0.8,0,0.13,0.0,0,0.14,0.21,0,?,?,?,?,?,5,?,0,GO0004107@GO0005737@GO0005829@GO0009073@GO0009423@GO0010181@GO0042602
B,21,0.1,0.09,0.11,0.14,0.0,0.0,0.03,0.11,0.12,0.0,0,0.11,0.0,0,0.15,0.2,0,?,?,?,?,5,5,?,0,GO0000978@GO0001202@GO0005507@GO0005634@GO0006351@GO0006357@GO0006878@GO0006879@GO0045944@GO0046688@GO0071468
B,21,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.02,0.0,0,0.18,0.0,0,0.18,0.0,0,1,?,1,?,5,5,4,0,GO0000055@GO0005643@GO0006409@GO0006606@GO0016973@GO0017056@GO0031965@GO0042802@GO0044613
B,20,0.1,0.09,0.1,0.16,0.0,0.0,0.0,0.11,0.12,0.0,0,0.05,0.0,0,0.18,0.0,0,1,?,?,?,5,5,?,0,GO0000184@GO0000741@GO0000932@GO0000956@GO0003682@GO0003723@GO0004534@GO0005634@GO0005737@GO0005829@GO0005874@GO0006364@GO0007089@GO0010494@GO0016242@GO0032968@GO0043144@GO0048471@GO0060261@GO0061157@GO0070651@GO0090512
B,21,0.19,0.36,1.31,0.36,0.0,0.27,-0.04,0.56,0.29,0.9,0,0.13,0.0,0,0.14,0.29,0,?,?,?,?,?,5,?,0,GO0004129@GO0005739@GO0005751@GO0006123@GO0009060@GO0030234@GO0097250
B,21,0.1,0.1,0.1,0.05,0.0,0.0,-0.17,0.07,0.02,0.0,0,0.02,0.0,0,0.01,17.0,0,1,1,1,?,5,5,?,0,GO0005737@GO0007124@GO0030435@GO0031929@GO0051321@GO0075297
B,20,0.17,0.17,0.23,0.23,0.0,0.05,0.0,0.2,0.13,0.4,0,0.05,0.0,0,0.17,0.0,0,?,?,?,?,?,5,2,0,GO0005198@GO0005829@GO0006886@GO0006895@GO0006897@GO0030125@GO0030130@GO0030132@GO0032051@GO0048268@GO0071439
B,20,0.1,0.08,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.04,0.0,0,0.18,0.0,0,1,?,1,1,5,5,5,0,GO0000790@GO0006261@GO0006281@GO0006334@GO0006368@GO0008023@GO0031298@GO0032968@GO0034724@GO0035101@GO0045899@GO0060261
B,21,0.09,0.09,0.11,0.16,0.0,0.0,-0.02,0.11,0.04,0.0,0,0.08,0.0,0,0.16,0.13,0,?,?,?,?,5,5,?,0,GO0000307@GO0016239@GO0016538
B,20,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.07,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0005049@GO0005635@GO0005829@GO0006606@GO0006611@GO0007049@GO0008536@GO0032991@GO0046827@GO0051301
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.17,0.0,0,1,1,1,?,5,5,4,0,GO0000122@GO0001015@GO0001076@GO0003677@GO0003723@GO0005634@GO0006353@GO0006357@GO0006368@GO0016570@GO0016593@GO0031124@GO0031126@GO0031938@GO0032968@GO0034402@GO0035327@GO0051569@GO0070911@GO0090262@GO1990269@GO2001160@GO2001163@GO2001165@GO2001166@GO2001173@GO2001209
B,20,0.15,0.15,0.11,0.24,0.0,0.0,-0.06,0.16,0.15,0.0,0,0.1,0.0,0,0.16,0.38,0,?,?,?,?,5,5,?,0,GO0004306@GO0005634@GO0005737@GO0006646
B,20,0.52,0.47,0.68,0.44,0.0,0.0,0.0,0.53,0.11,0.0,0,0.07,0.0,0,0.19,0.0,0,?,?,?,?,5,5,5,0,GO0000221@GO0000329@GO0007035@GO0015991@GO0046961
B,21,0.1,0.1,0.09,0.1,0.0,0.03,0.0,0.07,0.09,0.3,0,0.02,0.0,0,0.18,0.0,0,1,1,?,1,2,5,5,0,GO0005524@GO0005634@GO0005741@GO0005778@GO0006626@GO0016021@GO0016887
B,20,0.1,0.1,0.1,0.37,0.0,0.0,0.41,0.15,0.06,0.0,0,0.02,0.0,0,0.38,1.08,1,1,1,1,?,5,5,?,0,GO0001300@GO0004801@GO0005737@GO0005975@GO0006098@GO0034599
B,20,0.43,0.49,0.65,0.57,0.0,0.12,0.22,0.54,0.19,0.6,0,0.16,0.0,0,0.17,1.29,1,?,?,?,?,?,5,?,0,GO0000101@GO0000102@GO0005886@GO0005887@GO0015297@GO0015821@GO0042883@GO1903692
B,20,0.65,0.57,0.67,0.7,0.0,0.01,-0.02,0.65,0.12,0.1,0,0.09,0.0,0,0.09,0.22,0,?,?,?,?,?,5,?,0,GO0000182@GO0000398@GO0000775@GO0000991@GO0000993@GO0001181@GO0003700@GO0006325@GO0006342@GO0006351@GO0006355@GO0006370@GO0007059@GO0008270@GO0008298@GO0032044@GO0032968@GO0044877@GO0090262@GO2000232@GO2001208@GO2001209
B,21,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0000388@GO0046540@GO0071011
B,20,0.1,0.1,0.08,0.1,0.0,0.0,-0.04,0.08,0.08,0.0,0,0.02,0.0,0,0.13,0.31,0,1,1,?,?,5,5,?,0,GO0005737@GO0005844@GO0006457@GO0007017@GO0007021@GO0015631@GO0016272
B,20,0.1,0.1,0.1,0.09,0.0,0.0,-0.07,0.08,0.02,0.0,0,0.03,0.0,0,0.11,0.64,0,1,1,1,?,5,5,?,0,GO0003743@GO0005851@GO0006446@GO0030234@GO0032045
B,20,0.19,0.19,0.26,0.2,0.0,0.05,-0.04,0.21,0.1,0.5,0,0.15,0.0,0,0.13,0.31,0,?,?,?,?,?,5,?,0,GO0002161@GO0004832@GO0005524@GO0005737@GO0005739@GO0006438
B,21,0.2,0.16,0.19,0.35,0.0,0.0,0.02,0.23,0.05,0.0,0,0.04,0.0,0,0.09,0.22,0,?,?,?,?,5,5,2,0,GO0000176@GO0000177@GO0000467@GO0003723@GO0005730@GO0034427@GO0034475@GO0043628@GO0070478@GO0070481@GO0070651@GO0071028@GO0071035@GO0071038@GO0071042@GO0071051
B,21,0.1,0.08,0.14,0.09,0.0,0.0,-0.11,0.1,0.06,0.0,0,0.03,0.0,0,0.07,1.57,0,1,?,?,?,5,5,?,0,GO0005886@GO0008519@GO0015696@GO0016021@GO0019740
B,20,0.1,0.12,0.18,0.17,0.0,0.07,0.01,0.14,0.09,0.8,0,0.03,0.0,0,0.19,0.05,0,1,?,?,?,?,5,?,0,GO0000001@GO0001302@GO0005739@GO0005743@GO0006457@GO0007007@GO0045861@GO0070584
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.09,0.04,0.0,0,0.09,0.0,0,0.15,0.0,0,1,?,1,?,5,5,4,0,GO0005737@GO0016746@GO0017196
B,19,1.23,1.66,0.93,1.35,0.0,-0.09,0.12,1.29,0.36,0.3,0,0.23,0.0,0,0.24,0.5,0,?,?,?,?,?,?,?,0,GO0000027@GO0002181@GO0003723@GO0003735@GO0006412@GO0022625@GO1902626
B,20,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.04,0.0,0,0.05,0.0,0,0.18,0.0,0,?,1,1,1,5,5,5,0,GO0000455@GO0003723@GO0005737@GO0005739@GO0009982@GO0031119
B,20,0.9,1.29,0.98,0.96,0.0,0.1,-0.13,1.03,0.16,0.6,0,0.16,0.0,0,0.17,0.76,0,?,?,?,?,?,5,?,0,GO0004748@GO0005634@GO0005737@GO0005971@GO0006260@GO0009263@GO0046982@GO0051188
B,21,0.1,0.1,0.1,0.07,0.0,0.0,-0.14,0.07,0.02,0.0,0,0.02,0.0,0,0.12,1.17,0,1,1,1,?,5,5,?,0,GO0000151@GO0000209@GO0004842@GO0005737@GO0006513@GO0008270@GO0030433@GO0061630@GO0071596@GO0071629@GO0090089@GO1990116@GO1990303
B,20,0.24,0.29,0.46,0.46,0.0,0.0,0.22,0.36,0.05,0.0,0,0.1,0.0,0,0.19,1.16,1,?,?,?,?,5,5,?,0,GO0005291@GO0005886@GO0006828@GO0015817@GO0016021
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.08,0.05,0.0,0,0.04,0.0,0,0.18,0.0,0,?,1,1,1,5,5,5,0,GO0005886@GO0015931@GO0016021@GO0060237@GO0061091
B,20,0.1,0.1,0.08,0.07,0.0,0.0,0.0,0.08,0.15,0.0,0,0.09,0.0,0,0.12,0.0,0,1,1,?,?,4,5,4,0,GO0005759@GO0005829@GO0009055@GO0055114
B,21,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0000372@GO0003723@GO0005743@GO0005759@GO0006397@GO0031314@GO0045182@GO0070131
B,21,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.03,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0005886@GO0005887@GO0022857@GO0045117@GO1901474
B,20,0.09,0.1,0.1,0.13,0.0,0.0,-0.03,0.09,0.09,0.0,0,0.06,0.0,0,0.15,0.2,0,?,1,1,?,5,5,?,0,GO0004583@GO0005789@GO0006487@GO0006488@GO0016021@GO0106073
B,20,0.1,0.1,0.12,0.12,0.0,0.0,-0.08,0.1,0.06,0.0,0,0.08,0.0,0,0.16,0.5,0,1,1,?,?,5,5,?,0,GO0000131@GO0003677@GO0005634@GO0005935@GO0006351@GO0006355@GO0007346@GO0032995@GO0042546@GO0071555
B,20,0.17,0.14,0.2,0.22,0.0,0.05,0.09,0.18,0.07,0.7,0,0.17,0.0,0,0.21,0.43,0,?,?,?,?,?,5,?,0,GO0000001@GO0001302@GO0005739@GO0005743@GO0006457@GO0016021@GO0045861
B,21,0.1,0.1,0.1,0.08,0.0,0.0,0.0,0.08,0.11,0.0,0,0.04,0.0,0,0.18,0.0,0,?,1,1,?,5,5,5,0,GO0005545@GO0005886@GO0005935@GO0006897@GO0030136@GO0030276@GO0030479@GO0048268
B,20,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.05,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0000126@GO0000994@GO0001112@GO0001156@GO0003677@GO0005654@GO0017025@GO0046872@GO0070893@GO0070898@GO0090074
B,20,7.04,5.36,5.52,18.5,0.0,0.05,0.3,9.1,0.32,0.2,0,0.15,0.0,0,0.2,1.5,1,?,?,?,?,?,?,?,0,GO0000015@GO0000287@GO0000324@GO0004634@GO0005739@GO0006094@GO0006096@GO0032889
B,20,0.23,0.21,0.31,0.27,0.0,0.1,0.06,0.26,0.16,0.6,0,0.04,0.0,0,0.21,0.29,0,?,?,?,?,?,5,?,0,GO0005743@GO0006744@GO0008681@GO0016709@GO0016712@GO0071949
B,20,0.1,0.1,0.13,0.53,0.0,0.04,0.75,0.21,0.09,0.4,0,0.05,0.0,0,0.17,4.41,1,1,1,?,?,?,5,2,0,GO0004616@GO0005829@GO0009051@GO0019521
