@RELATION 'pheno0.names'

@ATTRIBUTE 2-deoxyglucose                          {w,n,s,r}
@ATTRIBUTE 6-azauracil                             {w,n,s,r}
@ATTRIBUTE 8-hydroxyquinoline                      {w,n,s,r}
@ATTRIBUTE BCIP                                    {w,n,s,r}
@ATTRIBUTE CsCl                                    {w,n,s,r}
@ATTRIBUTE DL-p-fluorophenyl-alanine               {w,n,s,r}
@ATTRIBUTE EGTA                                    {w,n,s,r}
@ATTRIBUTE FK506                                   {w,n,s,r}
@ATTRIBUTE LiCl                                    {w,n,s,r}
@ATTRIBUTE MMS                                     {w,n,s,r}
@ATTRIBUTE NaF                                     {w,n,s,r}
@ATTRIBUTE RbCl                                    {w,n,s,r}
@ATTRIBUTE SD                                      {w,n,s,r}
@ATTRIBUTE SDS                                     {w,n,s,r}
@ATTRIBUTE YPD                                     {w,n,s,r}
@ATTRIBUTE YPG                                     {w,n,s,r}
@ATTRIBUTE YPGlyc                                  {w,n,s,r}
@ATTRIBUTE allylglycine                            {w,n,s,r}
@ATTRIBUTE aminotriazole                           {w,n,s,r}
@ATTRIBUTE benomyl                                 {w,n,s,r}
@ATTRIBUTE beta-2-thienyl-DL-alanine               {w,n,s,r}
@ATTRIBUTE caffeine                                {w,n,s,r}
@ATTRIBUTE calcium_chloride                        {w,n,s,r}
@ATTRIBUTE calcofluor_white                        {w,n,s,r}
@ATTRIBUTE camptothecin                            {w,n,s,r}
@ATTRIBUTE canavanine                              {w,n,s,r}
@ATTRIBUTE cobalt_chloride                         {w,n,s,r}
@ATTRIBUTE cycloheximide                           {w,n,s,r}
@ATTRIBUTE cyclosporin-a                           {w,n,s,r}
@ATTRIBUTE d-histidine                             {w,n,s,r}
@ATTRIBUTE daunomycin                              {w,n,s,r}
@ATTRIBUTE diamide                                 {w,n,s,r}
@ATTRIBUTE diazaborine                             {w,n,s,r}
@ATTRIBUTE ethanol                                 {w,n,s,r}
@ATTRIBUTE ethanol+glucose                         {w,n,s,r}
@ATTRIBUTE fenpropimorph                           {w,n,s,r}
@ATTRIBUTE fluorocytosine                          {w,n,s,r}
@ATTRIBUTE formaldehyde                            {w,n,s,r}
@ATTRIBUTE formamide                               {w,n,s,r}
@ATTRIBUTE h2o2                                    {w,n,s,r}
@ATTRIBUTE hydroxyurea                             {w,n,s,r}
@ATTRIBUTE hygromycin_b                            {w,n,s,r}
@ATTRIBUTE lovostatin                              {w,n,s,r}
@ATTRIBUTE manganese_chloride                      {w,n,s,r}
@ATTRIBUTE menadione                               {w,n,s,r}
@ATTRIBUTE methylamine                             {w,n,s,r}
@ATTRIBUTE methylene_blue                          {w,n,s,r}
@ATTRIBUTE mevinolin                               {w,n,s,r}
@ATTRIBUTE microcystin                             {w,n,s,r}
@ATTRIBUTE neomycin                                {w,n,s,r}
@ATTRIBUTE nocodazole                              {w,n,s,r}
@ATTRIBUTE nystatin                                {w,n,s,r}
@ATTRIBUTE oligomycin                              {w,n,s,r}
@ATTRIBUTE papulacandin_b                          {w,n,s,r}
@ATTRIBUTE paraquat                                {w,n,s,r}
@ATTRIBUTE paromomycin                             {w,n,s,r}
@ATTRIBUTE potassium_chloride                      {w,n,s,r}
@ATTRIBUTE rapamycin                               {w,n,s,r}
@ATTRIBUTE sodium_chloride                         {w,n,s,r}
@ATTRIBUTE sorbitol                                {w,n,s,r}
@ATTRIBUTE staurosporine                           {w,n,s,r}
@ATTRIBUTE tetraethylammoniumchloride              {w,n,s,r}
@ATTRIBUTE thiabendazole                           {w,n,s,r}
@ATTRIBUTE trifluoperazine                         {w,n,s,r}
@ATTRIBUTE tunicamycin                             {w,n,s,r}
@ATTRIBUTE vanadate                                {w,n,s,r}
@ATTRIBUTE verrucarin                              {w,n,s,r}
@ATTRIBUTE zinc_chloride                           {w,n,s,r}
@ATTRIBUTE zymolyase                               {w,n,s,r}
@ATTRIBUTE class string

@DATA
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000790@GO0003677@GO0003682@GO0006355
n,n,n,w,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000049@GO0005634@GO0005737@GO0006378@GO0008097@GO0008143@GO0008312@GO0016973@GO0033204@GO0043488@GO0045945@GO0046872@GO1900152@GO1900364
n,n,n,n,n,n,n,n,n,n,n,n,s,n,w,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0004489@GO0005829@GO0006730@GO0009086@GO0035999
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0006644@GO0008654@GO0019915@GO0030176@GO0034389
n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000390@GO0005684@GO0005737
n,n,n,w,n,n,w,n,n,w,n,n,w,w,w,w,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000079@GO0000307@GO0005737@GO0005977@GO0016538@GO0019901@GO0045719
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005634@GO0005737@GO0016042@GO0044255@GO0047372
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004674@GO0004683@GO0005516@GO0005524@GO0005622@GO0006468@GO0018105@GO0018107@GO0034599@GO0035556@GO0040020
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000184@GO0000741@GO0000932@GO0000956@GO0003682@GO0003723@GO0004534@GO0005634@GO0005737@GO0005829@GO0005874@GO0006364@GO0007089@GO0010494@GO0016242@GO0032968@GO0043144@GO0048471@GO0060261@GO0061157@GO0070651@GO0090512
n,n,n,w,n,n,w,n,n,w,n,n,s,w,s,s,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000045@GO0000407@GO0000421@GO0000422@GO0004674@GO0005524@GO0005829@GO0006468@GO0006914@GO0015031@GO0032258@GO0034045@GO0034727@GO0044805@GO0046777@GO0061709@GO0061908@GO0097635@GO0120095@GO1990316
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000989@GO0005096@GO0005634@GO0006351@GO0006357@GO0006897@GO0007624@GO0010512@GO0030479@GO0045944@GO0046872@GO0070491
n,n,n,w,n,n,w,n,n,s,n,n,n,s,n,n,w,n,n,w,n,s,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0002181@GO0003729@GO0003735@GO0006407@GO0022627@GO0042255
n,n,n,n,n,n,n,n,n,n,n,n,r,n,r,r,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005737@GO0007124@GO0030435@GO0031929@GO0051321@GO0075297
n,n,n,s,n,n,s,n,n,w,n,n,n,w,n,n,w,n,n,s,n,s,n,s,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005198@GO0005829@GO0006886@GO0006895@GO0006897@GO0030125@GO0030130@GO0030132@GO0032051@GO0048268@GO0071439
n,n,n,n,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000790@GO0006261@GO0006281@GO0006334@GO0006368@GO0008023@GO0031298@GO0032968@GO0034724@GO0035101@GO0045899@GO0060261
n,n,n,w,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000131@GO0000145@GO0005886@GO0005934@GO0005935@GO0006887@GO0006893@GO0006904@GO0015031@GO0017137@GO0090522
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,s,n,n,w,n,w,n,w,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000436@GO0003677@GO0003700@GO0006366@GO0016602@GO0043457
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,s,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0003723@GO0005737@GO0006400@GO0008251@GO0043829@GO0046872
n,n,n,s,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004818@GO0005524@GO0005737@GO0005739@GO0006424@GO0010494@GO0017102
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000166@GO0000795@GO0003677@GO0007129@GO0007130@GO0007131@GO0033235
n,n,n,s,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,s,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004306@GO0005634@GO0005737@GO0006646
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0003867@GO0005829@GO0009450@GO0030170@GO0034386
n,n,n,s,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000221@GO0000329@GO0007035@GO0015991@GO0046961
n,n,n,w,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000172@GO0000294@GO0003723@GO0004526@GO0005634@GO0005655@GO0005697@GO0005829@GO0006364@GO0008033@GO0034965@GO0042134
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000122@GO0000978@GO0000981@GO0005634@GO0006351@GO0036095@GO0045835@GO0045944@GO0046872@GO0051038@GO0051301@GO0071931
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000101@GO0000102@GO0005886@GO0005887@GO0015297@GO0015821@GO0042883@GO1903692
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0003677@GO0005634@GO0046872
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0003676@GO0005634@GO0005730@GO0005737@GO0005844@GO0006310@GO0016567@GO0070478
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000287@GO0000949@GO0004737@GO0005737@GO0006067@GO0006090@GO0006559@GO0006569@GO0009083@GO0030976@GO0047433@GO0047434@GO0050177
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,GO0000280@GO0003723@GO0004674@GO0005524@GO0005634@GO0005737@GO0005816@GO0005935@GO0006468@GO0007035@GO0018105@GO0032465@GO0032880@GO0035556@GO1901916
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0006839@GO0031305@GO0090422@GO1990545
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005096@GO0005509@GO0005737@GO0006886@GO0012505@GO0017137@GO0031338@GO0090630
n,n,n,s,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005643@GO0006606@GO0006607@GO0006999@GO0017056@GO0031965@GO0036228@GO0042802@GO0044613@GO0051028
n,n,n,w,n,n,s,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000139@GO0000301@GO0006888@GO0006891@GO0015031@GO0016236@GO0017119@GO0019898@GO0030242@GO0032258
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005886@GO0008519@GO0015696@GO0016021@GO0019740
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005886@GO0015031@GO0016021@GO0032126@GO0070941@GO0072659
n,n,n,s,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,s,n,s,n,w,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004298@GO0005634@GO0010499@GO0019773@GO0034515@GO0042175@GO0043161@GO0080129
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000296@GO0000297@GO0000329@GO0005886@GO0015297@GO0016021
n,n,n,s,n,n,s,n,n,w,n,n,n,s,n,n,s,n,n,s,n,w,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,GO0000028@GO0003723@GO0005634@GO0005635@GO0005730@GO0006364@GO0008139@GO0043047
n,n,n,w,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000139@GO0004609@GO0005768@GO0006646@GO0006656@GO0010008
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0004506@GO0005783@GO0005789@GO0005811@GO0006696@GO0008144@GO0016021@GO0031090@GO0050660
n,n,n,s,n,n,w,n,n,w,n,n,n,s,n,n,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000778@GO0000817@GO0007059@GO0008608@GO0051301@GO0051321
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0004748@GO0005634@GO0005737@GO0005971@GO0006260@GO0009263@GO0046982@GO0051188
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000151@GO0000209@GO0004842@GO0005737@GO0006513@GO0008270@GO0030433@GO0061630@GO0071596@GO0071629@GO0090089@GO1990116@GO1990303
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005291@GO0005886@GO0006828@GO0015817@GO0016021
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0004856@GO0005524@GO0005737@GO0005998@GO0042732
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,s,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000372@GO0003723@GO0005743@GO0005759@GO0006397@GO0031314@GO0045182@GO0070131
n,n,n,n,n,n,n,n,n,n,n,n,w,n,s,w,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005886@GO0005887@GO0022857@GO0045117@GO1901474
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000001@GO0001302@GO0005739@GO0005743@GO0006457@GO0016021@GO0045861
n,n,n,n,n,n,n,n,n,n,n,n,w,n,w,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0005634@GO0005829@GO0006508@GO0070682
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004861@GO0005634@GO0005794@GO0005886@GO0006629@GO0006796@GO0008081
n,n,n,w,n,n,w,n,n,w,n,n,w,w,w,w,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005545@GO0005886@GO0005935@GO0006897@GO0030136@GO0030276@GO0030479@GO0048268
n,n,n,w,n,n,s,n,n,w,n,n,n,w,n,n,s,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000126@GO0000994@GO0001112@GO0001156@GO0003677@GO0005654@GO0017025@GO0046872@GO0070893@GO0070898@GO0090074
n,n,n,w,n,n,w,n,n,w,n,n,w,w,w,w,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005634@GO0005829@GO0005975@GO0009051@GO0017057
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000015@GO0000287@GO0000324@GO0004634@GO0005739@GO0006094@GO0006096@GO0032889
n,n,n,w,n,n,w,n,n,w,n,n,s,w,s,s,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004616@GO0005829@GO0009051@GO0019521
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005794@GO0006623@GO0006896@GO0030123@GO0030665
n,n,n,w,n,n,w,n,n,w,n,n,s,s,s,s,w,n,n,s,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0003934@GO0005525@GO0005737@GO0006729@GO0008270@GO0009396@GO0035998@GO0046654@GO0046656
n,n,n,n,n,n,n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,GO0000175@GO0000467@GO0002107@GO0003723@GO0005634@GO0008408@GO0034415@GO0034476
n,n,n,s,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,w,n,n,n,n,n,s,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0005524@GO0005886@GO0008559@GO0015711@GO0016021@GO0042908
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,s,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004338@GO0005576@GO0005975@GO0008061@GO0009277@GO0031505@GO0042124@GO0042973
n,n,n,s,n,n,s,n,n,w,n,n,n,s,n,n,s,n,n,s,n,s,n,s,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,s,s,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n,n,GO0000054@GO0003677@GO0005730@GO0005737@GO0005840@GO0005844@GO0006364@GO0006450@GO0006452@GO0006457@GO0036003@GO0043022@GO0051082@GO0051083@GO0060548@GO0071409
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,s,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0004076@GO0005739@GO0009102@GO0046872@GO0051537@GO0051539
n,n,n,w,n,n,w,n,n,w,n,n,n,w,n,n,w,n,n,w,n,w,n,w,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,n,w,w,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,n,w,n,n,n,n,n,n,n,n,n,n,GO0000023@GO0000978@GO0001077@GO0003700@GO0005634@GO0006355@GO0008270@GO0044262@GO0061414
