@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0                                 numeric
@ATTRIBUTE alpha_7                                 numeric
@ATTRIBUTE alpha_14                                numeric
@ATTRIBUTE alpha_21                                numeric
@ATTRIBUTE alpha_28                                numeric
@ATTRIBUTE alpha_35                                numeric
@ATTRIBUTE alpha_42                                numeric
@ATTRIBUTE alpha_49                                numeric
@ATTRIBUTE alpha_56                                numeric
@ATTRIBUTE alpha_63                                numeric
@ATTRIBUTE alpha_70                                numeric
@ATTRIBUTE alpha_77                                numeric
@ATTRIBUTE alpha_84                                numeric
@ATTRIBUTE alpha_91                                numeric
@ATTRIBUTE alpha_98                                numeric
@ATTRIBUTE alpha_105                               numeric
@ATTRIBUTE alpha_112                               numeric
@ATTRIBUTE alpha_119                               numeric
@ATTRIBUTE elu_0                                   numeric
@ATTRIBUTE elu_30                                  numeric
@ATTRIBUTE elu_60                                  numeric
@ATTRIBUTE elu_90                                  numeric
@ATTRIBUTE elu_120                                 numeric
@ATTRIBUTE elu_150                                 numeric
@ATTRIBUTE elu_180                                 numeric
@ATTRIBUTE elu_210                                 numeric
@ATTRIBUTE elu_240                                 numeric
@ATTRIBUTE elu_270                                 numeric
@ATTRIBUTE elu_300                                 numeric
@ATTRIBUTE elu_330                                 numeric
@ATTRIBUTE elu_360                                 numeric
@ATTRIBUTE elu_390                                 numeric
@ATTRIBUTE cdc15_10                                numeric
@ATTRIBUTE cdc15_30                                numeric
@ATTRIBUTE cdc15_50                                numeric
@ATTRIBUTE cdc15_70                                numeric
@ATTRIBUTE cdc15_90                                numeric
@ATTRIBUTE cdc15_110                               numeric
@ATTRIBUTE cdc15_130                               numeric
@ATTRIBUTE cdc15_150                               numeric
@ATTRIBUTE cdc15_170                               numeric
@ATTRIBUTE cdc15_190                               numeric
@ATTRIBUTE cdc15_210                               numeric
@ATTRIBUTE cdc15_230                               numeric
@ATTRIBUTE cdc15_250                               numeric
@ATTRIBUTE cdc15_270                               numeric
@ATTRIBUTE cdc15_290                               numeric
@ATTRIBUTE spo_0                                   numeric
@ATTRIBUTE spo_2                                   numeric
@ATTRIBUTE spo_5                                   numeric
@ATTRIBUTE spo_7                                   numeric
@ATTRIBUTE spo_9                                   numeric
@ATTRIBUTE spo_11                                  numeric
@ATTRIBUTE spo5_2                                  numeric
@ATTRIBUTE spo5_7                                  numeric
@ATTRIBUTE spo5_11                                 numeric
@ATTRIBUTE spo__early                              numeric
@ATTRIBUTE spo__mid                                numeric
@ATTRIBUTE heat_0                                  numeric
@ATTRIBUTE heat_10                                 numeric
@ATTRIBUTE heat_20                                 numeric
@ATTRIBUTE heat_40                                 numeric
@ATTRIBUTE heat_80                                 numeric
@ATTRIBUTE heat_160                                numeric
@ATTRIBUTE dtt_15                                  numeric
@ATTRIBUTE dtt_30                                  numeric
@ATTRIBUTE dtt_60                                  numeric
@ATTRIBUTE dtt_120                                 numeric
@ATTRIBUTE cold_0                                  numeric
@ATTRIBUTE cold_20                                 numeric
@ATTRIBUTE cold_40                                 numeric
@ATTRIBUTE cold_160                                numeric
@ATTRIBUTE diau_540                                numeric
@ATTRIBUTE diau_660                                numeric
@ATTRIBUTE diau_780                                numeric
@ATTRIBUTE diau_900                                numeric
@ATTRIBUTE diau_1020                               numeric
@ATTRIBUTE diau_1140                               numeric
@ATTRIBUTE diau_1260                               numeric
@ATTRIBUTE class string

@DATA
-0.07,-0.4,0.11,-0.3,0.15,0.11,0.2,-0.4,0.21,-0.03,0.15,-0.14,0.01,-0.15,-0.15,-0.32,0.11,-0.01,-0.79,-0.49,-0.36,-0.32,0.03,-0.25,-0.38,-0.3,-0.43,-0.2,-0.29,-0.25,-0.42,-0.49,?,0.29,-0.12,-0.22,-0.07,0.15,0.11,0.19,-0.12,-0.12,-0.1,0.24,-0.09,-0.54,0.08,-0.45,0.23,0.76,0.03,-0.14,-0.58,-0.4,-1.15,0.15,0.89,0.86,-0.43,-0.51,-0.1,0.32,-0.36,-0.07,-0.27,-0.67,-0.62,-0.62,-0.06,0.19,0.12,-0.27,-0.43,-0.17,0.24,-0.09,-0.3,0.58,0.2,GO0000372@GO0003723@GO0005739@GO0006397
-0.3,?,-0.15,1.36,-0.34,-0.18,-0.32,0.16,0.42,-0.27,0.42,-0.17,0.03,-0.3,0.12,0.34,-0.12,0.08,-0.3,-0.3,-0.18,-0.04,-0.22,-0.25,-0.12,0.1,-0.06,-0.06,-0.22,0.14,0.26,-0.03,0.07,0.3,0.36,-0.12,-0.09,0.14,0.15,-0.09,0.19,0.14,0.03,0.8,0.6,0.29,0.61,-0.1,0.56,0.7,0.32,0.29,0.41,-0.34,-0.03,-0.18,0.37,0.96,-0.29,-0.69,-0.64,-0.6,-0.89,-0.6,0.04,-0.03,-0.25,-0.43,-0.36,0.53,-0.58,-0.29,-0.1,0.41,0.37,-0.18,-0.04,0.24,0.07,GO0000124@GO0003682@GO0005669@GO0006325@GO0006355@GO0006366@GO0016573@GO0032947@GO0042802@GO0046695@GO0051123
-0.51,-0.67,-0.25,0.15,0.57,-0.25,-0.06,-0.4,-0.81,-0.67,-0.45,0.3,0.45,-0.15,-0.18,-0.38,-0.34,-0.51,-0.62,-0.54,-0.69,-0.47,-0.47,-0.76,-0.38,-0.49,0.12,-0.22,-0.47,0.03,-0.34,-0.42,-0.4,0.32,0.94,0.4,-0.51,-1.09,0.12,0.77,0.85,-0.22,-0.58,-0.27,-0.12,-0.2,-0.2,-0.49,0.4,-0.04,-0.06,-0.15,-0.27,-0.01,-0.27,-0.74,0.7,0.57,-0.38,0.01,0.04,0.69,0.08,-0.38,-0.4,-0.6,-0.2,-0.29,0.15,-0.15,-0.22,-0.32,-0.3,-0.34,-0.2,-0.06,-0.06,-1.03,-0.58,GO0000086@GO0000144@GO0004672@GO0004674@GO0005524@GO0005634@GO0005935@GO0006468@GO0018105@GO0035556@GO0044257@GO0044879@GO0046777@GO0051726@GO1902935
-0.74,-0.22,-0.42,-0.34,-0.3,-0.25,-0.54,-0.15,0.01,0.14,0.36,-0.34,-0.36,-0.25,-0.17,0.16,-0.07,-0.18,0.32,0.69,0.06,0.07,-0.17,0.24,0.14,0.58,0.03,0.37,-0.09,0.33,0.42,0.43,-0.18,0.01,-0.07,-0.18,-0.07,-0.4,-0.17,-0.06,1.74,0.03,-0.03,0.34,-0.69,-0.6,-0.47,0.07,0.32,0.24,0.61,0.66,0.61,-0.18,0.06,-0.06,1.1,1.3,-0.23,0.53,0.16,0.11,0.2,0.46,-0.03,-0.97,-0.15,-0.22,-0.23,-0.04,-0.15,0.73,-0.06,-0.14,0.28,-0.4,-0.47,-0.03,-0.29,GO0003729@GO0005737@GO0008361@GO0061157
-0.07,-0.01,0.06,0.16,0.04,0.52,0.42,0.39,0.01,-0.15,-0.42,-0.14,0.01,-0.25,0.1,-0.04,0.36,0.39,-0.06,-0.6,-0.43,-0.3,-0.1,-0.14,-0.54,-0.22,-0.3,-0.25,-0.1,-0.27,-0.56,-0.32,-0.15,-0.38,-0.06,-0.15,0.08,-0.23,-0.64,-0.62,0.28,?,-0.74,-0.62,-0.17,-0.12,-0.06,-0.74,-0.23,-0.1,0.63,0.79,0.45,-0.3,0.18,-0.1,1.29,0.9,-0.2,-0.3,0.16,-0.36,-0.27,0.63,-0.64,-0.04,-0.56,-0.97,0.2,0.45,0.3,0.06,-0.54,-0.27,0.2,0.19,-0.06,0.34,-0.09,GO0004843@GO0005741@GO0006511@GO0016579
-0.1,-0.23,0.16,-0.03,0.29,0.53,0.44,?,-0.15,-0.12,-0.43,-0.47,-0.27,-0.4,0.07,0.07,-0.06,-0.58,0.24,-0.06,-0.27,-0.17,0.08,-0.07,0.3,0.08,-0.17,-0.22,0.01,-0.15,-0.43,-0.3,0.07,0.34,-0.69,-0.14,-0.67,-0.74,-0.81,0.65,-0.67,-1.43,-0.22,0.14,-0.86,-0.18,-0.74,?,0.89,0.62,1.01,0.85,1.02,0.24,-0.03,0.01,0.72,0.32,0.08,-0.43,0.54,-0.34,0.01,0.74,-0.23,-0.69,-0.56,-0.18,0.74,0.54,1.21,0.9,0.04,0.32,?,0.1,0.33,0.72,0.18,GO0000026@GO0000031@GO0000032@GO0005794@GO0006487@GO0006493@GO0016020@GO0016021@GO0031505
-0.15,-0.3,0.29,-0.34,-0.15,-0.32,-0.14,0.07,0.1,-0.23,-0.18,-0.34,-0.29,-0.2,-0.06,-0.32,0.12,0.12,-0.06,-0.62,-0.54,-0.3,-0.43,-0.84,-0.64,-0.4,-0.2,-0.58,-0.58,-0.4,-0.6,-0.43,-0.42,-0.27,0.08,-0.1,-0.09,0.14,0.34,-0.09,-0.29,-0.04,0.11,-0.34,0.53,0.39,0.29,-0.38,-0.23,0.32,0.93,0.82,0.14,-0.79,0.5,-0.27,-0.29,0.34,0.06,0.21,0.08,0.26,0.06,-0.09,-0.06,-0.14,-0.22,0.1,0.08,0.37,0.03,-0.25,-0.07,0.06,?,0.03,-0.17,0.04,0.12,GO0000086@GO0000226@GO0004693@GO0005524@GO0005634@GO0005737@GO0006281@GO0006468@GO0007346@GO0010468@GO0016572@GO0019912@GO0030154@GO0051321@GO0051445@GO0060633@GO0072686
0.14,0.26,0.33,-0.34,-0.36,-0.15,0.15,0.11,-0.12,0.3,-0.1,0.04,-0.03,-0.29,0.04,0.38,-0.56,0.08,-1.84,-0.17,0.15,0.51,0.08,0.08,-0.1,0.45,0.5,0.5,-0.23,0.55,0.11,0.29,-0.71,0.58,-0.3,0.59,-0.84,-0.62,-0.49,0.95,0.7,?,-0.38,-0.23,-1.29,?,-0.86,0.12,?,1.13,1.65,1.16,0.82,1.3,0.36,-0.76,0.53,0.72,2.18,-0.22,-0.23,-0.03,-0.58,0.06,-0.62,-0.67,-0.56,-0.54,0.52,?,0.08,-0.03,-0.51,0.07,?,-0.22,-0.54,1.95,2.33,GO0071555
0.18,0.06,0.07,-0.17,0.06,-0.18,0.18,-0.23,-0.04,-0.1,-0.2,-0.23,0.11,-0.32,-0.06,-0.09,-0.03,-0.29,0.08,0.04,-0.22,-0.17,-0.36,-0.27,-0.51,-0.17,-0.03,-0.15,-0.47,-0.17,-0.27,0.06,-0.67,-0.97,-0.38,0.53,0.38,0.74,-0.45,0.31,0.19,0.57,0.36,-0.58,0.06,0.25,0.29,-0.38,1.18,0.69,0.39,-0.34,-0.2,0.37,-0.17,-0.58,1.33,-0.92,0.12,0.78,-0.01,0.72,0.43,-0.36,0.1,-0.51,-0.25,-0.51,-0.45,-0.29,0.07,-0.64,-0.29,-0.1,-0.07,-0.64,-0.56,-0.29,-0.38,GO0005886@GO0008519@GO0015696@GO0016021@GO0019740
0.01,-0.14,-0.25,-0.76,-0.81,-0.56,-0.64,-0.14,-0.56,-0.09,-0.03,?,-0.12,-0.17,-0.18,-0.1,-0.81,-0.49,-0.79,-0.67,-0.36,-0.4,-0.15,-0.43,-0.47,-0.01,-0.27,-0.4,-0.47,-0.12,-0.45,-0.14,-0.58,-0.42,-0.64,-0.1,0.32,0.31,0.11,0.15,0.71,0.41,0.33,0.48,0.38,0.61,0.53,-0.49,1.51,-0.15,-0.12,-0.42,-0.54,2.2,-0.4,-0.45,1.91,-0.54,-0.1,0.34,-0.51,0.11,0.07,0.69,-0.45,-0.54,-1,-0.43,-0.2,0.61,0.41,0.37,0.03,-0.17,0.25,0.03,-0.07,0.77,0.28,GO0000256@GO0004848@GO0006144@GO0016020@GO0050385
-0.2,-0.06,-0.07,-0.36,-0.17,-0.01,-0.2,-0.03,-0.03,-0.2,-0.42,0.14,-0.1,0.01,-0.3,0.14,-0.15,-0.32,-0.38,-0.74,-0.25,-0.62,-0.42,-0.62,-0.2,-0.27,-0.56,-0.71,-0.38,-0.42,-0.74,-0.17,-0.71,-0.34,-0.17,0.28,0.38,0.52,0.12,1.08,1.07,1.52,0.53,0.16,1.03,1.49,1.49,-0.22,2.94,1.36,1.65,1.12,1.82,1.91,0.4,0.2,3.59,0.96,0.36,-0.25,0.19,0.29,-0.15,0.36,-0.64,-0.64,-0.67,-0.97,0.04,0.38,0.49,0.1,-0.07,-0.1,0.46,-0.17,-0.6,0.19,-0.22,GO0000122@GO0000977@GO0000981@GO0001085@GO0001228@GO0003682@GO0005634@GO0005667@GO0008270@GO0030154@GO0042128@GO0043565@GO0090295
-0.07,-0.18,0.11,-0.29,0.08,-0.23,-0.01,-0.06,-0.25,-0.45,-0.36,-0.34,-0.03,-0.3,-0.47,-0.43,-0.17,-0.3,-0.07,-0.43,-0.34,-0.22,-0.36,-0.51,-0.45,-0.27,-0.36,-0.6,-0.43,-0.49,-0.67,-0.42,0.2,0.18,0.52,0.01,-0.01,0.04,-0.01,-0.29,-0.06,-0.15,-0.29,-0.17,-0.22,-0.25,-0.22,-0.54,1.69,-0.01,1.47,1.14,0.87,1.83,0.99,0.41,3.11,0.53,-0.04,0.1,0.03,0.81,0.48,0.38,-0.62,-0.62,-0.43,-0.6,-0.09,0.86,0.51,0.29,-0.12,-0.17,0.18,-0.3,-0.4,0.55,0.39,GO0000256@GO0005274@GO0005886@GO0006144@GO0015720@GO0016020@GO0016021
0.01,0.39,0.1,0.03,-0.2,0.03,-0.22,0.08,0.24,-0.2,0.37,0.19,0.26,0.46,0.4,0.62,?,0.53,-0.51,-0.27,-0.1,0.07,-0.51,-0.3,-0.25,-0.1,-0.07,-0.07,0.07,0.08,0.55,0.26,-0.18,0.14,-0.27,-0.6,-0.79,-0.2,-0.14,0.26,-0.06,-1.15,-0.86,0.19,-0.94,-0.17,-0.86,-0.17,1.14,0.42,0.69,1.24,1.1,0.93,0.1,0.28,0.91,-0.67,0.1,0.07,0.3,0.95,1.13,0.43,-0.56,-0.71,-0.71,-0.62,0.04,0.34,0.37,-0.22,0.14,0.28,0.28,-0.03,-0.22,0.24,0.53,GO0003942@GO0003991@GO0004042@GO0005524@GO0005759@GO0006355@GO0006526@GO0006592@GO0034618@GO0046983@GO0051287
0.14,0.11,0.14,0.19,0.01,-0.18,0.18,0.14,-0.15,0.29,-0.01,0.41,0.24,-0.15,0.14,0.74,0.29,0.1,1.12,0.34,?,0.59,0.03,-0.17,0.11,-0.17,-0.01,0.01,-0.67,-0.03,?,0.01,-0.04,-0.3,0.08,0.08,-0.15,0.08,0.03,-0.03,0.08,?,0.04,0.69,0.06,-0.18,-0.94,0.3,3,1.44,0.31,0.34,1.36,2.19,-0.89,0.06,1.71,-2.94,0.21,0.66,-0.01,-0.2,-0.12,-0.27,-0.34,-0.23,-0.06,-0.2,0.1,-0.04,-0.47,-0.45,0.32,0.32,-0.22,-0.29,-0.04,-0.71,-0.3,GO0004354@GO0005634@GO0005829@GO0006537@GO0019676
0.14,0.28,0.41,0.34,0.23,0.16,0.25,-0.18,-0.23,-0.25,-0.01,0.01,0.37,-0.01,0.26,0.03,0.07,0.1,-0.12,-0.18,-0.27,0.56,0.59,0.68,0.19,0.42,0.1,?,0.15,0.11,-0.49,0.06,0.25,0.46,0.14,?,-0.06,-0.1,0.12,?,-0.18,-0.14,-0.12,0.18,0.33,-0.14,-0.51,-0.2,3.62,?,0.62,-0.54,-0.2,1.95,-1.4,-2.4,2.02,-2.47,-0.01,0.01,-0.54,-1.69,-1.03,-1.09,-0.1,0.65,0.15,0.04,0.21,-0.43,-0.09,-1.47,0.24,0.14,0.07,-0.49,0.41,-0.79,-0.79,GO0004354@GO0005634@GO0005829@GO0006537@GO0019676
0.34,1.46,1.23,1.23,1.06,0.5,0.64,0.54,0.49,0.52,0.01,0.2,?,0.03,-0.09,-0.18,0.08,-0.04,-0.01,-0.22,-0.81,-0.51,-0.56,-0.34,0.11,0.72,0.91,0.52,0.38,0.69,0.6,-0.03,-1.79,-1.94,-0.25,1.17,1.41,0.45,0.43,0.62,-0.17,1.06,0.04,-1.74,0.81,0.98,0.88,-0.07,1.82,1.7,1.55,0.75,1.2,0.3,-0.49,-1.03,1.17,-4.06,0.54,1.87,1.84,0.39,-0.22,0.01,-0.09,0.58,0.55,0.38,-0.09,0.84,1.87,1.01,-0.49,-0.14,0.1,-0.38,-0.84,1.06,2.28,GO0004108@GO0005737@GO0005777@GO0006097@GO0006099@GO0006101@GO0006537
-0.17,0.36,0.43,0.6,-0.12,0.45,0.11,0.26,0.25,0.12,0.32,-0.18,-0.07,-0.06,0.07,0.32,0.24,0.41,-1.4,-0.34,0.32,-0.92,-0.1,0.39,0.7,0.73,0.42,0.54,0.5,0.41,0.06,0.14,-0.54,-0.76,-0.71,0.03,-0.94,-0.69,-0.09,0.28,-0.2,-1.12,-1.56,0.48,0.69,0.36,0.58,0.16,0.48,0.18,0.56,0.43,0.18,0.1,-0.03,-0.6,0.12,0.16,-0.06,-0.38,-0.29,-0.4,-0.36,-0.32,0.37,-0.45,-0.12,-0.42,-0.47,-0.17,-0.84,-0.22,0.06,0.25,0.4,0.07,-0.29,0.07,-0.84,GO0000002@GO0001408@GO0001409@GO0005743@GO0006839@GO0006879@GO0016021@GO0055085
-0.07,-0.17,?,0.03,0.07,-0.01,0.34,0.08,-0.06,-0.43,-0.17,-0.27,0.07,-0.34,0.08,-0.36,0.34,-0.23,0.2,-0.17,-0.22,-0.6,-0.34,-0.6,-0.14,0.24,-0.07,-0.43,0.04,0.37,0.16,0.2,-0.2,-0.3,-0.22,0.03,0.28,0.16,0.23,0.2,?,-0.01,0.11,-1.22,-0.23,-0.15,-0.03,-0.54,0.52,0.06,0.24,-0.23,-0.56,0.4,-0.06,-0.71,0.37,-0.01,0.16,0.03,0.34,-0.06,-0.1,0.12,0.63,0.03,-0.12,?,-0.23,-0.1,0.1,-0.22,0.19,0.19,0.36,0.11,0.3,0.55,-0.2,GO0005783@GO0005787@GO0006465@GO0008233@GO0008236@GO0016021@GO0045047
-0.38,?,-0.04,0.11,-0.3,-0.14,-0.49,-0.17,0.16,-0.22,0.53,?,-0.06,0.04,0.04,0.39,-0.18,0.21,-0.43,0.03,?,0.41,-0.22,0.03,0.08,0.5,0.21,0.21,-0.17,0.25,0.42,0.24,-0.15,-0.32,-0.14,-0.03,-0.14,-0.09,-0.07,0.45,-0.01,-0.79,-0.36,0.33,-0.27,-0.32,-0.45,0.07,0.9,0.28,-0.17,-0.69,-0.38,0.95,-0.47,-0.51,0.43,-0.54,0.11,0.07,-0.47,-0.3,-0.06,-0.51,0.06,-0.3,-0.18,-0.42,-0.4,0.25,-1.06,-0.49,0.06,0.23,0.12,-0.06,0.29,0.23,0.64,GO0000054@GO0002181@GO0005516@GO0005524@GO0005737@GO0005844@GO0006364@GO0006415@GO0006450@GO0006452@GO0016887@GO0042149@GO0051082@GO0051083
-0.49,-0.17,-0.14,0.03,-0.06,0.01,-0.09,-0.04,0.32,0.01,0.31,-0.06,-0.01,-0.22,-0.04,0.2,-0.3,?,-0.2,-0.07,0.12,0.1,-0.32,0.03,0.07,0.63,0.68,0.59,0.12,0.59,0.69,0.59,-0.12,-0.29,-0.04,0.25,0.15,0.14,0.15,0.12,0.19,0.14,0.26,1.38,0.4,0.28,0.51,0.08,0.16,0.11,-0.12,-0.54,-0.49,0.18,-0.12,-1.03,-0.07,-0.22,-0.14,0.36,0.26,-0.03,-0.03,-1,-0.18,-0.4,0.43,0.38,-0.29,-0.27,-0.2,-0.49,0.03,0.18,0.44,0.39,0.53,0.71,0.8,GO0004148@GO0004375@GO0004591@GO0004738@GO0005960@GO0005967@GO0006090@GO0006103@GO0006546@GO0006550@GO0006552@GO0006564@GO0006574@GO0009055@GO0009353@GO0042645@GO0042743@GO0045454@GO0050660
-0.12,-0.71,0.16,-0.2,0.24,-0.45,0.16,0.2,?,0.3,0.06,?,-0.03,-0.64,-0.06,0.24,-0.27,0.06,-0.6,-0.62,-0.51,-0.47,-0.45,-0.12,-0.07,0.69,0.59,0.57,-0.27,0.4,0.79,0.38,-0.49,-0.67,-0.43,-0.12,0.07,0.04,0.07,0.14,-0.06,0.12,0.3,-0.54,0.08,0.03,0.12,-0.14,0.19,0.24,-0.03,-0.76,-0.67,-0.01,-0.42,-1.22,-0.32,-0.06,0.24,0.21,-0.23,-0.15,-0.06,0.12,0.43,-0.76,0.26,-0.56,-0.23,-0.58,-0.2,-0.58,0.18,0.08,0.59,0.58,0.62,0.1,-0.03,GO0004739@GO0005739@GO0005967@GO0006086@GO0006096@GO0042645
-0.17,-0.09,0.01,0.08,-0.07,0.07,0.03,0.07,0.08,-0.43,-0.04,-0.38,-0.07,-0.32,-0.1,-0.36,-0.36,-0.51,0.2,0.08,0.14,-0.1,0.12,-0.03,0.14,0.08,-0.18,-0.22,-0.12,-0.1,-0.17,-0.01,0.33,-0.01,0.01,0.18,-0.07,0.07,0.16,0.25,-0.1,-0.2,0.23,-0.64,-0.03,-0.12,0.04,-0.2,0.7,0.28,0.04,-0.32,-0.43,0.3,-0.62,-1.09,0.34,-0.01,0.01,-0.09,0.34,-0.34,0.19,0.4,0.07,-0.3,0.03,-0.04,0.1,0.29,-1.4,-0.79,-0.1,0.23,0.53,-0.06,0.07,0.59,0.28,GO0000837@GO0000839@GO0030176@GO0030433@GO0043130@GO0097027@GO0097051
0.07,-0.42,-0.09,-0.25,?,-0.34,0.34,-0.07,0.2,-0.04,-0.03,-0.29,-0.22,-0.62,-0.12,-0.18,0.1,-0.15,0.48,0.28,-0.29,-0.15,-0.18,-0.06,-0.15,0.21,0.54,-0.06,0.19,0.39,0.33,0.16,0.24,-0.01,0.11,0.11,0.25,0.19,-0.03,-0.12,-0.15,-0.03,0.14,-0.43,0.32,-0.07,0.16,0.24,0.39,-0.23,?,-0.4,-0.51,0.94,-0.42,-0.07,0.18,-0.07,0.06,0.06,0.01,0.51,0.51,0.67,0.3,-0.76,0.03,0.14,-0.1,-0.29,0.04,-0.12,-0.47,-0.12,0.43,-0.2,-0.14,0.43,0.34,GO0003677@GO0005634@GO0005737@GO0005935@GO0006334@GO0006337@GO0006606@GO0007117@GO0008047@GO0030332@GO0031116@GO0032968@GO0042393@GO0042802@GO0043085@GO2000617
-0.54,-0.27,-0.23,-0.36,-0.17,0.08,-0.4,-0.34,?,0.16,-0.07,0.01,-0.09,-0.12,-0.25,-0.01,?,-0.14,0.23,0.06,0.04,0.06,-0.09,-0.09,0.2,0.08,0.12,0.11,0.04,-0.54,-0.38,-0.04,-0.81,0.31,-0.32,-0.01,-0.22,0.23,0.56,0.7,1.07,-0.03,0.29,0.87,0.14,-0.01,0.48,0.12,0.01,-0.22,-0.47,-0.56,-0.54,0.21,-0.36,0.8,0.25,0.89,-0.22,-0.18,-0.06,-0.1,-0.22,0.23,0.01,-0.42,-0.1,-0.29,-0.42,0.32,-0.2,-0.42,-0.23,-0.27,0.26,-0.32,-0.43,0.62,-0.17,GO0005484@GO0005783@GO0005789@GO0006890@GO0015031@GO0016021@GO0031201@GO0048279
0.1,0.4,0.03,-0.06,?,0.12,0.29,0.11,0.3,-0.38,0.06,-0.07,-0.23,-0.45,?,-0.06,0.04,-0.18,-0.56,-0.18,-0.2,-0.23,0.14,-0.42,-0.17,-0.01,-0.17,-0.25,-0.03,-0.12,-0.42,-0.56,-0.71,-0.27,0.3,0.3,-0.14,-0.18,-0.01,0.33,0.32,-0.03,-0.36,0.39,0.41,0.4,0.74,-0.18,0.18,-0.09,-0.03,-0.25,-0.43,0.25,0.03,0.12,0.43,0.96,-0.09,0.04,0.11,-0.3,-0.4,0.28,-0.36,-0.06,0.04,0.11,-0.42,0.26,0.18,0.6,-0.09,-0.45,-0.06,-0.03,-0.4,0.46,-0.43,GO0004604@GO0005737@GO0005829@GO0006750@GO0009086@GO0019344@GO0019379@GO0070814@GO0098624
-0.29,-0.54,-0.14,-0.23,0.03,-0.34,0.15,-0.22,0.24,-0.42,-0.2,-0.36,-0.17,-0.34,0.11,-0.12,-0.01,0.4,0.11,-0.23,-0.47,0.11,-0.32,-0.2,0.12,-0.06,0.21,0.15,-0.4,-0.09,-0.09,-0.09,-0.18,-0.22,-0.04,-0.03,0.12,0.03,-0.49,-0.23,-0.12,-0.03,?,0.29,0.07,-0.09,0.2,-0.2,0.55,0.01,-0.23,-0.56,-0.32,0.44,-0.14,-0.58,0.31,0.84,-0.12,-0.36,0.52,0.15,-0.47,-0.27,0.03,-0.15,0.21,-0.34,-0.18,0.69,0.82,0.06,0.11,0.07,0.04,-0.29,-0.3,-0.1,-0.84,GO0000932@GO0003723@GO0003729@GO0010494@GO0031370@GO0033962@GO0034063@GO0045947
-0.18,-0.34,0.48,0.29,0.46,0.06,0.11,0.19,-0.32,-0.25,-0.34,0.14,0.14,0.24,0.03,-0.03,-0.07,-0.03,-0.54,-0.64,-0.58,-0.97,-0.32,?,-0.42,-0.27,0.08,0.03,-0.38,0.11,-0.15,-0.36,-0.84,-0.14,0.12,0.19,0.29,-0.09,0.21,0.44,0.33,0.18,-0.1,-0.62,0.12,-0.04,-0.09,-0.09,0.21,-0.01,0.06,-0.34,-0.4,0.53,-0.34,-0.29,0.71,0.89,-0.18,0.28,0.01,-0.51,-0.29,-0.76,-0.1,-0.43,-0.09,-0.29,0.15,-0.18,-0.47,-0.27,0.25,0.16,0.28,0.29,0.26,0.04,0.1,GO0000038@GO0005324@GO0005777@GO0005783@GO0005811@GO0016021@GO0031235@GO0031957@GO0044539
-0.47,-0.22,-0.17,0.18,-0.27,0.14,-0.34,-0.09,-0.09,0.06,0.07,-0.38,-0.07,-0.4,-0.36,-0.25,-0.2,-0.18,0.11,0.12,0.49,-0.86,-0.32,-0.15,0.07,0.08,0.01,-0.06,0.12,0.11,0.04,0.15,-0.34,-0.42,-0.4,0.45,0.03,0.08,0.03,0.48,0.8,0.16,0.14,0.55,-0.07,0.32,0.04,0.01,0.7,-0.36,-0.25,-0.1,-0.04,0.69,-0.34,-0.27,1.29,?,-0.2,-0.15,0.3,-0.27,-0.32,-0.06,0.38,-0.23,0.19,0.12,-0.27,0.46,-0.17,-0.01,-0.09,-0.14,0.75,0.2,-0.03,0.61,-0.29,GO0000329@GO0000810@GO0006644@GO0008195@GO0016021
-0.23,-0.34,-0.22,-0.29,0.03,-0.29,-0.03,-0.54,-0.23,0.01,-0.22,-0.32,-0.32,-0.58,-0.29,-0.25,-0.29,-0.36,-0.09,-0.43,-0.3,-0.62,-0.58,-0.22,-0.29,0.32,0.18,0.28,-0.01,0.31,0.19,0.14,-0.18,-0.12,0.14,0.32,0.26,-0.04,-0.14,0.07,0.28,0.32,0.14,-0.06,0.07,0.06,-0.07,-0.17,0.12,-0.14,0.04,-0.38,-0.4,0.04,-0.43,-0.67,0.78,0.86,-0.67,0.25,0.14,-0.3,-0.07,-0.36,-0.18,-0.56,0.01,-0.06,-0.3,0.03,0.18,-0.06,-0.25,0.01,0.32,-0.14,-0.45,0.66,0.04,GO0005783@GO0006281@GO0006506@GO0006888@GO0007049@GO0016021@GO0016787@GO0046872@GO0051301
-0.32,-0.49,0.21,0.19,0.5,0.04,-0.27,-0.18,-0.04,-0.17,0.77,0.14,0.1,-0.04,0.12,0.28,-0.23,-0.34,-0.56,-0.4,-0.34,0.21,0.1,0.01,0.3,0.39,-0.01,-0.06,-0.23,-0.03,-0.32,?,-1.36,-0.14,0.32,0.67,-0.3,-0.32,0.12,0.8,2.3,-1.09,1.16,0.32,-0.97,0.14,-0.2,-0.04,0.48,0.32,-0.06,-0.32,-0.15,0.08,-0.29,-0.18,1.15,1.03,-0.14,-0.38,0.04,-0.3,-0.47,?,0.28,-0.1,0.34,?,0.04,0.28,0.36,0.52,0.33,0.29,0.04,-0.04,-0.07,-0.03,-0.74,GO0000790@GO0003677@GO0006261@GO0006281@GO0006351@GO0031298@GO0034724@GO0035101@GO0045899
