@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green                          numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_red                                  numeric
@ATTRIBUTE t5_red_bkg                              numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red                                  numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_red                  numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE ndt80_delete_mid_green_red              numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE blast_homology_within_genome            {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1573,939,568,0,3074,1103,2157,0,1629,1037,0,1811,1306,815,612,0,1506,4458,960,1582,896,0,1869,967,739,1548,0,2509,1435,444,0,3040,817,0,0.705,0.924,0.811,0.703,0.85,0.66,0.887,0.825,1.083,0.841,2.125,0.69,0.262,1.827,1.921,5.535,1.17,1.17,1.12,2.48,0.91,0.81,2.94,1.79,1.89,?,01/05/03@10/03/01@10/03/03@40/01
4367,2997,822,0,4643,1254,6326,0,4278,3236,0,3577,1424,2661,772,0,1893,8330,1231,7555,969,0,5142,3495,800,1128,0,1229,1031,438,0,2435,2729,0,0.856,0.919,0.949,0.896,0.934,0.949,0.946,1.135,0.55,1.155,1.06,1.232,1.506,1.446,0.969,0.608,1.32,0.6,1.19,1.13,1.25,1.58,1.47,0.91,1.03,yes,01/01/09/04@01/01/09/05@01/05@01/20@02/16
2596,1656,592,0,1471,1115,633,0,3246,1974,0,3716,1782,1902,1041,0,1420,2210,741,2579,1390,0,1868,829,554,1098,0,728,602,450,0,1009,539,0,0.916,0.852,0.908,0.953,0.965,0.939,0.705,1.379,1.036,1.399,2.325,2.826,1.836,3.909,1.201,0.777,1.28,1.24,1.48,2.24,2.77,1.55,3.19,0.68,1.13,yes,01/03/04@01/07/01@16/01
4606,3001,662,0,3071,1047,1536,0,3054,2097,0,3202,2010,1985,1164,0,1784,4391,996,3585,1411,0,1827,1083,605,1155,0,1851,1166,452,0,2845,1297,0,0.926,0.938,0.919,0.922,0.897,0.895,0.967,1.328,1.67,1.268,1.337,1.174,1.374,1.426,1.712,2.119,1.39,1.69,1.3,1.45,1.33,1.51,1.64,1.2,1.74,yes,01/07/01@32/01
2761,2041,640,0,3666,1180,4150,0,2804,2021,0,3084,1370,1843,716,0,1586,3131,1006,2209,1040,0,4633,1862,741,1556,0,5431,1755,444,0,6072,1459,0,0.859,0.909,0.913,0.924,0.937,0.93,0.945,0.944,0.622,1.068,1.392,1.731,2.208,2.635,3.369,5.168,1.13,0.68,1.16,1.52,1.87,2.3,2.83,0.64,3.65,yes,01/02@01/03/16/03@01/05/25@10/01@10/03/02@20/01/01/01@20/01/03@20/03/02/03/01
2860,1923,812,0,3360,1232,1636,0,2729,1174,0,2970,1469,1341,798,0,1558,2471,998,1756,906,0,4039,1812,893,1683,0,3344,2415,440,0,2614,1967,0,0.911,0.883,0.874,0.866,0.921,0.864,0.93,1.145,1.622,2.568,2.538,2.164,0.481,2.294,1.26,1.066,1.38,1.78,2.74,2.76,2.39,2.05,2.64,0.73,1.36,?,10/03/01/01/11@11/02/03/01@11/02/03/04
2265,1447,586,0,2947,1074,1882,0,2068,1248,0,2463,1400,1602,752,0,1385,2521,906,1972,1011,0,2079,1825,807,922,0,2183,1705,387,0,2849,2244,0,0.876,0.945,0.885,0.943,0.916,0.911,0.96,1.133,1.195,1.228,1.197,0.855,0.98,0.757,1.228,1.057,1.31,1.23,1.34,1.25,0.93,0.98,0.86,0.34,1.22,?,10/01/02@10/01/05/01@10/01/05/03@11/02/03@11/04/01@11/04/03/01/10@12/04@12/07@16/03/03@16/19/03@42/10
1783,1206,670,0,2699,1198,1296,0,1829,1110,0,1966,1368,1165,712,0,1494,1689,950,1414,851,0,2134,1099,731,1354,0,3274,1908,470,0,2007,1283,0,0.737,0.862,0.616,0.806,0.892,0.889,0.923,0.795,1.48,0.879,1.02,1.838,0.379,1.935,1.771,1.275,1.03,1.71,1.2,1.32,1.93,1.28,2.38,2.22,1.81,?,01/03/04/03@01/04@16/19/03
3988,2841,636,0,4630,1065,1690,1,2812,1426,0,3310,1666,2022,916,0,1486,3030,889,3928,1317,0,1494,960,586,1204,0,4318,3375,426,1,5632,1992,0,0.945,0.921,0.92,0.948,0.934,0.913,0.973,1.173,3.058,1.871,1.513,1.37,1.128,1.121,0.827,3.099,1.18,2.74,1.91,1.48,1.46,1.24,1.34,1.78,1.27,?,14/04@20/01/10@20/03@20/09/04
2049,1433,674,0,3575,1172,1981,0,1896,1157,0,2192,1380,1219,710,0,1620,1968,1065,1494,875,0,2485,2288,981,1263,0,3360,3200,470,0,2205,1665,0,0.769,0.91,0.904,0.879,0.91,0.899,0.927,0.826,1.478,1.23,1.408,1.811,0.268,0.838,0.917,0.972,1.1,1.6,1.29,1.59,1.96,0.98,0.91,1.21,0.99,?,01/05@14/07/02/02@42/01
2052,1177,538,0,3387,1174,1691,0,1938,1132,0,4566,1468,2405,794,1,1394,1690,910,1949,956,0,2068,1385,847,1329,0,2158,1389,359,0,2672,1576,0,0.911,0.967,0.948,0.974,0.929,0.937,0.949,1.212,1.662,1.397,1.997,1.588,1.39,1.383,1.466,1.492,1.37,1.71,1.49,1.92,1.7,1.43,1.45,2.06,1.58,?,01/04@14/07/03@18/02/01/01/05@30/01/05/01/03@30/05@32/01@34/11/03/13@42/01@42/04/03
4365,3459,659,0,7161,1308,2839,0,3947,1348,0,5186,1485,1575,807,0,1381,1683,844,3340,930,0,3477,1131,821,1385,0,5911,1682,364,0,8059,1825,0,0.932,0.942,0.897,0.902,0.913,0.792,0.938,1.127,2.478,3.52,4.709,5.557,5.666,5.632,4.044,4.894,1.12,2.53,3.81,4.81,5.23,5.62,6.89,1.31,4.07,?,01/07/01
2866,1977,602,0,3029,1218,2384,0,2659,1797,0,3421,1403,1845,706,0,1398,1764,898,2460,1040,0,3139,1856,858,1371,0,3418,2705,406,0,5457,2960,0,0.905,0.91,0.952,0.953,0.943,0.916,0.961,1.147,0.877,1.176,1.666,2.474,2.266,1.601,1.212,1.712,1.23,0.93,1.29,1.77,2.37,2.22,1.86,1.31,1.26,?,14/10@16/01@16/07@20/09/14@34/05@40/01@42/04/03
4622,3323,670,0,7184,1228,4886,0,3974,2831,0,4490,1438,3098,764,0,1772,5124,1283,2808,1120,0,5725,4144,934,1864,0,7199,5070,458,0,5576,4007,0,0.925,0.905,0.929,0.929,0.937,0.945,0.96,1.134,1.245,1.175,1.201,1.164,1.235,1.242,1.407,1.251,1.26,1.34,1.26,1.3,1.29,1.3,1.36,1.21,1.42,?,12/01/01@12/04@16/01@42/16
2694,1670,660,0,3274,1146,682,0,2109,846,0,2179,1426,857,621,0,1676,1802,908,3237,965,0,2127,1018,656,1379,0,2217,808,440,0,3745,1313,0,0.826,0.804,0.863,0.811,0.899,0.858,0.837,1.019,5.467,3.431,2.575,3.565,3.075,2.393,3.852,2.885,1.26,6.86,3.79,3.19,3.8,3.5,2.77,3.13,4.35,?,11/04/01@12/01/01@14/10@16/19/03
3060,1845,704,0,3191,1199,1761,0,2097,928,0,2361,1402,1028,650,0,1795,1946,945,3280,947,0,2063,1045,617,1335,0,1449,932,462,0,2157,1078,0,0.87,0.878,0.883,0.8,0.834,0.862,0.946,1.162,1.383,2.448,2.088,2.691,2.734,2.214,1.459,1.927,1.4,1.52,2.74,2.53,3.15,3.22,2.4,1.29,1.71,?,16/01@34/11/03/07@41/01/01
3077,1953,702,0,2461,1173,1439,0,2252,1658,0,3000,1681,2012,871,0,1621,3014,970,3600,1688,0,1338,866,573,1169,0,1785,1412,517,0,3427,1686,0,0.913,0.946,0.928,0.96,0.908,0.852,0.978,1.263,1.209,0.915,1.087,1.018,1.01,1.1,1.17,2.079,1.31,1.28,1.01,1.15,1.11,1.07,1.2,1.14,1.24,?,20/09/16/09/03@43/01/03/09
1708,989,615,0,2549,1156,1766,0,1642,978,0,1904,1339,932,658,0,1510,1886,942,1476,843,0,1791,1417,698,2223,0,2372,1736,402,0,2126,1011,0,0.672,0.836,0.768,0.75,0.935,0.869,0.929,0.826,0.875,1.042,1.517,1.32,0.188,0.835,1.205,2.271,1.4,1.04,1.34,2.06,1.74,0.72,0.97,0.99,1.31,?,01/01/06/06/01@01/01/06/06/02
5655,5129,930,0,5694,1396,5201,0,5261,3918,0,5321,1487,4306,864,0,2286,7170,1584,3376,1188,0,5858,5144,1967,1575,0,3260,4167,554,0,2111,2126,0,0.863,0.906,0.938,0.931,0.945,0.932,0.902,0.802,0.935,1.231,1.041,1.034,1.024,0.958,0.673,0.662,0.98,1.01,1.23,1.11,1.11,1.06,1.1,0.92,0.72,?,99
1641,943,616,0,1777,1275,890,0,1660,992,0,1958,1394,1239,749,0,1410,1584,929,1500,898,0,1342,1049,735,1331,0,956,695,336,0,1680,1210,0,0.583,0.811,0.677,0.871,0.785,0.716,0.94,0.845,0.965,0.854,1.079,0.764,0.41,0.507,1.232,0.906,1.34,1.3,1.24,1.15,0.82,0.67,0.71,0.85,1.33,?,01/07/01
1565,846,586,0,1674,1121,1033,0,1375,758,0,1725,1404,1125,773,0,1503,2536,1301,1471,868,0,1432,1354,850,1293,0,1244,1310,463,0,1328,1515,0,0.456,0.77,0.643,0.633,0.743,0.693,0.733,0.605,0.768,0.933,0.611,0.375,0.282,0.417,0.66,0.333,1.34,1.02,1.46,0.91,0.44,0.75,0.52,0.44,0.74,?,01/07/01@16/21/17
2959,2145,766,0,4671,1348,1828,0,2503,1485,0,3164,1592,1969,819,0,1593,2205,1106,2341,1018,0,2426,1676,806,1298,0,2735,2007,341,0,4467,3059,0,0.93,0.897,0.865,0.856,0.917,0.918,0.953,1.05,2.372,1.331,1.085,1.591,1.297,1.254,1.303,1.366,1.16,2.64,1.55,1.36,1.72,1.52,1.31,1.41,1.32,?,01/05@14/07/02/01
2202,1501,744,0,3192,1212,1882,0,1806,999,0,2192,1374,1067,728,0,1678,1827,1012,1499,795,0,2400,1550,941,1264,0,3405,1409,438,0,2213,1164,0,0.734,0.896,0.849,0.786,0.864,0.832,0.837,0.789,1.285,1.468,1.817,2.075,0.224,1.234,2.75,1.812,1.15,1.47,1.66,2.41,2.27,1.01,1.54,0.53,2.83,?,20/01/01/01/01/01@20/09/18@34/01/01/01
2250,1363,698,0,1886,1129,964,0,1721,1129,0,2515,1729,1802,1017,1,1468,2113,917,2693,1357,0,1199,825,580,1254,0,1595,1238,538,0,1898,1575,0,0.846,0.927,0.882,0.905,0.922,0.791,0.959,1.151,1.348,0.947,1.001,0.714,1.124,0.666,1.199,0.903,1.23,1.48,1.11,1,0.83,1.24,1.02,1.77,1.31,?,99
2728,1650,754,0,2552,1247,1401,0,2410,1539,1,3472,1863,2594,1140,0,1439,2598,876,3951,1592,0,1640,1112,594,1273,0,1918,1406,479,0,2117,1180,0,0.929,0.965,0.671,0.914,0.94,0.947,0.971,1.441,1.361,0.884,1.019,0.972,1.121,1.252,1.268,1.67,1.34,1.46,1.38,1.1,1.06,1.08,1.23,1.95,1.4,?,14/13
2220,1354,770,0,1888,1164,760,0,1626,874,0,2224,1647,1214,829,1,1387,1548,923,2764,1253,0,1206,703,578,1120,0,1796,800,459,0,2296,640,0,0.76,0.895,0.575,0.674,0.891,0.63,0.964,0.781,2.066,1.17,0.78,1.204,0.632,0.986,3.65,6.754,1.14,2.04,1.96,1.49,1.87,0.99,1.68,0.45,3.5,?,01/05/02@16/01
3264,2169,666,0,3066,1141,3089,0,2050,1325,0,2389,1468,1587,756,0,1532,4271,1024,2835,1079,0,1700,1789,662,1021,0,1954,1649,564,0,2513,2550,0,0.847,0.898,0.881,0.844,0.893,0.872,0.952,1.007,0.652,1.077,0.916,0.619,0.621,0.507,0.992,0.704,1.27,0.72,1.27,1.1,0.7,0.7,0.59,1.57,1.14,yes,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
2751,1671,835,0,3854,1001,3000,1,2011,1591,0,2572,1715,1859,937,0,1537,4448,968,3333,1346,0,1276,1236,563,1162,0,1938,1267,474,0,2291,2860,0,0.837,0.831,0.901,0.902,0.881,0.858,0.972,1.368,0.944,0.704,0.774,0.472,0.392,0.351,1.552,0.572,1.41,1.06,0.85,0.92,0.53,0.46,0.49,2.37,1.6,yes,01/05
2301,1522,814,0,3239,1522,2793,0,1956,1249,0,2297,1464,1521,777,0,1800,3134,1462,1629,972,0,2369,2213,1173,1244,0,2075,2315,1084,0,1786,1383,0,0.797,0.847,0.831,0.822,0.878,0.86,0.894,0.945,0.762,1.111,0.876,0.737,0.625,0.652,0.808,0.758,1.25,0.95,1.24,1.11,0.93,0.96,0.82,0.74,0.91,?,01/04/04@11/02/03/04@18/02/01
5335,3935,866,0,4118,1200,3613,0,3172,2046,0,3131,1692,2202,954,0,1888,6767,1252,4305,1142,0,2306,1756,661,1129,0,1963,2391,580,0,2844,5067,0,0.912,0.901,0.899,0.896,0.879,0.949,0.959,1.155,0.785,1.194,1.055,0.896,1.082,1.108,0.647,0.404,1.22,0.9,1.34,1.15,1.01,1.21,1.11,1.7,0.7,?,14/07/05@14/10@14/13/01/01@16/01@16/19/03
4394,3088,947,0,3263,1492,2123,0,3322,2282,0,4351,2045,2637,1195,0,1555,3522,971,5336,1865,0,1581,912,554,1097,0,3100,2764,428,0,4142,2717,0,0.932,0.934,0.926,0.894,0.888,0.919,0.97,1.246,1.192,1.244,1.452,1.503,2.026,1.686,1.017,1.452,1.24,1.22,1.28,1.59,1.7,1.92,1.62,1.77,1.07,?,14/04@20/09/07/27@20/09/13@20/09/18@42/25
1590,1039,548,0,2892,1290,1997,0,2032,2610,0,2247,1442,2178,783,0,1546,5042,1156,1816,1080,0,2554,2713,1385,1825,0,1626,6278,734,0,1501,1994,0,0.863,0.869,0.898,0.812,0.927,0.854,0.79,0.812,0.97,0.385,0.47,0.372,0.458,0.689,0.161,0.278,1,1.09,0.42,0.57,0.41,0.6,0.78,1.31,0.17,?,01/03/04/03@01/03/07@01/05/13/03@10/01/03@10/01/05/01@16/19@30/01/09/11
3177,2661,636,0,3379,1066,1342,0,2327,1112,0,3194,1358,1243,666,0,1363,1768,818,2260,1052,0,2759,1058,630,837,0,2612,1032,375,0,2093,918,0,0.936,0.937,0.928,0.948,0.925,0.926,0.933,0.938,2.276,2.331,3.231,3.15,1.748,4.123,3.12,2.262,1.02,2.38,2.36,3.18,3.33,2.71,3.96,0.4,3.1,?,20/01/01/01/01@32/07@34/01/01/01
9534,7449,626,0,5947,1087,3804,0,9139,5127,0,8984,1836,5194,1034,0,1557,23107,967,6199,1246,0,4020,6740,646,1060,0,2798,1892,456,0,3519,2939,0,0.92,0.934,0.925,0.867,0.944,0.948,0.957,1.156,1.351,1.69,1.516,0.491,0.454,0.469,1.492,0.991,1.21,1.42,1.75,1.71,0.51,0.47,0.49,0.5,1.52,?,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/10/03@42/22@43/01/03/05
3437,2322,678,0,4656,1271,5077,0,3443,2656,0,3491,1510,3243,891,0,1914,20433,1446,6866,1096,0,4212,6031,763,1577,0,1502,1320,456,0,4094,5073,0,0.883,0.727,0.893,0.889,0.948,0.936,0.949,1.018,0.671,0.989,0.779,0.33,0.45,0.542,0.992,0.621,1.27,0.74,1.1,0.84,0.34,0.47,0.59,0.98,1.04,?,01/04@10/03/01@14/07/03
2383,1443,629,0,3290,1267,1973,0,2207,1094,0,2449,1435,1240,737,0,1784,3293,1018,4548,936,0,2571,1167,673,1890,0,1381,848,418,0,3007,2193,0,0.843,0.871,0.888,0.78,0.943,0.873,0.725,1.177,1.254,1.94,1.59,2.006,2.509,2.711,1.495,0.841,1.41,1.35,2.14,2.01,2,2.74,3.11,3.3,1.79,yes,99
3209,2709,625,0,3856,1151,4779,0,2415,2128,0,2942,1412,2653,753,0,1473,6395,955,2238,1080,0,2592,3153,714,894,0,2142,3176,390,0,2111,1716,0,0.956,0.95,0.963,0.916,0.922,0.966,0.952,0.941,0.56,0.743,0.713,0.45,0.509,0.589,0.544,0.897,0.95,0.62,0.76,0.8,0.49,0.55,0.6,0.3,0.57,?,01/05@14/07/02/01@14/07/02/02@42/01
3600,2400,705,0,2409,1173,1576,0,2736,2677,0,3105,1827,2952,1090,0,1527,10113,924,3147,1256,0,1681,1826,607,1252,0,1576,1679,510,0,2296,2387,0,0.938,0.933,0.912,0.904,0.937,0.914,0.961,1.26,1.027,0.666,0.583,0.258,0.305,0.444,0.734,0.647,1.29,1.1,0.75,0.68,0.27,0.33,0.5,1.08,0.76,?,20/09/07/03
5846,4672,683,0,1971,1183,1994,0,4019,5788,0,4532,1727,5522,973,0,1442,9502,872,5056,1434,0,2626,1856,610,1186,0,1370,1953,490,0,1486,1887,0,0.907,0.951,0.908,0.875,0.947,0.941,0.978,1.053,0.435,0.498,0.522,0.602,1.094,1.253,0.469,0.345,1.09,0.49,0.55,0.61,0.63,1.08,1.28,1.17,0.53,?,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
